"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Ambrosia.type","Betula","Cannabaceae","Caryophyllaceae","Pinaceae.undiff.","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Fraxinus","Poaceae","Iva","Alnus.incana.type","Artemisia","Quercus","Ranunculaceae.undiff.","Trees.undiff.","Fabaceae","Rosaceae","Ostrya.Carpinus","Rumex","Myrica","Epilobium","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Amaranthaceae","Fagus","Corylus","Ulmus","Rhamnaceae.Vitaceae","Salix","Cupressaceae","Juglans","Populus","Taxus","Urticaceae","Sambucus","Cornus","Hypericum","Shepherdia.canadensis","Moraceae","Carya","Asteraceae.undiff.","Malvaceae","Thalictrum","Plantago","Polygonum"
2,146,299,12,7,1,26,1,1,25,5,2,1,206,1,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,417,567,24,6,0,39,0,0,42,0,1,6,435,2,1,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,687,448,15,5,0,40,0,0,28,4,1,4,342,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,958,617,20,2,0,29,0,0,45,1,1,2,498,5,1,4,0,2,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1228,706,16,3,0,30,0,0,37,0,3,7,595,2,1,8,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1499,666,17,5,0,37,0,0,34,3,2,10,545,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1686,723,36,0,0,27,0,0,40,0,2,5,600,2,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1862,575,21,0,0,15,0,0,47,1,2,7,468,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2037,926,22,1,0,30,0,0,52,2,0,6,790,1,6,9,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2213,611,14,2,0,53,0,0,39,1,1,4,462,10,4,11,0,1,0,0,2,0,0,0,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2388,430,17,4,0,29,0,0,31,1,0,2,338,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2563,650,28,14,1,46,0,0,41,1,0,7,496,3,4,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2779,778,30,8,0,56,0,0,40,0,0,7,618,1,3,9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3018,564,36,10,0,45,0,0,47,1,1,3,403,2,1,9,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3257,490,15,7,0,50,0,0,63,2,0,1,332,0,3,11,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3497,680,40,20,1,51,0,0,22,0,0,1,526,0,4,9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3736,572,20,18,0,83,0,0,23,1,0,4,406,0,1,8,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3975,446,17,14,0,44,0,0,22,0,0,2,324,0,0,7,0,3,1,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4214,590,15,15,1,91,0,0,17,8,0,2,427,0,0,6,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4416,926,50,4,0,56,0,0,130,3,0,4,646,1,7,17,0,1,0,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4613,792,34,19,0,72,0,0,33,2,0,2,597,0,1,12,0,3,0,1,0,1,0,9,0,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4809,601,45,7,0,58,0,0,21,2,0,4,443,2,2,8,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5006,913,46,24,0,131,0,0,50,5,1,2,605,0,3,22,1,2,0,2,1,2,0,7,0,0,2,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,5203,820,32,13,0,134,0,0,23,6,0,0,579,1,0,12,0,0,0,0,1,1,0,12,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5399,528,26,12,0,71,0,0,22,1,1,1,375,0,1,9,0,0,0,1,0,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5596,706,20,23,0,116,0,0,26,1,0,2,488,1,0,9,1,0,0,0,1,1,0,8,0,0,3,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,5792,567,4,2,0,67,0,0,51,1,0,1,423,1,2,7,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,6009,958,32,2,0,113,0,0,44,1,0,2,738,0,3,16,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6237,1487,81,12,1,146,0,0,67,0,0,3,1137,3,8,18,0,0,0,0,1,4,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
