"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ilex","Larix","Ostrya.Carpinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Vitis","Alnus","Acer","Anacardiaceae","Poaceae","Lamiaceae","Abies","Ericaceae","Fagus","Fraxinus.nigra.type","Liquidambar","Morus","Pinus.subg..Pinus","Pinus.undiff.","Thalictrum","Tilia","Ulmus","Apiaceae","Fraxinus.pennsylvanica.type","Picea","Fabaceae","Juglans","Urtica.type","Populus","Elaeagnaceae","Rosaceae","Brassicaceae","Cornus","Ephedra","Sarcobatus.vermiculatus"
10,104,0.420398009950249,0.00248756218905473,0.00497512437810945,0.0099502487562189,0.00497512437810945,0.0149253731343284,0.00248756218905473,0.00497512437810945,0.0522388059701493,0.0398009950248756,0.0149253731343284,0.00746268656716418,0.0099502487562189,0.00497512437810945,0.189054726368159,0.00746268656716418,0.00248756218905473,0.0248756218905473,0.00497512437810945,0.00497512437810945,0.0149253731343284,0.0845771144278607,0.0696517412935323,0.00248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,198,0.0769230769230769,0.00961538461538462,0.016025641025641,0.016025641025641,0,0.00641025641025641,0.00320512820512821,0,0.0512820512820513,0,0.00961538461538462,0,0.0224358974358974,0.0224358974358974,0.525641025641026,0.00320512820512821,0.00641025641025641,0.0128205128205128,0.00320512820512821,0.0128205128205128,0,0,0.0480769230769231,0,0.00320512820512821,0.0416666666666667,0.00961538461538462,0.00641025641025641,0.00320512820512821,0.00641025641025641,0.00961538461538462,0.0448717948717949,0.00320512820512821,0.00320512820512821,0.0192307692307692,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0
40,385,0.0346820809248555,0.0115606936416185,0.138728323699422,0.00867052023121387,0.0144508670520231,0,0.0202312138728324,0,0.0606936416184971,0,0.0173410404624277,0.0144508670520231,0.0173410404624277,0.0202312138728324,0.453757225433526,0.00578034682080925,0,0.00867052023121387,0,0.00867052023121387,0.00867052023121387,0.0115606936416185,0.0346820809248555,0.00289017341040462,0,0.0144508670520231,0.00578034682080925,0.00289017341040462,0.00578034682080925,0,0.00867052023121387,0.0375722543352601,0,0,0.0173410404624277,0,0.00578034682080925,0.00289017341040462,0.00289017341040462,0.00289017341040462,0,0,0,0,0,0,0,0
60,570,0.0309597523219814,0.00309597523219814,0.0371517027863777,0.0185758513931889,0.0123839009287926,0.00928792569659443,0.0123839009287926,0,0.0464396284829721,0,0.00619195046439629,0.0154798761609907,0.0154798761609907,0.0154798761609907,0.563467492260062,0.00309597523219814,0.0123839009287926,0.00928792569659443,0,0.00928792569659443,0.00619195046439629,0.00309597523219814,0.043343653250774,0,0,0.0154798761609907,0.0154798761609907,0.00309597523219814,0.00619195046439629,0,0.0154798761609907,0.0340557275541796,0,0,0.0247678018575851,0,0,0,0,0.00309597523219814,0.00309597523219814,0.00619195046439629,0,0,0,0,0,0
80,751,0.0194986072423398,0.00557103064066852,0.0668523676880223,0.0250696378830084,0.00557103064066852,0.011142061281337,0.0139275766016713,0.00557103064066852,0.0696378830083565,0,0.00835654596100279,0.011142061281337,0.0362116991643454,0.00557103064066852,0.523676880222841,0,0.00557103064066852,0.011142061281337,0,0.011142061281337,0.00557103064066852,0,0.0473537604456825,0,0,0.00278551532033426,0,0.00278551532033426,0.011142061281337,0,0.00835654596100279,0.0306406685236769,0,0,0.0306406685236769,0,0.0139275766016713,0.00278551532033426,0,0.00557103064066852,0,0,0.00278551532033426,0,0,0,0,0
100,927,0.0259365994236311,0.0144092219020173,0.0230547550432277,0.0288184438040346,0,0.00864553314121038,0.0172910662824208,0,0.106628242074928,0,0,0.0115273775216138,0.0230547550432277,0.00864553314121038,0.521613832853026,0,0.00576368876080692,0.0172910662824208,0,0.0115273775216138,0.00864553314121038,0,0.0489913544668588,0.00288184438040346,0,0,0.00576368876080692,0.00864553314121038,0,0,0,0.0432276657060519,0,0.00576368876080692,0.0288184438040346,0,0.00288184438040346,0.00576368876080692,0,0.00864553314121038,0,0,0,0.00576368876080692,0,0,0,0
120,1095,0.0375335120643432,0.00536193029490617,0.0160857908847185,0.0160857908847185,0,0,0.00804289544235925,0.00536193029490617,0.158176943699732,0,0.00268096514745308,0.00804289544235925,0.032171581769437,0,0.560321715817694,0.00536193029490617,0.00804289544235925,0.00268096514745308,0,0.00804289544235925,0.0107238605898123,0,0.0375335120643432,0,0,0.00268096514745308,0.00804289544235925,0.0107238605898123,0,0,0.00536193029490617,0.0348525469168901,0,0,0.00804289544235925,0,0.00268096514745308,0.00268096514745308,0,0.00268096514745308,0,0,0,0,0,0,0,0
140,1258,0.0371428571428571,0.02,0.0114285714285714,0.0171428571428571,0.00857142857142857,0,0,0.0142857142857143,0.134285714285714,0,0,0.00285714285714286,0.0142857142857143,0.0171428571428571,0.494285714285714,0.00857142857142857,0.00571428571428571,0.0171428571428571,0,0.0114285714285714,0.0114285714285714,0,0.0542857142857143,0.00285714285714286,0,0,0.00571428571428571,0.0142857142857143,0,0,0.00571428571428571,0.06,0,0,0.02,0,0,0,0,0.0114285714285714,0,0,0,0,0,0,0,0
160,1418,0.0371352785145889,0.0026525198938992,0.0106100795755968,0.0159151193633952,0.00530503978779841,0.00530503978779841,0.0026525198938992,0.0026525198938992,0.19893899204244,0,0.0026525198938992,0.0106100795755968,0.0212201591511936,0.00530503978779841,0.49867374005305,0.00795755968169761,0.00530503978779841,0.0238726790450928,0.0026525198938992,0.0026525198938992,0.00530503978779841,0,0.039787798408488,0.0106100795755968,0,0,0,0.0026525198938992,0,0,0.0026525198938992,0.0450928381962865,0.0026525198938992,0,0.0106100795755968,0,0,0.00530503978779841,0,0.00530503978779841,0,0.00795755968169761,0,0,0,0,0,0
180,1580,0.0253968253968254,0.00317460317460317,0.0126984126984127,0.0253968253968254,0.00317460317460317,0.0126984126984127,0.00317460317460317,0.019047619047619,0.0253968253968254,0,0.00317460317460317,0.0126984126984127,0.0158730158730159,0.00317460317460317,0.574603174603175,0,0,0.0126984126984127,0.00634920634920635,0.00952380952380952,0,0,0.13015873015873,0,0,0,0.00952380952380952,0.0158730158730159,0,0,0,0.0412698412698413,0,0,0.019047619047619,0,0.00952380952380952,0.00317460317460317,0,0.00317460317460317,0,0,0,0,0,0,0,0
