"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium.simplex.type","Botrychium.undiff.","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Caltha","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Empetrum","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Hippuris.vulgaris","Humulus","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Lamiaceae","Larix","Linnaea.borealis","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum.alterniflorum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Polypodiaceae","Populus.balsamifera","Populus.tremuloides","Populus.undiff.","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus.frangula","Rumex","Rumex.Oxyria.digyna.undiff.","Salix","Sanguisorba.canadensis","Selaginella.rupestris","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Thalictrum","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum"
805,NA,34,3,0,0,0,1,0,0,1,2,0,2,0,0,0,141,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,7,1,0,12,0,3,0,1,1,0,8,0,0,22,0,1,1,6,7,20,20,0,7,85,0,1,0,0,0,0,1,0,2,68,0,0,0,0,0,0,0,2,0,0,1,2,5,1,3,7,0,0
809,10465,24,0,0,0,0,2,1,0,0,0,0,0,0,0,0,88,0,0,0,3,0,0,0,0,1,0,16,4,5,0,0,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,25,0,1,3,0,0,0,0,1,0,8,0,2,3,0,2,0,3,9,15,17,0,10,43,0,0,0,1,6,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
813,10598,19,0,2,0,0,1,1,1,2,1,0,0,1,0,0,130,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,11,0,0,0,2,0,0,0,0,5,0,0,0,0,0,17,22,1,0,5,0,2,0,2,1,0,6,0,0,7,0,2,2,1,7,8,15,0,4,56,0,1,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,3,0,0
817,10731,7,0,0,0,0,1,1,1,1,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,73,0,0,5,0,0,0,3,6,0,8,0,3,0,0,1,1,2,3,14,12,0,7,42,0,3,0,0,0,0,0,1,1,47,0,0,0,0,1,0,0,1,0,1,2,1,2,4,1,0,0,0
821,10864,8,2,4,0,4,3,0,0,0,2,1,0,0,0,0,120,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,122,2,0,10,0,0,0,2,3,0,12,0,0,0,0,4,1,2,4,8,6,0,6,59,0,3,0,0,1,0,0,0,1,30,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,1,0,0
825,10997,5,0,0,0,1,0,0,0,0,1,0,0,4,0,0,111,0,0,0,0,0,1,0,0,0,0,8,6,2,0,0,27,0,0,0,0,0,0,0,0,4,0,0,1,0,0,12,214,0,0,7,0,2,0,3,4,0,15,0,0,0,0,2,1,8,4,15,12,0,12,49,0,2,0,0,0,0,0,0,3,28,0,0,0,0,2,0,0,0,0,0,1,1,0,2,3,6,0,0
829,11130,2,0,2,1,2,2,0,2,0,0,0,0,3,0,8,142,0,0,0,0,0,0,0,0,2,1,7,2,3,1,0,48,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,212,1,0,19,0,2,0,4,8,1,39,1,0,0,0,1,1,1,13,17,15,0,10,33,0,8,0,0,1,0,0,0,4,39,0,1,0,0,10,0,0,0,0,0,1,0,0,2,1,2,0,0
833,11263,1,0,0,0,1,2,4,1,1,2,0,0,2,0,9,61,0,0,0,0,0,0,0,0,1,0,3,8,1,0,0,64,0,0,0,5,0,0,0,0,3,0,0,0,0,0,6,446,1,0,13,0,4,0,12,10,4,53,0,0,0,0,1,0,0,7,29,22,0,15,44,0,14,0,0,0,0,0,0,2,37,0,0,0,0,14,0,0,1,0,0,1,0,4,1,2,1,0,0
836,11363,1,0,1,0,0,3,3,2,0,0,0,0,4,0,5,46,0,0,0,0,0,0,0,0,1,1,0,11,3,0,0,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,514,0,0,3,0,5,0,21,9,3,52,1,0,0,0,0,0,0,6,34,10,0,17,55,0,10,0,0,0,0,0,0,4,35,0,0,0,0,7,0,0,1,1,0,1,0,2,0,0,3,0,0
838,11429,3,0,0,0,0,3,2,6,0,0,0,0,4,1,7,79,0,0,0,0,0,0,0,0,1,0,0,16,7,1,0,46,0,0,0,16,0,0,0,0,4,0,0,1,0,0,23,910,1,0,1,0,4,0,19,28,6,48,0,0,0,0,0,0,0,4,18,7,0,20,54,0,17,0,0,1,0,0,0,4,18,0,0,0,0,20,0,0,1,0,0,1,1,7,4,1,1,0,0
