"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Celtis","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.viviparum","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae","Thalictrum","Rhus","Liquidambar"
6,119,325,0,0,2,1,76,0,15,0,2,4,0,0,5,2,7,2,0,4,0,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,92,0,1,0,0,0,1,0,0,0,1,34,7,14,16,0,0,0,0,0,1,0,0,0,1,0
10,228,352,0,0,8,0,118,0,12,0,0,2,0,0,2,4,5,0,0,0,0,0,34,0,0,0,2,0,0,5,0,0,0,0,0,0,0,3,78,1,0,0,0,0,3,0,0,0,0,40,9,8,18,0,0,0,0,0,0,0,0,0,0,0
20,501,310,0,0,17,0,45,1,20,0,0,2,0,0,0,0,6,0,1,6,0,0,16,0,2,0,2,0,0,1,0,0,0,0,0,0,1,10,81,1,1,0,0,0,4,1,0,0,0,47,8,9,27,0,0,0,0,0,1,0,0,0,0,0
40,1056,326,1,0,43,4,8,3,20,0,3,1,0,0,0,0,10,0,1,15,0,0,2,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,64,0,2,0,0,0,4,1,0,0,0,48,15,8,62,0,0,0,0,0,0,0,0,0,0,0
60,1632,357,2,0,28,4,3,2,39,0,5,3,1,0,1,0,0,4,4,37,0,1,3,0,1,0,5,0,0,7,0,1,0,0,0,1,0,2,67,0,4,0,0,0,9,0,0,0,0,25,12,39,46,0,0,0,0,0,0,0,0,1,0,0
80,2240,310,2,0,28,5,4,1,34,0,2,5,0,0,0,0,3,0,0,24,2,2,6,0,2,0,0,0,0,1,0,2,0,0,0,0,0,4,86,0,6,0,0,0,7,0,0,0,0,8,11,30,33,0,0,0,0,0,0,0,0,1,0,1
95,2724,315,1,0,36,4,11,2,13,0,6,8,0,0,0,0,4,0,1,7,0,2,6,0,0,0,4,0,0,1,1,3,0,0,0,1,0,4,90,0,8,0,0,0,5,0,0,0,0,7,6,31,53,0,0,0,0,0,0,0,0,0,0,0
115,3414,383,3,0,40,2,7,0,23,0,1,5,3,0,1,0,2,11,27,8,0,2,5,0,1,0,3,0,0,2,0,1,0,0,0,2,0,7,74,0,1,0,0,0,13,0,0,0,0,89,12,25,13,0,0,0,0,0,0,0,0,0,0,0
135,4156,350,1,0,20,1,7,0,15,0,1,7,2,0,0,1,2,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44,0,1,0,0,0,2,0,0,0,0,204,8,5,20,0,0,0,0,0,0,0,0,1,0,0
155,4899,347,3,0,17,3,3,0,18,0,3,5,0,0,2,0,1,1,3,10,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,40,0,1,0,0,0,7,0,0,0,0,167,9,16,21,0,0,0,0,0,0,0,0,0,0,0
175,5579,308,0,0,4,1,1,0,5,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,210,0,0,0,0,0,1,0,0,0,0,9,11,48,7,0,0,0,0,0,0,0,0,0,0,0
195,6137,308,2,0,17,1,2,1,2,1,19,3,0,1,0,0,0,0,2,39,4,7,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,10,80,0,8,0,0,0,33,0,0,0,1,16,4,20,30,0,0,0,0,0,0,0,0,0,0,0
225,NA,315,1,0,19,0,2,0,8,2,14,1,1,0,0,0,0,0,1,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,15,38,0,2,0,0,0,47,0,0,0,0,0,1,97,25,0,0,0,0,0,0,0,0,0,0,0
260,NA,378,1,0,27,1,0,0,8,0,29,2,0,0,0,0,0,2,0,5,3,5,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,21,111,0,1,0,0,0,67,0,0,0,0,0,3,69,17,0,0,0,0,0,0,0,0,0,0,0
300,NA,319,0,0,7,2,0,0,9,2,26,1,0,0,1,0,0,2,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,20,127,0,0,0,0,0,43,0,0,0,0,0,2,22,24,0,0,0,0,0,0,0,0,0,0,0
325,NA,316,1,0,6,0,2,0,13,2,24,1,0,1,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,34,122,0,0,0,0,4,41,0,0,0,0,1,0,23,16,0,0,0,0,0,0,0,0,0,0,0
365,NA,315,1,0,10,0,0,0,33,2,8,2,0,0,0,0,0,0,3,0,2,3,1,0,4,0,1,0,0,0,0,0,0,0,0,2,1,66,122,0,0,0,0,0,24,0,0,0,2,1,0,3,24,0,0,0,0,0,0,0,0,0,0,0
405,NA,346,2,1,9,0,0,0,16,4,8,1,0,0,0,0,0,1,2,0,1,6,0,0,3,0,6,0,0,0,0,0,0,0,0,6,3,36,190,0,0,0,2,0,19,0,0,0,0,1,0,15,13,0,0,1,0,0,0,0,0,0,0,0
425,NA,328,1,0,0,1,0,0,27,6,15,0,0,0,0,0,0,1,4,0,3,4,3,0,2,0,3,0,0,0,0,0,0,0,0,28,9,27,153,0,2,0,1,0,21,0,0,0,1,0,0,5,10,0,0,0,0,0,0,0,0,1,0,0
445,NA,307,0,0,2,1,1,3,16,16,10,5,0,1,0,0,2,0,5,0,1,1,3,0,0,0,14,0,0,0,0,0,0,0,0,24,11,30,103,0,0,0,0,0,28,0,0,0,0,1,0,13,16,0,0,0,0,0,0,0,0,0,0,0
465,NA,328,0,0,3,0,2,0,15,10,10,0,0,2,0,0,0,3,0,0,0,9,1,0,4,0,10,0,0,0,0,0,0,0,0,46,18,12,128,0,0,0,1,1,36,0,0,0,1,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0
485,NA,321,0,0,2,2,3,3,8,2,3,2,0,0,0,0,2,2,4,0,0,2,1,0,4,0,4,0,0,2,0,0,0,0,0,96,12,3,96,0,0,0,0,0,25,0,0,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0
505,NA,362,0,0,1,2,1,2,2,0,2,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,210,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
525,NA,325,0,0,3,3,1,2,6,1,5,0,0,0,0,0,4,1,7,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,180,3,2,62,0,0,0,0,6,5,1,0,0,2,1,1,18,3,0,0,0,0,0,0,0,0,1,0,0
545,NA,360,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7,1,50,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,236,3,0,35,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
