"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Brasenia.schreberi","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Nuphar","Nymphaea","Nyssa","Osmunda","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polypodiaceae","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sarracenia","Sphagnum","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Apiaceae","Urtica","Indeterminable","Unknown","Charcoal"
5,84,0,18,0,2,1,60,2,81,0,2,3,0,2,0,8,0,0,2,0,9,0,0,2,0,0,13,4,0,2,1,0,1,0,0,2,42,0,0,0,0,5,2,0,8,0,2,89,0,0,1,0,0,45,1,0,3,0,1,0,0,16,37,9,0,0,39,8,463
10,201,0,13,0,3,5,70,0,64,0,0,1,0,3,2,4,0,9,0,0,16,0,2,9,0,0,14,1,0,2,2,0,0,0,0,0,132,0,0,6,1,9,0,0,32,0,0,102,1,1,0,0,0,64,0,0,10,0,2,1,0,50,56,6,0,0,65,9,795
15,318,0,3,0,6,9,82,0,39,0,0,4,0,1,2,3,0,16,0,0,14,0,0,2,1,0,9,1,0,0,15,0,0,0,0,0,173,0,0,4,10,56,0,0,62,0,0,61,0,0,0,2,0,5,0,0,63,0,2,0,0,50,17,9,0,0,58,4,1477
20,435,0,1,0,0,14,30,2,7,0,0,6,0,0,0,1,1,2,0,0,4,0,1,1,0,0,7,0,0,2,23,0,1,0,0,0,180,0,0,0,0,31,0,1,21,0,3,24,0,0,0,0,0,1,0,0,126,0,0,1,1,0,2,5,0,0,54,16,225
25,552,0,0,0,2,7,19,1,6,0,1,6,0,0,1,2,0,3,0,1,6,0,3,1,1,0,10,1,0,0,32,0,0,0,0,1,323,0,0,8,17,72,0,3,59,0,2,99,0,0,0,0,0,1,0,0,236,0,0,0,0,1,0,5,0,0,55,3,156
35,786,0,21,0,3,11,14,0,2,0,4,12,0,0,0,1,0,1,0,0,6,0,4,0,2,0,10,0,0,1,23,1,0,0,1,1,229,0,1,1,33,115,0,4,37,0,2,64,0,0,0,0,0,0,0,1,267,0,0,0,1,0,2,15,0,2,54,6,142
52,1038,0,2,0,1,1,4,0,7,0,3,2,0,0,1,1,0,1,0,0,2,0,3,0,0,0,4,5,0,0,5,0,0,0,0,0,106,0,0,3,8,16,0,2,46,0,1,27,0,0,1,0,0,0,0,0,206,0,0,0,0,2,1,3,0,0,32,12,131
65,1185,0,2,0,2,2,8,0,10,0,4,9,0,0,0,2,0,2,0,1,18,0,5,6,4,0,113,30,0,4,22,0,0,1,0,1,231,0,0,11,25,27,0,7,36,0,5,136,0,0,6,0,0,1,0,0,26,0,0,0,1,1,0,9,0,0,63,12,260
95,1523,0,1,0,3,1,3,2,8,0,1,7,0,0,0,0,0,3,0,0,29,1,5,5,1,1,344,1,0,1,14,0,1,10,0,0,26,1,0,2,6,32,0,1,185,0,0,99,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,5,0,0,34,20,584
135,1974,0,0,0,9,3,9,1,6,0,3,4,2,2,0,0,0,3,0,1,32,0,20,8,1,0,108,0,2,4,3,2,0,8,7,1,5,15,0,0,9,28,0,5,12,0,2,177,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,1,0,31,23,183
160,2380,0,0,0,8,0,8,2,7,3,5,21,0,1,0,1,0,6,0,0,15,0,12,6,6,0,53,0,2,3,0,2,0,1,9,0,0,36,0,4,7,18,0,7,7,0,1,187,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,9,0,0,17,2,148
190,2904,0,0,0,5,2,10,4,3,0,8,13,0,1,0,4,0,1,0,1,15,0,15,11,2,0,91,0,1,0,0,0,0,2,5,0,2,13,0,1,7,15,0,8,6,1,0,182,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,21,0,0,21,7,128
220,3428,0,0,1,2,2,19,1,4,0,4,13,0,1,0,3,0,0,0,3,4,0,5,4,3,0,81,0,1,0,0,0,1,0,6,0,2,22,0,3,7,37,0,8,7,2,0,178,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,13,0,0,9,2,121
240,3777,0,0,0,2,0,11,1,7,0,4,11,0,0,0,1,0,5,0,1,6,0,6,6,1,0,70,0,0,5,0,0,0,1,3,1,1,47,0,2,3,48,0,3,7,0,2,174,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,17,1,0,18,9,134
250,3919,0,0,0,4,2,16,5,4,0,6,6,0,0,1,3,0,0,0,0,9,0,4,3,2,0,17,0,1,2,0,0,0,0,0,0,1,69,0,31,21,74,0,5,3,0,1,109,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,8,0,0,9,6,1401
260,4061,0,0,0,5,4,9,2,3,0,5,17,0,1,0,0,0,1,0,2,4,0,8,6,1,0,41,0,1,7,0,2,0,0,4,1,0,54,0,1,7,52,0,5,3,0,0,188,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,22,0,0,19,7,81
280,4344,0,0,2,6,4,10,4,1,0,6,15,0,1,4,2,0,1,0,2,8,0,11,3,4,0,41,0,1,3,0,2,1,0,6,0,1,21,0,1,9,42,0,6,1,0,1,183,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,24,0,0,16,1,76
310,4770,0,0,0,2,2,16,4,2,0,2,13,0,0,1,2,0,1,0,1,13,0,1,4,2,0,29,0,1,2,0,0,0,1,5,0,1,18,0,1,5,63,0,11,11,1,4,206,0,0,0,0,1,2,0,0,0,1,0,1,0,2,1,16,0,0,17,6,168
340,5195,0,0,0,3,1,18,4,3,0,5,9,0,0,0,2,0,0,0,0,8,0,3,6,3,0,12,0,1,1,1,0,0,0,0,0,0,59,0,6,4,25,0,8,1,0,0,202,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,12,3,210
370,5621,0,0,0,1,1,46,5,1,0,2,14,0,0,2,1,0,1,0,0,10,0,9,3,3,0,6,0,0,0,0,1,0,0,0,1,1,18,1,2,9,13,0,21,0,2,1,179,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,18,10,409
405,6117,0,0,0,4,1,11,2,3,0,5,10,0,0,0,0,0,0,0,0,7,0,6,3,3,0,14,0,0,2,0,0,0,0,0,0,1,15,1,4,4,19,0,20,1,4,1,202,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,15,0,0,20,6,402
440,6614,1,1,2,9,2,13,12,1,0,5,9,1,0,0,0,0,3,0,0,6,0,9,3,4,0,14,0,4,3,0,0,0,0,0,0,1,14,1,5,12,20,0,20,1,1,3,166,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,18,0,0,23,7,879
475,NA,0,0,0,5,1,13,2,1,0,4,7,0,0,0,2,0,0,0,0,13,0,4,2,2,0,24,0,1,0,0,0,0,0,0,0,5,49,0,0,0,12,0,11,2,0,0,135,0,0,0,0,0,2,0,0,0,0,1,2,1,0,1,10,0,0,24,13,402
