"sample.depths","sample.ages","upland.sum","Picea","Pinus.strobus","Pinus.banksiana","Pinus.undiff.","Abies","Tsuga","Larix","Thuja","Betula","Populus","Quercus","Ulmus","Fagus","Carya","Acer","Fraxinus","Tilia","Juglans","Ostrya.Carpinus","Castanea","Other.trees","Juniperus.type","Juniperus.Thuja","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Myrica","Cornus","Other.shrubs","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Rubus","Chenopodiaceae","Apiaceae","Fabaceae","Dryas","Potentilla","Rosaceae.undiff.","Saxifragaceae","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Polygonum","Urticaceae","Oxyria.Digyna","Rumex","Plantago","Other.herbs","Cyperaceae"
0,-40,346,57,18,8,7,32,6,4,0,71,1,11,3,6,1,1,1,0,0,2,1,0,0,0,0,7,11,0,1,0,0,0,9,0,0,6,54,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3
12,112,364,113,13,7,8,60,6,0,0,80,0,5,1,4,0,1,3,0,0,0,0,0,0,0,0,16,8,2,0,0,0,0,5,0,0,1,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
32,366,390,133,37,5,6,83,17,1,0,65,0,8,0,5,1,1,1,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,5,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,619,337,98,29,10,3,36,24,2,0,90,1,8,1,9,1,0,2,0,0,0,0,0,0,0,0,5,6,2,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
72,873,324,63,30,3,10,50,20,3,0,106,0,7,0,14,1,3,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,1000,470,106,48,4,6,68,28,6,0,143,0,10,0,20,1,2,2,0,0,1,0,0,0,0,0,3,7,1,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
90,1112,601,81,19,4,14,81,37,4,0,267,1,10,0,30,0,3,5,0,0,0,0,0,0,1,0,2,19,0,0,0,0,0,8,0,0,6,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
100,1281,636,58,24,13,7,54,29,5,0,331,0,28,2,36,0,6,4,0,0,3,0,0,0,2,0,3,11,2,0,0,0,0,9,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110,1450,569,73,12,9,10,56,32,8,0,262,2,26,0,36,0,3,3,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,10,0,0,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1619,609,52,20,5,10,53,30,2,0,333,2,21,4,21,0,4,5,0,0,0,0,0,0,2,0,9,17,0,0,0,0,0,9,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
130,1788,488,74,25,12,11,62,27,7,0,198,2,17,0,24,0,3,1,0,1,0,0,0,0,2,0,3,6,1,0,0,0,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,1957,561,63,37,18,14,56,51,4,0,223,2,18,2,30,0,4,8,0,0,0,0,0,0,2,0,3,15,1,1,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,2126,588,50,37,18,25,85,36,3,0,258,5,8,2,28,1,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,5,0,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
160,2295,553,51,50,17,23,60,27,6,0,225,5,20,3,23,1,5,6,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,9,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
170,2464,474,57,58,8,14,43,21,5,0,192,1,20,1,18,0,3,6,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
