"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Plantago.major","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus","Ambrosia","Fraxinus","Populus","Brassicaceae","Iva.xanthifolia","Acer.saccharum","Pinus.strobus","Castanea","Cephalanthus","Juglans.cinerea","Fabaceae","Ilex.Nemopanthus","Apiaceae","Juglans.nigra","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Corylus","Thalictrum","Acer.rubrum","Rumex","Sambucus","Vitis","Acer.negundo","Rhus","Ericaceae","Cornus.canadensis","Sarcobatus.vermiculatus","Iva.annua","Lamiaceae","Dryas","Morus","Urtica","Shepherdia.canadensis"
1,-16,0.0020703933747412,0.0186335403726708,0.165631469979296,0.0165631469979296,0.0124223602484472,0.0165631469979296,0.0041407867494824,0.0289855072463768,0.0786749482401656,0.0020703933747412,0.0165631469979296,0.0186335403726708,0.0351966873706004,0.0041407867494824,0.0020703933747412,0.10351966873706,0.0062111801242236,0.0062111801242236,0.0165631469979296,0.010351966873706,0.0600414078674948,0.0020703933747412,0.0351966873706004,0.146997929606625,0.0041407867494824,0.0041407867494824,0.0020703933747412,0.010351966873706,0.0124223602484472,0.157349896480331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,0.0079113924050633,0.00316455696202532,0.102848101265823,0.00632911392405063,0.00474683544303797,0.0126582278481013,0.0110759493670886,0.0158227848101266,0.079113924050633,0.00158227848101266,0.0221518987341772,0.0221518987341772,0.0300632911392405,0,0,0.0838607594936709,0.00158227848101266,0.00316455696202532,0.0158227848101266,0.00632911392405063,0.0427215189873418,0,0.0268987341772152,0.120253164556962,0.0126582278481013,0.0221518987341772,0,0,0.0142405063291139,0.319620253164557,0.00158227848101266,0.00158227848101266,0.00316455696202532,0.00316455696202532,0.00158227848101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47,0.00355239786856128,0.00710479573712256,0.129662522202487,0.00710479573712256,0.00532859680284192,0.0213143872113677,0.0106571936056838,0.0177619893428064,0.069271758436945,0.00532859680284192,0.0390763765541741,0.0177619893428064,0.044404973357016,0,0,0.0781527531083481,0.00177619893428064,0.00355239786856128,0.0319715808170515,0.00710479573712256,0.0461811722912966,0,0.0355239786856128,0.119005328596803,0.00355239786856128,0.0337477797513321,0,0.00177619893428064,0.0301953818827709,0.213143872113677,0.00177619893428064,0,0.00177619893428064,0.00177619893428064,0.00532859680284192,0.00532859680284192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,80,0,0.00452488687782805,0.160633484162896,0.00904977375565611,0,0.00904977375565611,0,0.0565610859728507,0.0180995475113122,0.00226244343891403,0.0339366515837104,0.0135746606334842,0.0316742081447964,0,0,0.17420814479638,0,0.0113122171945701,0.0542986425339367,0.00904977375565611,0.0429864253393665,0,0.0248868778280543,0.0407239819004525,0.0113122171945701,0.00904977375565611,0,0,0.0384615384615385,0.237556561085973,0,0,0.00226244343891403,0,0,0,0.00226244343891403,0.00226244343891403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,113,0.00449438202247191,0.00224719101123596,0.168539325842697,0.00674157303370787,0,0.00674157303370787,0.00674157303370787,0.0449438202247191,0.0134831460674157,0.00674157303370787,0.0382022471910112,0.0134831460674157,0.0134831460674157,0,0.00449438202247191,0.175280898876404,0,0.00449438202247191,0.0831460674157303,0.00224719101123596,0.0404494382022472,0,0.0404494382022472,0.0157303370786517,0.0269662921348315,0,0,0,0.0179775280898876,0.258426966292135,0,0,0.00449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,289,0,0,0.124711316397229,0.0115473441108545,0.0023094688221709,0.0023094688221709,0,0.0577367205542725,0,0.0046189376443418,0.0323325635103926,0.0254041570438799,0.0046189376443418,0,0.0046189376443418,0.217090069284065,0,0.0046189376443418,0.120092378752887,0,0.0508083140877598,0,0.0115473441108545,0.0023094688221709,0.023094688221709,0,0,0.0023094688221709,0.0369515011547344,0.242494226327945,0,0,0.0092378752886836,0,0,0,0.0023094688221709,0,0.0023094688221709,0.0023094688221709,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,608,0.00227790432801822,0,0.175398633257403,0.0159453302961276,0,0.0113895216400911,0.00911161731207289,0.0592255125284738,0.00455580865603645,0.0113895216400911,0.0273348519362187,0.020501138952164,0.0159453302961276,0,0,0.216400911161731,0,0.00683371298405467,0.0774487471526196,0.00455580865603645,0.0523917995444191,0,0.00911161731207289,0.00227790432801822,0.0182232346241458,0.00683371298405467,0,0,0.041002277904328,0.195899772209567,0.00227790432801822,0,0.00455580865603645,0,0,0,0,0,0,0,0.00455580865603645,0.00227790432801822,0.00227790432801822,0,0,0,0,0,0,0,0,0,0,0,0,0
70,927,0,0.0046189376443418,0.143187066974596,0.0069284064665127,0.0023094688221709,0.0115473441108545,0.0023094688221709,0.0993071593533487,0,0.0069284064665127,0.0415704387990762,0.0069284064665127,0.023094688221709,0,0.0046189376443418,0.207852193995381,0.0046189376443418,0.0069284064665127,0.0969976905311778,0.0023094688221709,0.0531177829099307,0,0.0092378752886836,0.0069284064665127,0.0300230946882217,0,0,0,0.0669745958429561,0.143187066974596,0.0046189376443418,0,0.0092378752886836,0,0,0,0,0,0,0,0.0023094688221709,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1246,0,0,0.18141592920354,0.00221238938053097,0,0,0.0088495575221239,0.15929203539823,0,0.00221238938053097,0.0420353982300885,0.00663716814159292,0.0199115044247788,0,0.00442477876106195,0.210176991150442,0.00221238938053097,0.00442477876106195,0.0663716814159292,0.00221238938053097,0.0464601769911504,0,0.0132743362831858,0,0.0331858407079646,0.00221238938053097,0,0,0.0376106194690266,0.148230088495575,0,0,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1565,0.0023696682464455,0,0.172985781990521,0.018957345971564,0,0.00710900473933649,0.0023696682464455,0.132701421800948,0,0.0023696682464455,0.0355450236966825,0.009478672985782,0.00710900473933649,0,0,0.201421800947867,0.004739336492891,0.00710900473933649,0.0687203791469194,0.0023696682464455,0.0497630331753555,0,0.0165876777251185,0,0.0450236966824645,0,0,0,0.0639810426540284,0.137440758293839,0,0,0,0,0,0,0,0,0,0,0.0023696682464455,0,0.004739336492891,0.0023696682464455,0.0023696682464455,0,0,0,0,0,0,0,0,0,0,0
