"sample.depths","sample.ages","Abies","Acer","Alnus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","cf..Myrica","Cornus","Corylus","Cyperaceae","Equisetum","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Galium","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Nemopanthus","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Salix","Solanaceae","Sphagnum","Taxus","Thalictrum","Tofieldia","Ulmus","Unknown.Indeterminable","Viburnum"
0,-31,39,0,16,0,0,4,1,17,0,0,0,0,10,0,0,3,183,4,4,0,11,1,48,2,5,12,0,1,0,0,0,27,2,115,37,0,0,1,0,9,0,1,32,0,1,0,0,25,0
5,-21,23,0,16,0,0,5,1,25,2,0,7,0,8,0,0,3,119,7,1,0,7,0,55,2,1,6,0,0,0,7,0,62,5,126,0,3,0,1,5,12,0,2,26,0,0,0,1,21,0
10,-11,39,0,15,0,0,5,5,30,0,0,0,0,12,0,0,17,306,3,0,0,16,0,62,2,7,14,4,0,0,5,0,33,13,106,18,0,0,0,2,17,0,0,60,2,0,0,0,34,0
20,8,39,0,17,0,0,3,1,28,3,0,0,0,13,0,0,11,557,6,1,0,36,0,67,2,9,13,0,2,0,7,0,45,3,130,0,27,1,0,2,15,0,0,42,0,0,0,0,29,0
30,28,17,0,24,0,0,10,3,22,1,0,0,0,10,0,0,9,3,8,0,0,13,0,45,1,9,13,0,1,0,3,0,20,4,125,13,0,0,0,1,17,1,0,34,1,1,0,1,25,0
40,47,16,0,8,0,0,3,1,5,1,0,0,0,2,0,0,6,0,1,0,0,2,0,51,4,1,4,0,0,0,1,0,36,1,24,0,4,0,0,0,7,0,0,20,0,0,0,0,28,0
50,67,20,0,39,0,0,8,3,55,0,0,0,0,8,0,0,9,0,7,5,0,5,1,255,1,6,23,0,1,1,2,0,55,0,64,0,0,0,1,1,12,0,0,27,0,0,0,0,36,2
55,76,19,0,18,0,0,1,0,28,2,0,0,0,15,0,0,2,1,7,2,0,12,0,105,4,8,10,0,1,1,6,0,67,6,104,0,7,0,0,2,20,1,0,26,0,0,0,0,22,0
60,86,18,0,10,0,0,0,0,40,1,0,0,0,12,0,0,1,0,6,3,0,10,0,55,0,8,6,0,0,0,5,0,33,1,11,0,1,0,1,4,3,1,0,10,0,0,0,1,12,0
70,106,31,0,47,0,0,3,1,80,0,1,0,0,10,0,0,3,0,11,4,0,12,0,87,2,15,14,0,4,0,0,0,83,6,10,0,0,0,2,2,8,1,0,38,0,2,0,0,18,0
80,125,38,0,33,0,0,3,0,89,0,0,0,1,12,1,0,2,0,8,5,0,7,0,47,0,16,12,2,0,3,4,0,90,4,3,0,0,0,2,3,4,0,0,24,0,0,0,0,24,0
85,220,108,0,21,0,0,1,0,274,0,0,0,1,10,2,1,3,0,4,2,0,15,0,41,3,3,23,0,0,1,0,0,157,22,2,0,1,5,1,1,0,2,0,11,2,1,0,0,13,0
