"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Poaceae","Pinus.banksiana.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Ulmus","Onagraceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.strobus","Ambrosia.type","Rosaceae","Salix","Tsuga.canadensis","Fraxinus.nigra.type","Corylus.cornuta","Populus.tremuloides.type","Thalictrum","Castanea.dentata","Caryophyllaceae","Ostrya.Carpinus","Acer.rubrum","Ranunculaceae.undiff.","Amaranthaceae","Populus.balsamifera.type","Picea.glauca.type","Taxus","Pinus.resinosa.type","Shepherdia.canadensis","Carya.ovata","Acer.spicatum","Fagus","Juglans.cinerea","Saxifraga.oppositifolia.type"
5,90,0.0171990171990172,0.216216216216216,0.0687960687960688,0.0171990171990172,0.0171990171990172,0.292383292383292,0.0515970515970516,0.00245700245700246,0.00737100737100737,0.00737100737100737,0.00491400491400491,0.179361179361179,0.00245700245700246,0.115479115479115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,450,0.0259067357512953,0.189982728842832,0.072538860103627,0.00518134715025907,0.00518134715025907,0.355785837651123,0.0483592400690846,0,0,0.00345423143350604,0.00172711571675302,0.18307426597582,0.00172711571675302,0.0846286701208981,0.00518134715025907,0.00345423143350604,0.00172711571675302,0.00345423143350604,0.00172711571675302,0.00172711571675302,0.00172711571675302,0.00172711571675302,0.00172711571675302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,900,0.0197368421052632,0.131578947368421,0.109649122807018,0.0087719298245614,0.00219298245614035,0.418859649122807,0.0504385964912281,0.0043859649122807,0.0043859649122807,0,0,0.192982456140351,0,0.0460526315789474,0.00219298245614035,0,0,0.00219298245614035,0,0,0,0,0,0.0043859649122807,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1349,0.0371287128712871,0.232673267326733,0.106435643564356,0,0.00495049504950495,0.282178217821782,0.0371287128712871,0,0,0.00247524752475248,0.00247524752475248,0.178217821782178,0,0.0915841584158416,0.00495049504950495,0.0148514851485149,0,0,0,0,0,0.00247524752475248,0,0.00247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1799,0.0437158469945355,0.211293260473588,0.103825136612022,0.00910746812386157,0,0.358834244080146,0.0327868852459016,0,0,0,0,0.174863387978142,0,0.0364298724954463,0.00910746812386157,0.00364298724954463,0,0,0,0,0,0,0.0109289617486339,0,0,0.00182149362477231,0.00364298724954463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2249,0.0583501006036217,0.313883299798793,0.106639839034205,0.00603621730382294,0.00603621730382294,0.195171026156942,0.0523138832997988,0.00402414486921529,0,0.00201207243460765,0.00201207243460765,0.152917505030181,0,0.0643863179074447,0.00402414486921529,0.00201207243460765,0,0,0.00201207243460765,0,0,0,0.0181086519114688,0.00201207243460765,0,0,0,0.00402414486921529,0.00402414486921529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2699,0.0323886639676113,0.249662618083671,0.0742240215924427,0.00269905533063428,0.00134952766531714,0.357624831309042,0.0256410256410256,0.00269905533063428,0,0,0.00134952766531714,0.186234817813765,0,0.0377867746288799,0.0067476383265857,0.00134952766531714,0.00269905533063428,0.00134952766531714,0,0,0,0,0.0067476383265857,0.00134952766531714,0,0.00269905533063428,0,0.00134952766531714,0,0.00134952766531714,0.00134952766531714,0.00134952766531714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3148,0.0414414414414414,0.261261261261261,0.118918918918919,0.0036036036036036,0.0072072072072072,0.317117117117117,0.018018018018018,0.00540540540540541,0.0036036036036036,0.0018018018018018,0.0018018018018018,0.106306306306306,0,0.0756756756756757,0.0072072072072072,0.0072072072072072,0,0,0,0.0018018018018018,0,0.0018018018018018,0.009009009009009,0,0,0.0036036036036036,0.0036036036036036,0.0018018018018018,0,0,0,0,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3537,0.0423280423280423,0.240740740740741,0.169312169312169,0.0105820105820106,0.00793650793650794,0.298941798941799,0.0291005291005291,0.00793650793650794,0,0.00264550264550265,0,0.111111111111111,0,0.0423280423280423,0,0.00529100529100529,0,0,0,0,0,0.00529100529100529,0.0211640211640212,0,0,0.00264550264550265,0,0,0,0,0,0,0,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3781,0.0274261603375527,0.341772151898734,0.191983122362869,0.00421940928270042,0,0.244725738396624,0.0147679324894515,0,0.00210970464135021,0.00210970464135021,0,0.0590717299578059,0.00210970464135021,0.0675105485232067,0,0.00210970464135021,0,0,0,0,0.00210970464135021,0.00210970464135021,0.0105485232067511,0.00421940928270042,0,0.00632911392405063,0.00210970464135021,0,0.00210970464135021,0,0,0,0,0.00210970464135021,0.00210970464135021,0.00210970464135021,0.00421940928270042,0,0,0,0,0,0,0,0,0,0
