"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rosaceae","Thalictrum","Xanthium"
200,2789,133,1,9,1,10,1,0,0,0,0,7,0,3,1,0,1,1,0,1,40,0,0,15,2,0,0,13,3,0,6,0,0,0,0,0,2,16,0,0,0
210,2930,161,0,7,0,12,0,0,0,4,0,8,7,3,0,0,0,0,2,0,22,1,0,25,4,0,2,3,8,1,2,0,0,1,0,0,23,26,0,0,0
220,3071,169,0,13,1,10,0,0,1,5,0,14,6,5,1,0,0,1,4,1,13,1,0,20,12,0,2,5,3,0,0,0,0,0,0,1,14,35,0,1,0
230,3211,159,0,14,0,10,3,0,0,4,0,16,4,2,1,1,1,0,9,1,11,1,0,17,2,0,1,4,10,0,0,0,0,0,0,0,7,39,0,1,0
240,3352,197,0,19,1,14,0,0,0,4,0,21,3,4,0,0,0,0,0,1,15,0,0,21,1,0,0,3,5,0,0,0,1,0,1,0,4,79,0,0,0
250,3493,192,0,7,1,15,0,0,0,9,0,20,4,3,1,0,0,1,7,0,15,0,0,9,2,0,2,5,10,0,0,0,0,0,0,0,4,76,0,1,0
260,3634,171,1,12,1,7,1,0,0,1,0,18,3,3,0,0,0,1,2,1,17,0,0,12,1,0,1,12,5,0,1,0,0,1,1,0,0,69,0,0,0
270,3775,226,0,20,0,14,1,0,0,4,0,21,3,3,0,0,0,0,3,1,11,2,0,9,2,0,0,8,4,0,0,0,0,2,0,0,2,116,0,0,0
280,3915,187,0,9,2,4,2,0,0,3,0,15,1,4,0,0,1,1,4,1,17,2,0,18,0,0,0,8,9,0,0,0,2,0,0,1,0,83,0,0,0
290,4056,191,1,6,1,17,1,0,0,6,0,15,5,3,0,0,0,0,5,3,16,0,0,15,0,0,3,6,10,0,1,0,0,1,0,0,0,76,0,0,0
300,4197,141,0,11,2,8,0,1,0,5,0,12,2,2,0,0,0,0,8,0,20,0,0,21,1,0,0,7,6,0,0,0,0,0,0,0,0,35,0,0,0
310,4338,202,0,14,2,15,1,0,0,5,0,19,1,2,0,0,0,0,2,0,25,1,0,12,1,0,3,6,5,0,2,0,1,0,0,1,0,82,0,2,0
320,4479,156,1,12,2,17,1,0,0,4,0,14,4,0,0,0,0,0,5,0,18,1,0,18,0,0,1,4,5,0,0,0,0,1,0,0,0,48,0,0,0
330,4619,173,0,7,2,5,1,0,0,7,0,12,4,5,0,0,0,0,6,3,27,0,0,26,0,0,2,1,8,0,1,0,0,0,0,0,0,54,0,1,1
340,4760,186,0,11,1,8,0,0,0,8,0,9,4,6,0,0,0,0,4,0,30,0,0,28,0,0,2,5,9,0,1,0,1,0,0,0,0,59,0,0,0
350,4901,146,0,6,1,4,0,1,0,1,0,6,6,1,0,0,0,0,7,0,27,0,0,28,0,0,1,3,14,0,1,0,0,0,0,0,0,39,0,0,0
360,5042,192,0,9,2,10,2,0,0,4,0,13,5,4,0,0,0,0,6,0,26,1,0,19,0,0,1,4,5,0,0,0,0,1,0,1,2,77,0,0,0
365,5112,154,0,9,1,17,0,0,1,3,0,12,5,9,0,0,1,0,3,0,24,0,0,14,0,0,0,7,6,0,1,0,0,0,0,0,0,41,0,0,0
370,5390,138,1,4,1,5,1,0,0,0,0,1,2,1,1,0,0,0,12,1,60,1,1,9,0,0,3,20,11,0,1,0,1,0,0,0,0,1,0,0,0
380,5945,166,1,3,0,5,0,0,1,0,0,1,2,1,0,0,0,0,6,55,70,0,0,11,0,0,1,5,3,0,0,0,0,0,0,0,1,0,0,0,0
390,6500,112,1,5,0,10,0,0,1,1,0,2,1,1,0,0,0,0,7,1,61,0,0,15,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0
400,7056,134,1,4,0,12,0,0,0,1,0,0,0,2,1,0,1,0,3,0,84,1,0,10,1,0,0,2,6,0,1,0,1,0,0,0,0,3,0,0,0
410,7611,106,0,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,4,1,68,0,1,17,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0
420,8166,111,4,2,1,8,0,0,0,0,0,0,0,0,0,0,1,0,7,0,62,0,0,21,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
430,8721,106,2,1,1,7,0,0,0,0,0,0,1,2,0,0,0,1,2,0,72,1,0,12,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
440,9277,124,1,0,0,10,1,0,0,1,0,1,3,4,0,0,0,1,4,1,60,0,0,21,0,0,0,2,8,0,0,0,0,0,0,0,0,6,0,0,0
450,9832,127,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,4,2,81,0,0,10,0,0,0,0,7,0,0,0,1,0,0,0,2,6,0,0,0
460,10387,115,0,1,0,12,0,0,0,2,0,0,0,1,0,0,0,0,7,2,66,0,0,6,1,0,0,1,4,1,0,0,0,0,0,0,5,6,0,0,0
470,10942,111,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,2,82,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,4,4,0,0,0
475,11069,109,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,89,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0
480,11196,121,1,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,4,84,0,0,9,2,1,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0
490,11450,126,4,0,1,4,1,0,0,0,0,1,1,1,0,0,7,0,0,5,93,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0
500,11704,140,4,0,3,4,1,0,1,1,0,0,0,0,1,0,10,0,4,28,54,0,0,6,1,0,0,1,4,0,0,0,0,2,0,0,11,4,0,0,0
510,NA,181,3,0,2,4,0,0,1,1,0,0,0,1,1,0,21,0,3,36,45,0,0,9,1,0,0,0,5,0,1,0,4,0,0,0,42,1,0,0,0
515,NA,153,2,0,1,11,1,0,0,0,0,0,0,2,0,0,15,0,0,40,35,1,0,8,3,1,0,1,4,0,0,1,0,1,0,0,25,1,0,0,0
520,NA,148,0,0,3,11,1,0,0,3,0,0,0,2,0,0,2,0,1,30,40,0,0,9,4,0,0,0,5,0,0,0,4,3,0,0,28,1,1,0,0
530,NA,186,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,49,43,0,0,2,2,0,0,1,0,0,1,0,2,1,0,0,67,1,0,0,0
540,NA,240,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,22,58,0,0,4,3,0,0,2,4,0,3,0,3,0,0,1,117,12,0,1,0
