"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharinum.type","Acer.saccharum","Agastache.type","Alnus.cf..A..incana","Alnus.cf..A..viridis","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Cerealia.undiff.","Chenopodium.type","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Ephedra.trifurca.type","Ephedra.viridis.type","Equisetum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Gentiana.puberulenta.type","Indeterminable","Iva.xanthifolia.type","Larix","Lemna","Lilium","Melilotus.type","Myriophyllum.alterniflorum.type","Myriophyllum.sibiricum.type","Nuphar","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.lapathifolium.type","Populus.tremuloides.type","Potamogeton","Potentilla.type","Pteridium.type","Quercus","Ranunculus.type","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Thuja.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Utricularia","Vitis","Zea.mays"
0,-29,0,0,1,0,0,10,0,18,1,0,3,2,0,16,0,0,0,3,1,44,0,0,0,0,0,2,1,0,6,1,0,4,0,0,0,0,7.5,1,0.5,46,4,98.5,0,20,0,12,1,0,0,27.5,0,0,0,0,5,0,1,0,0,1,0,0,0,3,1,0,0,1,1
25,62,0,0,0,1,0,5,0,21,0,0,6,3,0,13,0,0,0,9,1,36,0,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,4,1,0,45.5,17,45,1,15,0,4,0,0,1,25,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,1
35,98,0,0,0,0,0,6,0,14,0,0,6,1,0,10,0,0,2,5,2,27,0,1,1,0,1,0,0,0,9.5,0,0,2,0,0,0,0,4,4,3,35.5,8.5,71,0,9,0,6,3,0,0,13,0,0,0,1,4,0,1,0,0,2,0,0,1,2,3,0,0,0,0
45,134,0,1,0,1,0,2,1,7,0,0,5,3,0,6,0,0,0,0,2,33,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,5.5,4,1.5,40,3,84,0,16,0,5,1,0,0,9,0,0,0,1,5,0,0,0,1,0,0,0,0,2,1,0,0,0,0
55,200,1,0,0,1,0,13,2,2,1,0,5,3,0,14,0,0,0,2,5,27,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,1,4,3,2,28.5,9,121,0,14,0,0,3,0,2,9,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
70,355,1,2,0,0,0,10,3,3,0,0,7,4,0,11,0,0,0,0,1,22,0,0,0,0,0,2,0,0,4.5,0,1,0,0,0,0,0,3,6,2.5,20.5,14,108,0,17,0,3,1,0,0,21,0,0,0,0,2,0,2,0,0,0,1,0,0,2,2,0,0,0,0
80,502,1,0,0,0,1,9,0,2,0,0,6,5,0,16.5,1,0,0,4,5,34.5,0,0,0,0,3,0,0,0,7.5,1,0,1,0,0,0,0,7,4,7.5,33.5,9,120.5,0,18,0,1,4,0,0,23,0,0,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0,0
90,695,1.5,1,0,0,0,6,3,3,0,1,9,1,0,23,0,0,0,1,1,21.5,0,0,0,0,1,4,0,0,7,0,0,0,1,0,0,0,3.5,3,6.5,17.5,17,85.5,1,33,0,2,4,0,0,9,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0
105,983,0,0,0,2,0,13,0,2,2,0,5,2,0,29,0,0,0,0,4,30.5,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,8,6,1.5,14.5,11,52,0,17,0,0,3,0,0,25,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
130,1464,0,0,0,0,0,8.5,0,4,1,0,9,9,0,16,0,0,0,0,2,35.5,0,0,0,0,0,0,0,2,8.5,0,0,0,0,0,0,0,0,4,3.5,3,5.5,49,0,37,0,2,1,0,1,12,2,0,4,1,3,0,0,0,0,0,0,0,0,5,1,0,1,0,0
150,1848,0,0,0,0,0,5,1,2,0,0,5.5,9,0,13,0,0,0,2,5,62,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,5.5,9,40.5,0,65,2.5,2,1,0,0,10,0,0,0,0,3,2,1,0,0,0,0,0,1,1,1,0,0,0,0
