"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Cupressaceae","Cyperaceae","Ericaceae","Herbs.undiff.","Larix","Myrica","Picea","Pinus","Poaceae","Salix"
0,NA,308,1,0,7,1,121,0,65,0,0,1,28,168,205,0,1
5,NA,440,0,0,10,0,108,0,29,10,20,1,0,78,205,29,1
10,NA,57,1,10,0,0,57,0,114,19,48,19,0,162,333,10,0
15,1447,67,0,0,19,1,38,0,238,10,48,1,10,209,333,10,0
20,1627,209,0,0,19,0,48,0,314,10,38,0,1,105,171,10,10
25,1808,91,0,1,0,0,58,0,362,1,10,0,1,107,231,1,8
27.5,1898,72,0,0,9,0,452,0,27,18,9,0,18,90,172,1,27
30,1989,56,0,0,1,0,380,0,94,1,19,0,19,75,197,9,66
40,2714,116,0,0,8,8,208,0,46,23,15,0,62,116,146,6,15
45,3258,94,1,0,8,0,224,0,78,16,1,0,31,141,180,6,16
50,3803,192,0,1,9,0,183,0,70,9,13,0,44,175,183,9,9
55,4347,81,0,0,12,0,60,0,226,12,0,0,8,242,177,12,0
58,4674,93,0,0,163,0,7,0,147,8,0,0,16,233,225,0,8
60,4892,113,12,0,16,12,65,0,89,12,0,0,16,251,259,0,8
63,5219,215,1,0,33,0,132,0,50,0,0,1,124,190,124,0,17
65,5436,213,4,1,8,15,129,0,38,0,0,0,38,182,137,0,15
70,5892,207,8,1,8,0,154,0,31,0,1,0,54,215,77,0,8
75,5990,321,1,19,9,1,175,0,38,0,1,0,28,265,95,0,19
80,6088,324,16,1,21,0,240,0,21,0,1,0,10,178,115,0,21
85,6185,314,10,10,29,0,233,0,19,0,0,0,14,247,114,0,1
90,6283,438,1,1,1,0,158,0,19,0,0,0,19,270,75,0,9
95,6381,249,1,1,17,1,175,0,46,1,0,0,28,222,166,1,9
100,6479,376,0,0,1,0,203,1,10,0,0,0,39,270,48,19,5
105,6577,398,1,0,15,0,185,0,1,1,0,0,19,301,39,1,19
110,6675,319,1,1,10,19,155,0,5,0,0,0,58,329,87,1,10
115,6773,388,10,1,18,0,189,0,5,0,0,0,50,234,80,10,5
120,6871,306,19,0,19,0,191,0,29,1,0,0,10,162,220,1,29
125,7057,369,10,1,10,1,189,0,10,0,0,0,40,249,80,20,1
130,7242,397,10,0,31,1,142,0,20,1,1,0,71,244,20,15,31
135,7428,384,10,0,20,0,167,0,20,0,0,0,39,227,79,10,15
140,NA,429,26,1,1,0,153,1,1,0,0,0,112,215,41,10,10
