"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Fraxinus","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae"
0,-33,0.00268817204301075,0.010752688172043,0.0188172043010753,0.247311827956989,0,0.00268817204301075,0.00537634408602151,0,0,0.00806451612903226,0.00806451612903226,0.0403225806451613,0.21505376344086,0.223118279569892,0.0456989247311828,0,0,0.120967741935484,0.00537634408602151,0.010752688172043,0.021505376344086,0.00268817204301075,0,0.00268817204301075,0.00806451612903226
10,128,0.0128205128205128,0.016025641025641,0.0256410256410256,0.259615384615385,0,0,0.00320512820512821,0,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.016025641025641,0.211538461538462,0.227564102564103,0.0448717948717949,0,0.00320512820512821,0.134615384615385,0.00961538461538462,0,0.00961538461538462,0,0.00320512820512821,0,0.00320512820512821
20,290,0,0.0317848410757946,0.019559902200489,0.36919315403423,0.00244498777506112,0,0.0122249388753056,0.00244498777506112,0.00488997555012225,0.0220048899755501,0.00733496332518337,0.0097799511002445,0.229828850855746,0.146699266503667,0.0709046454767726,0,0,0.0268948655256724,0.0171149144254279,0.0097799511002445,0.0146699266503667,0,0,0,0.00244498777506112
30,451,0.00817438692098093,0.0136239782016349,0.0463215258855586,0.20708446866485,0,0.00817438692098093,0.00817438692098093,0,0.0136239782016349,0.00817438692098093,0.00544959128065395,0.0190735694822888,0.264305177111717,0.217983651226158,0.0544959128065395,0,0.00272479564032698,0.0517711171662125,0.0190735694822888,0.0272479564032698,0.0108991825613079,0,0.00272479564032698,0.00544959128065395,0.00544959128065395
40,613,0.00209643605870021,0.0188679245283019,0.0188679245283019,0.222222222222222,0.00209643605870021,0.00419287211740042,0.00838574423480084,0.00209643605870021,0.0146750524109015,0.010482180293501,0.00419287211740042,0.0230607966457023,0.19496855345912,0.316561844863732,0.0482180293501048,0,0,0.0524109014675052,0.0251572327044025,0.00838574423480084,0.010482180293501,0.00209643605870021,0,0.00209643605870021,0.00838574423480084
50,774,0.00233644859813084,0.0233644859813084,0.0467289719626168,0.254672897196262,0,0.0116822429906542,0.0186915887850467,0,0.0116822429906542,0.0116822429906542,0.00467289719626168,0.0350467289719626,0.203271028037383,0.210280373831776,0.0911214953271028,0,0.00233644859813084,0.014018691588785,0.0257009345794393,0.00934579439252336,0.014018691588785,0.00233644859813084,0,0.00233644859813084,0.00467289719626168
60,935,0.0167364016736402,0.0418410041841004,0.0167364016736402,0.117154811715481,0,0.00418410041841004,0.0251046025104603,0,0.0167364016736402,0.0167364016736402,0.0167364016736402,0.0585774058577406,0.322175732217573,0.171548117154812,0.096234309623431,0,0.00836820083682008,0,0.0376569037656904,0.0167364016736402,0.00836820083682008,0,0,0.00836820083682008,0
70,1097,0,0.0324483775811209,0.0501474926253687,0.144542772861357,0,0.00589970501474926,0.0265486725663717,0,0.0117994100294985,0.0206489675516224,0,0.0442477876106195,0.230088495575221,0.271386430678466,0.0914454277286136,0.00294985250737463,0,0,0.0294985250737463,0.00589970501474926,0.0088495575221239,0.00294985250737463,0.00589970501474926,0.00294985250737463,0.0117994100294985
80,1258,0.00574712643678161,0.00862068965517241,0.0172413793103448,0.129310344827586,0,0.014367816091954,0.0114942528735632,0,0.0028735632183908,0.0229885057471264,0.0028735632183908,0.0201149425287356,0.241379310344828,0.413793103448276,0.0603448275862069,0,0,0.0028735632183908,0.014367816091954,0.0114942528735632,0.0114942528735632,0,0.0028735632183908,0,0.00574712643678161
90,1420,0.0023094688221709,0.0161662817551963,0.0254041570438799,0.0854503464203233,0.0023094688221709,0.0046189376443418,0.0069284064665127,0,0.0023094688221709,0.0323325635103926,0,0.0300230946882217,0.170900692840647,0.473441108545035,0.092378752886836,0,0.0023094688221709,0.0069284064665127,0.0254041570438799,0.0092378752886836,0.0069284064665127,0.0023094688221709,0.0023094688221709,0,0
