"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Achillea.type","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Butomus.umbellatus","Callitriche","Caltha","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Drosera","Ephedra","Equisetum","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Huperzia.selago","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodium","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
780,113,7,34,4,0,0,21,1,6,55,0,1,2,1,343,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,1,1,0,36,3,5,8,0,1,1,0,0,1,8,0,11,0,1,0,0,4,1,1,0,0,1,0,2,0,18,9,68,116,2,1,30,0,11,0,2,82,1,1,0,12,0,5,0,0,0,2,1,0,0,57,0,13,0
788,245,6,44,9,1,0,32,0,5,82,0,11,3,0,295,0,1,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,1,0,59,3,10,8,1,0,0,4,1,0,6,0,6,0,0,0,1,1,0,4,0,1,1,0,0,0,24,11,69,122,2,3,53,0,1,0,9,56,1,0,0,14,0,3,0,0,2,2,0,0,2,46,0,16,4
796,378,6,34,2,0,0,23,0,1,0,0,4,2,0,350,0,1,0,0,0,0,2,0,1,0,0,0,3,5,0,0,0,0,0,0,0,22,4,8,4,2,0,0,0,2,0,6,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,22,13,220,95,0,5,3,0,2,0,4,60,0,0,0,0,0,0,0,1,0,0,1,0,5,112,0,19,0
804,512,13,21,6,0,0,31,0,0,8,0,5,1,0,329,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,38,4,10,3,1,0,2,3,4,1,4,0,2,1,0,0,0,6,0,0,0,1,1,0,0,0,34,20,153,133,0,6,0,0,2,0,6,73,1,1,0,0,0,0,0,0,4,3,2,0,15,110,0,40,0
812,647,3,60,12,0,0,20,0,1,2,0,6,1,0,293,0,1,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,116,3,21,6,2,0,1,0,2,1,8,0,3,0,0,0,0,2,2,1,0,2,0,0,0,0,22,8,84,91,0,3,2,0,3,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,4,238,0,39,0
820,783,4,63,1,0,0,11,0,0,4,0,2,0,0,240,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,107,5,10,1,0,0,1,0,1,0,5,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,11,10,112,94,0,3,3,0,1,0,0,49,0,0,0,0,1,2,0,0,0,0,3,1,4,277,0,46,0
828,921,3,50,5,0,0,14,0,1,2,0,4,2,0,198,0,0,0,0,0,0,4,0,0,0,0,0,2,10,0,0,0,0,0,1,0,144,3,11,5,1,0,0,0,1,0,14,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,15,5,79,96,0,3,2,0,0,0,2,45,0,0,0,0,0,2,0,0,0,2,3,0,0,273,0,30,0
836,1060,8,67,10,0,0,13,0,1,2,0,3,4,0,240,0,0,0,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,1,1,0,190,7,10,1,2,0,1,1,1,0,9,0,4,0,0,0,0,0,0,1,0,1,3,0,0,0,19,15,76,124,0,2,2,0,1,0,0,58,0,0,0,0,0,0,0,1,0,3,6,1,4,172,0,33,0
844,1201,4,59,10,0,0,13,0,1,2,0,4,2,0,271,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,1,0,174,6,8,4,0,0,0,3,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,17,13,80,130,0,7,2,0,1,0,1,33,0,1,0,0,0,0,0,0,1,3,1,0,4,213,1,27,0
852,1342,4,65,4,0,0,12,0,0,4,0,4,3,0,263,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,117,5,6,9,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,95,71,0,4,4,0,2,0,3,44,0,0,0,0,0,0,0,1,1,2,3,0,6,123,0,51,0
