"sample.depths","sample.ages","upland.sum","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Salix","Taxodium","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Poaceae","Polygonum","Vigna"
1,-34,258,1,1,0,0,3,0,0,1,0,0,10,0,0,0,4,2,0,15,2,2,10,0,0,28,3,106,0,4,1,3,1,0,21,0,12,0,4,24,0,0
10,26,268,0,1,0,0,2,0,0,0,0,0,13,0,0,0,3,0,1,13,1,2,11,0,0,30,13,111,0,0,3,2,1,0,22,1,12,0,6,20,0,0
30,159,241,1,0,0,1,4,0,0,0,0,0,13,1,0,0,4,0,0,16,3,4,16,1,1,25,2,60,1,5,1,1,1,1,25,3,9,0,11,31,0,0
40,226,251,0,0,0,0,3,3,1,0,0,0,13,0,3,0,3,0,0,15,5,4,9,1,0,25,1,90,2,4,0,7,1,0,22,1,3,0,23,12,0,0
50,293,274,2,0,0,0,0,0,2,1,0,0,23,0,2,0,5,0,0,19,2,6,16,1,1,18,0,87,3,4,0,6,1,0,26,1,2,0,33,13,0,0
70,426,276,0,0,0,0,6,0,0,0,0,0,18,1,0,0,5,0,0,20,1,15,19,0,0,17,0,141,0,0,0,0,0,0,7,3,12,0,0,11,0,0
82,506,251,0,0,0,0,3,0,1,0,0,0,18,1,0,0,4,0,0,15,2,8,14,0,1,28,2,95,4,0,0,0,2,0,5,2,18,0,2,26,0,0
105,660,246,0,0,0,0,6,1,0,0,0,0,23,0,0,0,4,0,0,13,1,9,7,0,0,33,3,85,6,1,0,0,0,0,6,3,9,0,0,32,2,2
125,793,260,1,0,1,0,3,0,0,1,0,0,11,0,1,0,8,0,0,8,1,6,14,0,0,33,0,115,5,3,0,0,0,0,7,1,16,0,3,22,0,0
145,927,288,1,0,0,0,3,0,0,0,0,0,24,0,0,0,7,0,0,10,1,6,9,1,0,35,1,114,3,0,0,0,1,0,7,2,23,0,2,37,0,1
155,994,321,1,0,0,2,3,0,0,0,0,0,24,0,1,0,2,0,1,5,0,9,4,1,1,27,1,158,4,1,0,1,2,0,7,4,16,0,2,44,0,0
165,1060,276,1,0,0,1,5,0,0,1,0,0,20,0,0,0,3,0,0,5,1,5,5,0,0,21,2,147,2,3,0,1,0,1,6,2,15,0,3,26,0,0
185,1194,270,0,0,0,0,4,1,0,0,0,1,18,0,0,0,4,0,1,13,0,5,9,0,0,18,0,117,4,2,1,0,2,0,6,1,32,0,4,26,0,1
205,1327,250,2,0,0,0,1,0,1,0,0,0,14,0,0,0,2,1,0,9,0,0,9,1,0,16,0,97,2,3,0,0,0,0,13,4,22,0,3,50,0,0
225,1461,275,1,1,2,1,7,0,0,0,0,0,12,0,0,0,5,0,0,12,0,8,3,1,0,18,1,97,2,1,0,1,0,0,11,2,27,0,9,52,0,1
245,1594,280,1,0,0,0,1,0,0,0,0,0,18,1,0,0,2,0,0,11,2,4,5,0,1,35,0,125,1,0,0,0,0,0,12,7,17,0,2,33,1,1
265,1728,257,0,0,0,0,4,0,0,0,0,0,15,1,0,0,5,0,0,13,0,10,6,0,0,18,0,69,0,0,0,0,0,0,11,7,28,0,5,65,0,0
285,1862,258,0,0,0,0,1,0,0,0,0,0,14,0,0,0,5,0,0,11,0,6,8,0,0,28,2,89,1,3,0,1,1,1,8,6,22,0,5,46,0,0
305,1995,301,2,0,0,2,2,1,0,1,0,1,18,0,0,0,3,0,0,10,0,4,15,0,0,28,0,141,3,0,0,1,1,0,11,3,12,0,5,37,0,0
332,2175,265,2,0,0,1,4,0,0,0,0,0,18,0,0,0,5,0,0,8,0,2,12,0,0,17,1,111,4,2,0,0,1,0,7,3,20,0,1,46,0,0
352,2309,274,0,0,0,1,1,0,0,1,0,0,16,0,0,0,2,0,0,9,0,4,8,1,0,21,2,112,1,1,0,0,3,0,5,9,23,0,5,48,0,1
372,2442,268,0,1,0,1,3,0,1,0,0,0,16,0,0,0,10,0,0,14,1,13,4,0,0,23,0,86,1,1,0,0,1,1,11,4,25,0,2,49,0,0
392,2576,255,0,1,0,0,4,0,0,0,0,0,27,0,0,0,4,0,0,6,2,2,11,0,0,18,1,86,3,0,0,0,1,0,11,2,23,0,3,50,0,0
412,2709,274,0,1,0,0,0,0,0,2,0,0,17,0,0,0,3,0,0,8,1,8,7,0,1,11,0,96,3,0,1,0,2,0,11,6,30,0,1,64,0,1
432,2843,268,2,0,0,0,4,0,1,0,0,0,6,1,0,0,2,0,1,10,0,4,4,1,0,23,0,66,1,0,0,0,2,0,14,1,51,0,2,72,0,0
446,2936,295,0,0,0,2,1,1,0,1,0,0,26,0,1,0,8,0,3,12,1,6,9,0,0,30,0,106,3,1,0,0,1,0,9,6,25,0,3,39,0,1
461,3036,265,1,2,0,0,3,0,0,0,0,0,16,0,1,0,5,0,1,6,0,3,8,1,0,30,1,73,1,1,0,0,2,0,14,2,32,0,6,56,0,0
476,3137,276,0,1,0,0,2,1,0,0,0,0,9,0,0,0,3,0,1,9,1,7,18,0,0,24,0,62,4,1,0,0,1,0,13,4,40,0,3,71,0,1
491,3237,255,0,0,0,2,6,0,0,0,0,0,14,0,0,1,7,0,3,3,1,6,14,0,0,25,1,77,1,2,0,0,0,0,9,6,41,0,2,34,0,0
511,3370,253,0,0,0,0,2,0,0,0,0,0,18,0,0,0,5,1,2,5,2,8,18,1,1,25,0,69,2,1,0,0,2,0,10,8,29,0,4,38,0,2
531,NA,264,0,0,0,0,2,0,0,0,0,0,16,1,0,0,3,0,1,3,1,6,7,2,1,21,2,89,2,2,0,0,1,0,15,20,27,0,7,34,0,1
