"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Artemisia","Caryophyllaceae","Ericaceae","Fraxinus.nigra.type","Apiaceae","Rosaceae.undiff.","Acer.saccharum","Carya.ovata","Fraxinus.pennsylvanica.type","Acer.spicatum","Ambrosia.type","Juglans.nigra","Larix","Populus.balsamifera.type","Sambucus","Taxus","Polygonum","Tilia","Juglans.cinerea","Saxifraga.oppositifolia.type","Potentilla.palustris.type","Viburnum.undiff.","Amaranthaceae","Viburnum.edule","Urticaceae","Shepherdia.canadensis"
0,-1,0.00170648464163823,0.00511945392491468,0.0307167235494881,0.455631399317406,0.0136518771331058,0.0068259385665529,0.0068259385665529,0.0392491467576792,0.150170648464164,0.00853242320819113,0.00170648464163823,0.0136518771331058,0.00341296928327645,0.00341296928327645,0.00170648464163823,0.0443686006825939,0.0068259385665529,0.052901023890785,0.00170648464163823,0.00341296928327645,0.00511945392491468,0.00511945392491468,0.052901023890785,0.00511945392491468,0.0170648464163823,0.0631399317406143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,449,0,0.00166112956810631,0.0498338870431894,0.564784053156146,0.0132890365448505,0.00830564784053156,0.00166112956810631,0.0166112956810631,0.0681063122923588,0.0249169435215947,0,0.00830564784053156,0,0.00166112956810631,0.00166112956810631,0,0.00498338870431894,0.0598006644518272,0,0,0,0,0.121262458471761,0,0.00332225913621262,0.0315614617940199,0.00166112956810631,0.00166112956810631,0.00166112956810631,0.00166112956810631,0.00166112956810631,0.00166112956810631,0.00664451827242525,0.00166112956810631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1123,0,0.00421348314606742,0.0688202247191011,0.501404494382023,0.00842696629213483,0.0098314606741573,0.0098314606741573,0.0252808988764045,0.115168539325843,0.0154494382022472,0.00280898876404494,0.00842696629213483,0.00280898876404494,0,0.00280898876404494,0.0098314606741573,0.00421348314606742,0.0449438202247191,0.00140449438202247,0.00842696629213483,0.00561797752808989,0.00421348314606742,0.0856741573033708,0.00280898876404494,0.00280898876404494,0.0351123595505618,0.00140449438202247,0,0,0.00421348314606742,0,0,0.0126404494382022,0,0.00140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1573,0,0.00671140939597315,0.0281879194630872,0.469798657718121,0.00268456375838926,0.00536912751677852,0,0.00402684563758389,0.123489932885906,0.0563758389261745,0,0,0,0.00402684563758389,0.00268456375838926,0,0,0.0939597315436242,0.00134228187919463,0.00536912751677852,0,0.00134228187919463,0.132885906040268,0.00134228187919463,0.00536912751677852,0.0322147651006711,0.00134228187919463,0,0,0.00268456375838926,0,0,0.00402684563758389,0,0.00134228187919463,0.00134228187919463,0.00268456375838926,0.00134228187919463,0.00268456375838926,0.00134228187919463,0.00268456375838926,0.00134228187919463,0,0,0,0,0,0,0,0,0,0
45,2022,0.00222222222222222,0.00444444444444444,0.0666666666666667,0.548888888888889,0.0133333333333333,0.00666666666666667,0,0.0177777777777778,0.0622222222222222,0.0333333333333333,0,0.00444444444444444,0,0.00444444444444444,0.00444444444444444,0,0,0.0488888888888889,0,0,0,0,0.142222222222222,0.00222222222222222,0.00888888888888889,0.0155555555555556,0,0.00222222222222222,0,0.00444444444444444,0,0,0,0,0,0.00222222222222222,0,0,0,0.00222222222222222,0,0,0.00222222222222222,0,0,0,0,0,0,0,0,0
60,2696,0,0.00484652665589661,0.0662358642972536,0.546042003231018,0.00969305331179321,0.00161550888529887,0,0.00646203554119548,0.0969305331179321,0.0226171243941842,0,0.00484652665589661,0,0.00161550888529887,0.00161550888529887,0,0,0.0258481421647819,0,0.00161550888529887,0,0,0.17124394184168,0,0.00161550888529887,0.024232633279483,0,0,0.00161550888529887,0,0,0.00323101777059774,0.00484652665589661,0,0,0.00161550888529887,0,0,0,0,0,0,0,0.00161550888529887,0,0,0,0,0,0,0,0
70,3145,0,0.00686106346483705,0.0497427101200686,0.48885077186964,0.0102915951972556,0.00857632933104631,0,0.00514579759862779,0.0806174957118353,0.032590051457976,0,0.00171526586620926,0,0.00343053173241852,0.00171526586620926,0,0,0.0857632933104631,0,0.00343053173241852,0,0.0102915951972556,0.173241852487136,0,0,0.0240137221269297,0.00343053173241852,0,0,0.00514579759862779,0,0,0,0,0,0,0.00171526586620926,0,0,0,0,0,0,0.00171526586620926,0.00171526586620926,0,0,0,0,0,0,0
85,3819,0,0.00597609561752988,0.0438247011952191,0.49203187250996,0.00597609561752988,0,0,0.00199203187250996,0.097609561752988,0.0258964143426295,0,0.00398406374501992,0,0.00199203187250996,0.00199203187250996,0,0.00199203187250996,0.0856573705179283,0,0.00398406374501992,0,0.00199203187250996,0.183266932270916,0,0.00199203187250996,0.0239043824701195,0,0,0.00199203187250996,0.00597609561752988,0,0,0,0,0,0.00199203187250996,0,0,0.00199203187250996,0,0,0.00398406374501992,0,0,0,0,0,0,0,0,0,0
95,4268,0,0.00720461095100865,0.0619596541786743,0.528818443804035,0.00288184438040346,0.00576368876080692,0.015850144092219,0.0115273775216138,0.10806916426513,0.0115273775216138,0.00432276657060519,0.0129682997118156,0.00144092219020173,0.00144092219020173,0.0100864553314121,0.0144092219020173,0.00432276657060519,0.0273775216138329,0,0.00288184438040346,0.00864553314121038,0.00864553314121038,0.0965417867435159,0,0.00288184438040346,0.037463976945245,0.00144092219020173,0,0,0,0,0.00288184438040346,0.00576368876080692,0,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4942,0,0.00462962962962963,0.0524691358024691,0.614197530864197,0.00462962962962963,0.00154320987654321,0.00154320987654321,0.00462962962962963,0.0740740740740741,0.0154320987654321,0,0.0108024691358025,0,0.00308641975308642,0.00617283950617284,0,0,0.0478395061728395,0,0,0.00308641975308642,0,0.112654320987654,0,0.00154320987654321,0.0108024691358025,0.00154320987654321,0,0.00462962962962963,0.00925925925925926,0,0,0.00617283950617284,0,0.00154320987654321,0.00154320987654321,0.00154320987654321,0,0,0,0,0.00154320987654321,0,0,0.00154320987654321,0.00154320987654321,0,0,0,0,0,0
