"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Cephalanthus","Corylus","Eucalyptus","Fraxinus","Juglans","Juniperus","Larix","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Ulmus","Ambrosia.Iva","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Other.herbs","Poaceae","Lycopodium","Polypodiaceae","Pteridium","Nuphar","Other.aquatics","Typha.angustifolia","Typha.latifolia","Indeterminable"
1555.5,72,0,4,5,5,1,0,0,399,2,0,3,0,6,0,0,0,24,0,2,138,1,3,4,21,16,2,2,30,1,26,0,9,0,0,3,1,0,0
1560.5,79,0,0,4,37,7,0,2,318,0,0,0,0,0,0,0,4,32,0,0,97,0,9,9,48,12,11,3,11,0,19,0,30,0,7,16,0,3,6
1564,83,0,2,11,21,2,0,9,619,3,1,1,0,14,0,1,0,64,0,0,223,0,6,17,38,19,10,7,29,2,46,2,18,1,2,0,2,2,0
1568,89,0,1,0,27,3,0,4,273,4,2,1,0,7,0,0,0,16,2,4,134,7,3,13,41,14,2,2,10,2,28,1,1,0,0,0,0,0,3
1569,90,0,0,4,11,3,0,3,387,0,2,1,0,6,1,0,2,44,1,0,154,0,8,5,22,10,10,1,8,4,18,0,18,0,2,11,0,1,7
1570.5,122,0,2,2,18,2,0,2,457,9,1,0,0,8,1,1,3,64,3,2,239,4,5,10,38,22,8,6,29,3,36,0,21,1,1,6,2,0,4
1575,220,2,1,1,12,4,0,1,386,3,3,0,0,3,1,0,2,38,1,0,120,0,5,8,27,12,11,7,20,1,25,0,23,1,2,7,0,2,1
1590.5,554,0,3,1,31,2,0,3,193,2,1,1,0,9,2,0,2,40,3,0,106,1,15,7,62,10,8,3,8,0,23,1,11,0,8,5,2,2,1
1610.5,986,0,1,7,12,0,0,4,614,5,0,1,0,7,0,0,0,41,3,0,162,3,1,8,16,29,5,9,8,1,33,0,1,0,3,0,0,5,0
1665.5,1664,0,0,10,37,3,0,3,153,6,1,0,0,16,0,1,3,50,0,0,192,0,14,18,47,20,8,3,10,1,73,0,5,0,4,2,0,8,1
1715.5,2004,0,4,2,17,1,0,1,325,6,0,2,0,2,1,0,0,20,0,3,152,0,2,9,12,25,6,3,5,1,30,0,0,0,3,0,1,1,0
1735.5,2140,0,1,7,30,8,1,6,425,1,1,0,0,24,3,1,4,38,1,3,230,1,29,15,82,24,12,9,18,4,51,1,0,0,8,3,1,2,1
1740.5,2174,0,1,4,17,0,0,1,265,5,4,0,0,14,0,0,0,12,0,0,116,1,21,4,32,13,9,4,9,1,33,0,0,0,4,4,1,0,2
1745.5,2208,0,1,9,16,1,0,2,514,4,2,2,0,18,1,0,4,36,2,5,227,2,25,10,61,26,14,10,28,4,65,0,2,0,4,5,1,1,4
1765,2341,0,0,6,17,3,0,3,236,3,4,2,0,11,0,0,2,48,0,0,92,0,10,44,31,16,5,3,5,0,55,0,1,0,8,3,0,1,1
1775.5,2412,0,2,5,29,5,1,1,603,6,1,2,0,16,2,0,0,53,1,0,181,2,15,15,20,21,16,5,25,1,133,0,4,0,10,7,0,0,7
1780.5,2447,0,1,11,19,5,1,4,29,8,3,1,0,19,1,1,4,48,5,0,201,3,17,5,27,35,17,6,36,0,93,0,2,0,8,2,1,2,1
1785.5,2481,0,0,8,19,3,0,3,434,0,2,2,0,16,0,1,3,14,1,0,102,1,27,8,43,15,17,6,9,3,49,0,3,1,12,0,1,0,1
1790.5,2515,2,2,5,35,18,1,8,1316,12,3,3,0,46,0,0,4,68,2,3,318,2,35,35,80,46,33,10,33,7,245,0,6,0,12,4,2,6,2
1795.5,2549,1,1,13,18,23,0,1,586,3,2,1,0,46,2,0,0,46,0,0,157,2,8,11,34,10,11,5,20,0,110,0,2,0,13,3,0,4,1
1800.5,2583,0,3,5,9,5,0,2,704,2,0,0,0,47,1,1,2,28,2,0,154,3,1,13,35,20,14,1,21,1,149,0,1,0,22,1,0,9,1
1805.5,2617,0,0,4,17,8,0,3,537,1,1,0,0,49,0,0,0,30,2,1,145,2,7,19,39,13,12,1,18,0,170,0,2,0,14,2,1,4,0
1810.5,2651,0,1,9,12,8,0,2,629,3,2,2,0,48,1,1,2,18,2,1,182,0,10,14,26,22,10,3,11,2,128,0,3,0,10,2,0,5,0
1815.5,2685,0,2,9,21,17,0,2,688,4,1,0,0,22,1,0,2,41,2,1,113,0,14,18,30,12,14,4,6,2,125,1,6,1,22,1,0,3,1
1820.5,2719,0,1,2,18,5,1,0,587,1,0,1,0,43,3,0,1,32,2,0,171,1,8,15,52,30,11,10,15,1,120,0,2,0,15,0,1,2,1
1825.5,2753,0,4,7,15,9,0,2,538,4,2,1,0,49,1,0,2,54,3,0,263,2,11,17,24,18,10,3,48,1,123,0,2,0,10,2,4,4,3
1830.5,2787,0,5,6,14,8,0,2,534,3,3,0,0,33,1,1,0,25,0,0,205,4,8,13,29,21,8,2,12,3,69,0,0,0,5,1,0,0,1
1835.5,2821,0,7,6,38,9,0,1,509,4,1,2,0,54,1,0,2,37,3,2,262,0,40,26,46,10,15,11,22,1,99,1,6,0,16,0,1,3,4
1840.5,2855,0,3,4,15,6,0,3,350,4,1,2,0,35,2,0,0,25,0,0,237,3,14,9,27,22,12,8,13,0,63,0,1,0,4,0,1,0,0
1860.5,2991,0,1,10,13,3,0,8,413,4,1,1,0,23,1,0,2,14,2,0,173,2,16,10,22,19,10,4,11,1,46,0,1,0,9,4,1,1,1
1865.5,3025,0,0,5,7,4,0,3,530,1,0,0,0,0,0,0,0,34,0,1,118,0,9,10,19,21,2,7,12,1,54,0,0,0,1,2,0,2,2
1870.5,3059,0,1,5,11,2,1,4,629,5,0,0,0,25,0,0,0,30,0,2,269,3,14,9,27,16,14,9,18,2,91,0,1,0,6,2,0,2,0
1875.5,3093,0,0,2,14,5,0,5,180,1,3,1,0,19,1,0,2,18,1,1,93,1,17,155,28,13,7,6,6,0,28,1,1,0,2,1,0,1,1
1880.5,3127,0,1,8,13,4,0,2,601,3,1,1,0,31,0,0,4,33,2,1,186,1,8,13,32,22,18,5,18,1,57,0,3,0,2,0,0,1,2
1885.5,3161,0,0,3,13,2,0,0,427,2,3,0,0,28,0,0,2,35,1,0,134,1,8,22,27,16,14,6,19,4,57,0,2,1,8,1,0,1,3
1890.5,3195,0,1,5,13,5,0,1,635,3,0,0,0,18,0,0,0,34,2,0,131,3,6,7,30,42,16,16,33,3,74,0,2,0,10,0,3,4,2
1895.5,3230,0,2,6,18,5,0,2,646,4,0,1,0,21,1,0,4,65,2,0,115,1,15,16,67,28,12,18,26,1,76,0,1,1,13,0,1,3,3
1900.5,3264,0,1,8,18,3,0,5,961,4,3,1,0,23,0,0,3,39,1,0,160,3,15,18,40,28,17,22,14,1,108,0,1,0,7,0,1,10,2
1905.5,3298,0,1,3,13,2,0,0,616,1,3,2,0,13,2,1,4,23,1,0,73,0,18,30,41,17,9,7,5,0,42,1,1,0,16,1,0,0,4
1910.5,3332,0,2,8,10,4,0,2,645,2,1,0,0,21,3,0,1,34,0,0,128,2,29,6,27,16,10,6,9,1,60,1,4,0,13,0,0,1,0
