"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Caprifoliaceae.undiff.","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Fabaceae.undiff.","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polygonum.viviparum","Populus","Quercus","Ranunculaceae.undiff.","Robinia","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Viburnum"
5,-13,428,0,0,0,2,0,211,1,3,0,3,6,0,4,3,9,0,10,0,0,1,0,16,1,7,0,0,24,0,0,2,0,8,3,0,0,1,0,4,2,5,6,2,0,0,1,59,0,5,0,12,6,0,0,3,0,0,7,1,0
100,367,328,0,0,1,5,2,6,1,2,0,8,24,0,0,0,0,0,2,0,0,7,1,3,14,2,4,0,3,0,2,1,0,1,0,0,1,0,0,4,2,7,0,6,0,0,0,205,0,0,0,0,1,0,1,0,6,0,6,0,0
210,808,400,0,3,0,3,3,5,0,2,0,11,27,0,0,0,1,0,2,0,0,52,0,19,26,4,1,0,3,1,1,1,1,2,0,0,0,0,1,2,2,4,0,3,0,0,0,191,0,0,0,0,1,0,2,0,7,1,18,0,0
300,1168,338,0,0,0,4,1,80,0,2,0,8,11,0,0,0,2,0,1,1,0,6,0,6,14,3,1,0,8,0,1,2,0,4,0,2,1,0,0,3,1,5,0,5,0,0,1,140,0,0,0,0,4,0,1,0,3,0,17,0,0
390,1528,381,0,2,0,4,2,65,0,4,0,6,15,0,0,1,4,0,4,2,0,9,0,14,24,7,2,1,11,0,3,0,0,5,0,0,0,0,1,1,3,4,1,4,0,0,0,161,2,0,0,3,2,0,1,0,2,1,10,0,0
480,1888,344,0,2,0,4,1,19,2,2,0,9,17,0,0,0,3,0,2,0,0,3,0,20,32,10,1,1,14,1,6,3,0,1,0,0,0,1,0,2,5,3,0,4,0,0,0,148,0,0,0,0,1,0,1,0,9,0,17,0,0
554,2184,369,0,0,0,10,1,12,4,3,0,6,26,0,0,0,1,0,0,0,1,4,0,21,42,4,2,0,3,0,2,2,1,3,0,1,1,0,1,1,4,5,0,1,0,0,3,179,0,0,0,0,0,0,2,1,6,1,15,0,0
579,2427,369,0,0,0,1,2,4,1,4,0,3,24,0,0,3,1,0,0,1,0,6,0,16,8,5,3,0,2,1,0,1,0,0,0,0,1,0,1,2,5,3,0,7,0,0,0,251,0,0,1,0,0,0,0,0,2,1,9,0,0
609,2760,365,0,0,0,4,1,1,4,0,0,4,19,0,0,1,0,0,1,1,0,13,0,15,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,275,0,0,3,0,1,0,1,0,1,0,6,0,0
639,3094,435,0,0,0,3,3,11,4,3,0,1,20,0,1,5,0,0,1,2,0,24,0,44,8,1,1,0,22,0,0,2,0,0,0,0,0,0,0,3,3,5,0,6,0,0,0,245,0,0,1,0,4,0,2,0,0,0,9,1,0
