"sample.depths","sample.ages","upland.sum","Acer.undiff.","Betula","Carya","Cephalanthus","Corylus","Cyperaceae","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Liquidambar","Morus","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Poaceae","Rosaceae","Urtica","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.trees.and.shrubs","Other.herbs","Picea","Tilia","Acer.saccharinum","Pinus.strobus","Abies","Artemisia","Celtis","Galium","Larix","Tsuga","Fagus","Rhus","Rhamnus","Thalictrum","Iva.annua","Cupressaceae","Shepherdia.canadensis","Castanea"
28,NA,380,3,1,15,37,3,21,4,2,24,1,16,28,7,5,146,1,5,29,6,3,2,1,3,1,1,9,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11311,405,0,7,7,0,1,14,1,1,29,0,0,93,23,0,148,1,0,49,3,1,2,0,2,0,1,6,4,0,2,0,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11397,587,0,5,4,0,2,2,1,0,15,0,0,22,205,0,39,1,0,37,10,1,1,0,5,0,0,2,6,0,43,0,0,7,0,1,170,2,1,1,1,1,2,0,0,0,0,0,0,0,0
62,11572,440,0,4,4,0,1,13,1,0,27,0,0,11,151,0,45,3,0,8,15,1,1,0,5,0,0,1,1,0,44,0,0,14,1,0,71,4,0,0,0,11,1,1,1,0,0,0,0,0,0
70,11688,357,1,5,4,0,2,25,0,2,16,0,0,8,114,2,28,6,2,20,2,0,0,1,9,0,0,2,0,0,22,0,1,43,0,0,21,6,2,0,0,7,5,0,1,0,0,0,0,0,0
78,11820,344,0,11,2,0,4,14,0,1,15,0,0,15,86,1,37,4,0,13,6,2,4,1,1,2,0,4,2,0,31,0,0,58,0,0,9,8,1,1,0,7,3,0,0,1,0,0,0,0,0
82,11892,324,0,4,2,0,4,9,0,0,11,0,0,10,82,0,25,2,2,16,5,4,1,0,8,0,0,1,1,0,21,0,2,81,0,0,9,9,2,0,0,11,2,0,0,0,0,0,0,0,0
86,11968,332,0,5,4,0,3,16,0,0,10,0,0,13,66,0,30,1,2,17,3,2,0,0,5,0,0,0,2,0,33,1,0,89,1,0,7,10,2,0,0,8,2,0,0,0,0,0,0,0,0
90,12048,328,0,7,4,0,5,7,0,0,18,0,0,11,66,1,35,3,1,19,4,1,8,0,12,1,0,1,0,0,26,0,0,67,0,0,11,6,2,0,1,6,5,0,0,0,0,0,0,0,0
94,12132,432,0,9,5,0,7,26,0,2,16,0,0,24,48,0,58,5,5,13,6,5,3,0,10,0,0,0,2,0,17,0,1,132,1,0,1,10,9,0,1,12,1,1,0,0,2,0,0,0,0
