"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Salix","Alnus","Pinus","Poaceae","Quercus","Populus","Abies","Larix","Asteraceae.subf..Asteroideae.undiff.","Corylus","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Plantago","Rosaceae","Fraxinus","Myrica","Ambrosia.type","Shepherdia","Herbs.undiff.","Ostrya.Carpinus","Trees.undiff.","Polygonaceae.undiff.","Elaeagnus","Juglans","Rumex","Asteraceae.subf..Cichorioideae","Ericaceae","Ephedra","Cupressaceae"
0,-1,229,8,51,5,1,39,3,38,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,253,16,44,6,3,33,2,49,84,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,302,20,62,3,3,52,5,32,114,3,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,548,292,20,66,1,3,31,7,23,121,9,0,1,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1045,320,22,67,1,4,37,6,46,117,8,1,2,2,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1542,287,8,54,2,4,57,4,30,108,6,0,5,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2039,288,13,69,0,9,46,3,24,104,5,0,7,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2536,285,12,22,3,3,63,4,26,146,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2909,289,14,38,0,4,27,2,43,154,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,3158,247,0,54,0,3,34,7,40,100,0,0,4,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
155,3406,320,17,59,4,6,50,1,34,133,9,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
