"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fagopyrum","Fagus","Filicopsida.undiff.","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Hippuris.vulgaris","Humulus","Huperzia.lucidula","Huperzia.selago","Ilex.Nemopanthus","Indeterminable","Iva.undiff.","Iva.xanthifolia.type","Juglans","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Populus","Potentilla","Prunus","Pteridium.type","Quercus","Ranunculaceae","Rosaceae.undiff.","Rubus","Rumex","Salix","Sambucus","Saxifraga.type","Shepherdia.canadensis","Sparganium.type","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Urtica.type"
335.5,-38,1,0,0,3,0,2,0,8,0,0,1,8,0,0,3,0,89,0,0,0,0,0,1,0,2,0,0,4,1,3,0,0,0,0,0,0,1,0,0,21,0,0,6,0,0,0,0,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,4,8,38,10,1,3,0,0,4,63,0,0,0,4,3,1,0,0,0,0,0,6,0,1,5,0,0
355.5,39,0,0,0,1,0,3,0,7,1,0,0,9,0,0,0,0,85,0,0,0,0,0,1,0,2,0,0,11,1,0,0,0,0,3,0,0,0,0,1,14,0,0,6,0,0,0,0,2,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,2,1,19,30,8,1,2,0,0,2,63,0,0,0,7,1,2,0,0,0,0,0,12,1,3,6,0,0
375,138,2,0,0,0,0,6,0,2,1,3,0,1,0,0,0,0,69,0,0,0,0,0,1,0,1,0,0,13,1,3,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14,8,6,19,19,2,1,1,0,0,0,80,0,0,0,0,2,0,0,0,0,0,2,19,0,2,4,0,0
375.5,141,1,0,0,3,0,2,0,3,2,0,0,2,0,0,1,0,73,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0,0,3,0,0,0,0,0,21,0,0,5,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,10,50,4,0,0,0,0,8,82,0,0,0,2,1,0,0,0,0,0,0,19,0,0,6,0,0
385.5,210,0,0,0,3,0,2,0,3,1,1,0,1,0,2,3,0,93,0,0,0,1,0,0,0,2,0,0,13,1,0,0,0,0,2,0,0,0,0,0,27,0,0,7,0,1,0,1,6,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,7,38,0,0,0,0,0,7,95,0,0,0,0,3,0,0,0,0,0,0,28,1,5,5,0,0
395.5,294,0,0,0,3,0,5,0,0,3,0,0,0,0,1,1,0,82,0,0,0,1,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,39,0,0,5,0,0,0,0,3,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,5,3,7,22,2,0,3,0,0,5,85,0,0,0,0,3,0,0,0,0,0,1,29,0,2,1,0,0
400,338,4,0,0,0,0,7,0,2,1,0,0,0,0,1,2,0,100,0,1,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,61,0,0,3,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,22,20,3,21,7,1,0,0,0,0,5,43,0,1,0,1,0,0,0,0,0,0,0,74,0,7,2,0,0
405.5,395,1,0,0,2,0,5,1,4,0,0,0,0,0,0,3,0,107,0,0,0,0,0,2,0,0,0,0,12,2,0,0,0,0,0,0,0,0,1,0,56,0,0,8,0,0,0,0,4,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,7,2,17,23,1,0,0,0,0,5,61,0,0,0,0,3,2,0,0,0,0,0,33,0,4,3,0,0
420,566,2,0,0,0,0,6,1,0,1,0,0,1,0,1,2,0,85,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,21,1,1,0,1,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,76,0,2,3,0,0
440,844,1,0,0,4,0,11,0,1,2,0,1,0,0,0,3,0,135,0,0,0,1,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,93,0,0,14,0,0,0,0,3,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1,1,57,16,0,0,0,0,0,1,34,0,0,0,0,1,0,0,0,0,0,3,74,0,8,3,1,0
