"sample.depths","sample.ages","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Ostrya","Oxyria.digyna","Pedicularis.lanceolata","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Polypodiaceae","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Rumex","Salix","Sphagnum","Thalictrum","Ulmus","Unknown"
1,88,3,64,1,7,6,3,0,268,0,0,0,0,0,53,0,0,1,35,0,0,0,0,25,0,10,4,1,1,1,0,0,0,76,7,5,0,6,0,0,0,0,0,0,0,1,0,10,33,1,0,2
5,418,4,82,0,2,7,1,0,207,1,0,0,0,1,65,3,0,0,47,0,0,0,0,33,0,23,10,2,4,0,0,0,0,66,3,3,0,11,0,6,0,0,0,0,0,0,0,12,36,0,0,5
10,831,6,62,1,4,4,9,0,221,0,0,0,1,1,63,0,0,0,40,0,0,0,0,40,0,20,9,0,4,0,0,1,0,83,0,3,0,14,0,11,2,0,0,0,0,2,0,19,33,1,0,4
14,1161,1,81,0,2,7,2,0,206,0,0,0,0,1,55,0,1,0,37,0,0,1,0,42,0,16,6,0,4,0,0,0,2,101,1,2,1,8,0,9,0,0,0,0,0,6,0,10,31,0,0,1
18,1678,3,89,2,2,6,5,0,227,1,0,0,0,1,64,1,0,0,45,0,0,0,1,47,1,38,9,1,7,0,0,0,1,75,1,0,0,11,0,4,1,0,0,0,0,3,0,9,39,2,1,3
20,2030,2,62,0,4,7,1,0,220,0,0,0,0,1,53,0,0,0,40,0,0,0,0,30,0,23,14,2,3,0,0,0,0,91,3,2,0,16,0,8,2,0,0,0,0,0,0,13,33,0,0,0
22,2381,1,74,0,0,6,10,1,268,0,1,0,0,0,68,0,2,0,43,1,0,0,0,40,0,29,9,2,6,0,0,1,1,94,4,2,0,10,1,10,4,0,0,1,0,2,1,20,49,0,1,3
24,2733,3,78,0,0,7,3,0,209,0,0,0,0,2,74,0,1,0,46,0,0,0,1,72,0,22,25,1,6,0,0,0,0,96,2,0,0,9,0,5,1,0,0,0,0,0,0,11,42,0,0,2
26,3084,3,64,0,2,8,9,0,217,0,1,0,0,2,74,1,3,0,53,0,0,0,2,49,0,28,13,2,5,0,0,0,0,118,2,0,1,8,0,11,4,0,0,0,0,1,0,16,34,1,0,2
32,3711,1,82,1,3,5,6,0,237,0,0,0,0,2,72,1,0,0,50,0,0,0,1,68,1,20,9,0,5,0,0,0,0,143,1,0,1,12,0,4,0,0,0,0,1,3,0,13,41,0,3,4
42,4044,3,75,0,1,8,3,0,200,0,0,0,0,1,45,0,1,0,47,0,0,0,0,46,0,19,9,2,1,0,0,0,0,106,2,2,0,14,0,7,2,0,0,0,0,1,0,7,28,0,0,2
50,4310,6,69,0,2,2,2,0,235,0,0,0,0,0,57,0,1,0,32,0,0,0,0,51,0,17,14,0,3,1,0,0,0,136,0,3,0,14,0,5,2,0,0,0,1,0,0,8,31,0,1,4
58,4576,8,89,1,1,10,2,0,178,0,0,0,0,2,68,0,0,0,40,0,1,0,0,65,0,16,8,2,4,0,0,0,0,93,2,3,0,12,0,9,0,0,1,0,0,1,0,12,28,0,0,0
66,4842,7,133,2,1,7,4,0,189,0,0,0,0,0,60,0,1,0,39,0,0,0,0,89,0,18,11,3,6,0,1,0,0,115,3,2,1,7,0,11,4,1,0,0,0,3,0,13,32,0,1,2
74,5108,1,158,0,4,12,4,0,221,0,0,0,0,3,38,0,0,0,48,0,0,0,1,53,0,22,9,1,5,1,0,0,1,105,2,2,0,11,0,7,1,0,0,0,0,1,0,11,15,0,0,2
82,5374,5,172,2,2,6,5,0,177,0,0,0,0,0,46,1,3,0,44,0,0,0,0,43,0,21,9,1,1,1,0,0,0,103,2,3,0,6,0,9,1,0,1,0,0,0,0,5,31,0,0,2
90,5742,5,154,3,4,9,6,0,185,0,0,0,0,0,48,0,1,0,46,0,0,0,0,34,0,31,15,0,3,0,0,0,0,95,1,1,0,11,0,10,1,0,0,0,0,0,0,3,18,0,0,1
98,6172,1,175,0,6,6,0,0,201,0,0,0,0,1,44,0,0,0,38,0,0,0,0,20,0,18,10,1,3,0,0,0,0,69,2,2,0,5,0,4,1,0,0,0,0,0,0,9,12,0,0,0
106,6602,5,222,3,5,14,4,0,193,0,0,0,2,2,65,2,0,0,24,1,0,0,0,2,0,14,26,1,4,2,1,0,0,91,3,2,0,7,0,9,2,0,0,0,0,0,0,29,28,0,2,1
114,7033,2,131,2,0,10,1,0,151,0,0,1,0,3,68,0,0,0,9,0,0,0,0,0,0,18,12,2,1,0,1,0,0,102,2,2,0,5,0,4,0,2,2,0,0,0,0,24,31,0,0,2
124,7570,4,161,8,4,20,3,0,110,0,0,1,0,3,132,0,0,0,9,1,0,0,1,0,0,9,15,2,8,0,0,0,0,122,0,3,1,16,0,1,0,1,1,0,1,0,0,26,67,0,0,6
