"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.spicatum","Alnus.incana","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Cornus","Corylus","Cyperaceae","Dryopteris","Equisetum","Ericaceae.undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Galium","Gaultheria","Humulus.Cannabis.sativa","Huperzia.selago","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.undiff.","Juniperus.Thuja","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Platanus","Poaceae","Populus.balsamifera","Populus.tremuloides","Potentilla","Prunus.Sorbus","Pteridium","Pteridophyta.undiff.","Quercus","Rhamnus","Rosaceae.herbs.undiff.","Rubus","Salix","Sarcobatus.vermiculatus","Sarracenia","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Xanthium"
0,-29,0,3,0,6,2,14,3,4,0,21,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,1,2,3,5,5,1,0,4,0,0,0,0,0,0,10,0,0,2,1,0,0,3,0,3,0,3,1,0,0
10,40,0,3,0,4,1,13,0,1,0,56,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,7,2,3,2,1,9,0,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,45,0,25,6,2,0,0,0
20,617,0,5,0,6,0,3,1,0,0,46,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,8,3,0,5,1,59,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,23,0,6,0,3,0,0,0
30,1701,0,1,0,1,1,1,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,2,1,4,1,48,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,21,0,19,0,1,1,0,0
40,2784,1,1,0,1,0,2,1,2,0,54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,1,0,10,0,57,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,3,0,0,0
50,3868,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,22,5,71,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,1,0,0
60,4952,0,5,0,17,0,7,4,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,73,0,0,12,0,100,0,0,3,0,1,0,0,0,5,4,0,0,0,0,0,0,6,0,0,0,2,0,0,0
80,5529,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,15,2,0,23,1,69,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,1,0,0,3,0,0,0
100,6066,0,5,4,0,0,1,0,0,0,11,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,0,7,14,0,1,0,52,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,2,2,0,0,3,0,0,0
120,6602,0,1,0,1,0,0,2,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,3,1,31,1,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,0,0
140,7139,5,0,0,1,1,3,0,1,0,18,1,0,1,0,4,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,1,0,36,2,26,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0
160,7675,0,2,0,2,5,7,5,1,0,7,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,2,0,12,6,39,0,0,0,0,0,0,0,6,5,9,0,0,0,2,0,0,1,2,0,0,0,1,0,0
180,8211,1,2,0,4,0,0,3,0,0,10,0,0,1,1,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,29,7,55,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,7,0,0,0
200,8681,1,1,0,3,3,3,2,1,0,17,1,0,0,0,2,0,0,3,2,0,1,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,3,1,0,6,24,44,0,0,0,3,1,0,0,0,4,7,0,0,0,0,0,0,1,0,0,0,3,1,0,0
220,9076,5,3,0,3,0,1,3,3,0,14,0,0,0,2,1,3,0,2,0,0,0,2,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,4,1,19,28,0,0,2,0,1,1,0,0,11,7,0,0,0,1,0,0,13,0,0,0,0,0,0,0
240,9471,4,0,0,2,1,1,2,0,0,30,2,0,0,0,1,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,4,7,9,13,0,0,0,0,0,0,0,2,3,6,1,1,0,0,0,0,0,0,0,0,7,0,1,0
260,9866,3,0,0,2,0,1,0,0,0,31,1,0,0,0,5,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,4,5,1,24,10,0,0,0,0,3,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,23,0,0,1
