"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Cephalanthus","Cornus","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Ilex","Indeterminable","Isoëtes","Itea","Juglans","Juniperus.type","Liquidambar","Lycopodiaceae","Myrica","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum.cf..P..hydropiperoides","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Quercus","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown..monolete.","Utricularia","Vitis"
150,NA,0,0,0,1,0,5,1,0,1,7,0,0,3,6,0,0,0,0,31,0,0,1,2,0,0,0,12,0,0,2,1,0,0,2,7,4,1,2,0,3,6,187,0,9,0,0,4,0,0,45,0,0,0,2,0,2,0,0,0,2,1,0,0
160,NA,1,0,0,0,1,8,0,0,1,3,0,0,3,4,0,0,0,0,11,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,3,2,2,1,0,2,14,207,1,11,0,0,0,0,0,36,3,0,0,0,0,1,0,0,1,1,1,0,0
170,16621,0,0,0,0,0,1,1,0,0,4,0,0,5,2,0,0,0,0,16,0,0,0,0,1,0,0,17,0,0,2,0,0,1,0,3,2,2,0,0,1,6,240,0,7,0,0,2,0,0,22,1,0,0,2,0,2,0,0,0,1,0,1,0
180,16861,0,0,0,1,1,3,3,0,0,7,0,1,4,1,0,0,0,0,18,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,3,2,2,0,0,5,4,235,0,13,0,0,1,0,0,16,2,0,0,3,0,0,0,0,1,0,0,0,0
200,17342,1,0,0,0,0,2,1,0,0,4,0,4,0,0,0,0,0,0,14,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,1,0,0,4,5,234,0,15,0,0,0,0,0,20,6,0,0,0,0,1,0,0,0,4,1,0,0
220,17823,0,0,0,0,1,4,6,0,0,6,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,3,0,0,1,3,7,0,1,0,0,5,17,212,0,15,0,0,3,0,0,29,2,0,0,1,0,1,0,0,1,2,0,0,0
240,18304,0,0,0,3,0,0,3,0,1,2,0,0,2,0,0,0,0,1,6,0,0,0,1,4,0,0,22,0,0,0,0,0,0,1,3,0,1,0,0,6,6,230,0,15,0,0,0,0,0,25,0,0,0,0,0,1,0,0,1,2,0,0,0
260,18785,1,0,0,1,0,0,6,0,1,5,0,2,1,1,0,0,0,0,7,0,1,0,0,0,0,0,8,0,0,3,0,1,0,2,4,0,3,0,0,4,4,239,0,17,0,0,1,0,0,16,4,1,1,0,0,1,0,0,1,3,0,0,0
280,19266,0,0,0,2,0,3,1,1,2,1,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,7,1,0,2,0,4,6,226,0,16,0,0,2,0,0,26,2,0,0,0,0,0,0,1,0,3,2,0,1
300,19747,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,5,0,0,1,8,249,1,12,0,0,1,0,0,16,2,0,0,2,0,1,0,0,1,1,0,0,0
320,20228,0,0,0,1,0,1,2,0,0,4,0,2,2,2,0,0,0,0,14,0,0,0,1,1,0,0,20,0,0,0,0,0,0,1,3,1,1,0,0,8,6,224,0,17,0,0,0,0,1,22,0,1,0,1,0,0,0,0,0,1,0,0,0
