"sample.depths","sample.ages","Acer.rubrum","Acer.undiff.","Betula","Carya","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Amaranthaceae","Poaceae","Plantago","Polygonum","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Artemisia","Ilex","Tilia.americana","Salix","Asteraceae.subf..Cichorioideae","Larix.laricina","Thalictrum","Liquidambar.styraciflua","Corylus","Populus","Abies","Apiaceae","Sanguisorba"
10,119,0.00970873786407767,0.0129449838187702,0.15210355987055,0.0194174757281553,0.00323624595469256,0.00323624595469256,0.00647249190938511,0.00323624595469256,0.00323624595469256,0.00970873786407767,0.00323624595469256,0.00970873786407767,0.0161812297734628,0.456310679611651,0.0129449838187702,0.0129449838187702,0.0194174757281553,0.00970873786407767,0.106796116504854,0.0323624595469256,0.00323624595469256,0.00323624595469256,0.029126213592233,0.00323624595469256,0.00647249190938511,0.00970873786407767,0.0323624595469256,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0
20,239,0,0.0113636363636364,0.173295454545455,0.0170454545454545,0,0,0.0113636363636364,0.00568181818181818,0.00284090909090909,0.00852272727272727,0,0.00568181818181818,0.0284090909090909,0.494318181818182,0.00568181818181818,0.0227272727272727,0.0142045454545455,0.0113636363636364,0.0738636363636364,0.0198863636363636,0,0.00568181818181818,0.0369318181818182,0.0113636363636364,0,0.00284090909090909,0.0198863636363636,0.0142045454545455,0.00284090909090909,0,0,0,0,0,0,0,0,0,0,0,0
25,299,0,0.00632911392405063,0.120253164556962,0.0221518987341772,0,0.00632911392405063,0.00949367088607595,0,0.00316455696202532,0,0,0,0.0348101265822785,0.537974683544304,0,0.0284810126582278,0.00949367088607595,0.00949367088607595,0.113924050632911,0.0253164556962025,0.00316455696202532,0.00632911392405063,0.0316455696202532,0.00316455696202532,0,0,0.00316455696202532,0.0158227848101266,0.00316455696202532,0.00316455696202532,0.00316455696202532,0,0,0,0,0,0,0,0,0,0
30,359,0,0.00819672131147541,0.139344262295082,0.0327868852459016,0,0,0.00819672131147541,0.00273224043715847,0.00819672131147541,0.0109289617486339,0,0.00273224043715847,0.0382513661202186,0.42896174863388,0.00273224043715847,0.0382513661202186,0.00819672131147541,0.0245901639344262,0.14207650273224,0.0163934426229508,0,0.00546448087431694,0.0355191256830601,0,0,0.00546448087431694,0.0191256830601093,0.0136612021857923,0,0.00273224043715847,0,0.00546448087431694,0,0,0,0,0,0,0,0,0
35,418,0,0.00526315789473684,0.121052631578947,0.0289473684210526,0,0,0,0.00263157894736842,0.00263157894736842,0.00789473684210526,0.00263157894736842,0,0.0421052631578947,0.455263157894737,0.00263157894736842,0.0105263157894737,0.0315789473684211,0.0157894736842105,0.173684210526316,0.00526315789473684,0,0.00789473684210526,0.0236842105263158,0,0,0.0105263157894737,0.0236842105263158,0.0157894736842105,0,0,0,0.00526315789473684,0.00526315789473684,0,0,0,0,0,0,0,0
40,478,0.003125,0.015625,0.109375,0.01875,0,0.009375,0.00625,0,0.01875,0.009375,0,0.009375,0.0375,0.4125,0.003125,0.040625,0.0125,0.0125,0.184375,0.025,0,0,0.028125,0.003125,0,0.00625,0.01875,0.009375,0,0.00625,0,0,0,0,0,0,0,0,0,0,0
45,538,0,0.00546448087431694,0.136612021857924,0.0245901639344262,0,0,0,0.00273224043715847,0.00819672131147541,0,0.00273224043715847,0.00546448087431694,0.0546448087431694,0.401639344262295,0,0,0.0191256830601093,0.0218579234972678,0.172131147540984,0.0191256830601093,0,0,0.0136612021857923,0,0,0.0355191256830601,0.0437158469945355,0.0245901639344262,0,0.00819672131147541,0,0,0,0,0,0,0,0,0,0,0
50,598,0.00285714285714286,0,0.0942857142857143,0.00285714285714286,0.00285714285714286,0.00857142857142857,0.00571428571428571,0.00285714285714286,0.0114285714285714,0.00857142857142857,0.00285714285714286,0,0.0685714285714286,0.454285714285714,0.00857142857142857,0.00857142857142857,0.00857142857142857,0.00857142857142857,0.122857142857143,0.0314285714285714,0.00285714285714286,0,0.0314285714285714,0,0,0.00285714285714286,0.0628571428571429,0.04,0.00285714285714286,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0
55,658,0,0.00914634146341463,0.109756097560976,0.0274390243902439,0.00609756097560976,0,0.00914634146341463,0,0,0.0152439024390244,0,0.00609756097560976,0.0579268292682927,0.509146341463415,0,0,0.0152439024390244,0.0121951219512195,0.0426829268292683,0.0304878048780488,0,0,0.0121951219512195,0,0,0.0457317073170732,0.0396341463414634,0.048780487804878,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0
60,717,0,0.00819672131147541,0.098360655737705,0.0300546448087432,0.00273224043715847,0,0,0,0.00273224043715847,0.00546448087431694,0.00273224043715847,0.00273224043715847,0.0655737704918033,0.554644808743169,0.0109289617486339,0.00546448087431694,0.00819672131147541,0.0136612021857923,0.0491803278688525,0.0300546448087432,0,0,0.00273224043715847,0,0,0.0163934426229508,0.0437158469945355,0.040983606557377,0,0,0.00273224043715847,0.00273224043715847,0,0,0,0,0,0,0,0,0
