"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rosaceae","Thalictrum","Xanthium","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Selaginella.selaginoides","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
200,2789,1,9,1,10,1,0,0,0,0,7,0,3,1,0,1,1,0,1,40,0,0,15,2,0,0,13,3,0,6,0,0,0,0,0,2,16,0,0,0,62,0,0,1,0,0,1,0,1,1,0,0,30,1,10,0
210,2930,0,7,0,12,0,0,0,4,0,8,7,3,0,0,0,0,2,0,22,1,0,25,4,0,2,3,8,1,2,0,0,1,0,0,23,26,0,0,0,5,0,0,1,0,0,0,0,5,1,0,1,1,0,10,1
220,3071,0,13,1,10,0,0,1,5,0,14,6,5,1,0,0,1,4,1,13,1,0,20,12,0,2,5,3,0,0,0,0,0,0,1,14,35,0,1,0,4,0,0,0,0,0,2,0,2,2,0,0,0,0,4,0
230,3211,0,14,0,10,3,0,0,4,0,16,4,2,1,1,1,0,9,1,11,1,0,17,2,0,1,4,10,0,0,0,0,0,0,0,7,39,0,1,0,8,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0
240,3352,0,19,1,14,0,0,0,4,0,21,3,4,0,0,0,0,0,1,15,0,0,21,1,0,0,3,5,0,0,0,1,0,1,0,4,79,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
250,3493,0,7,1,15,0,0,0,9,0,20,4,3,1,0,0,1,7,0,15,0,0,9,2,0,2,5,10,0,0,0,0,0,0,0,4,76,0,1,0,6,1,0,0,0,0,0,0,1,3,1,0,2,0,3,1
260,3634,1,12,1,7,1,0,0,1,0,18,3,3,0,0,0,1,2,1,17,0,0,12,1,0,1,12,5,0,1,0,0,1,1,0,0,69,0,0,0,4,0,0,1,0,0,5,0,1,0,0,0,0,0,3,0
270,3775,0,20,0,14,1,0,0,4,0,21,3,3,0,0,0,0,3,1,11,2,0,9,2,0,0,8,4,0,0,0,0,2,0,0,2,116,0,0,0,2,0,0,0,0,0,4,0,2,1,0,0,0,0,0,1
280,3915,0,9,2,4,2,0,0,3,0,15,1,4,0,0,1,1,4,1,17,2,0,18,0,0,0,8,9,0,0,0,2,0,0,1,0,83,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,4,1
290,4056,1,6,1,17,1,0,0,6,0,15,5,3,0,0,0,0,5,3,16,0,0,15,0,0,3,6,10,0,1,0,0,1,0,0,0,76,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1
