"sample.depths","sample.ages","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Herbs.undiff.","Larix","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Ambrosia","Cornus","Fraxinus","Juglans","Populus","Poaceae","Juniperus","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Amaranthaceae.undiff.","Asteraceae.undiff.","Platanus","Thalictrum","Brassicaceae","Urtica","Ericaceae","Trees.undiff.","Abies","Sarcobatus.vermiculatus","Ranunculaceae.undiff.","Nyssa","Rubus","Ephedra","Humulus"
0.5,-23,0.11,0.01,0.00666666666666667,0.01,0.0333333333333333,0.05,0.00666666666666667,0.0133333333333333,0.01,0.18,0.00666666666666667,0.00333333333333333,0.03,0.0466666666666667,0.05,0.0366666666666667,0.143333333333333,0.00333333333333333,0.02,0.01,0.00666666666666667,0.04,0.00333333333333333,0.0433333333333333,0.0933333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,88,0.122112211221122,0.0198019801980198,0,0.0066006600660066,0.033003300330033,0.0759075907590759,0.0066006600660066,0.0066006600660066,0.0033003300330033,0.221122112211221,0,0.0099009900990099,0.0396039603960396,0.0396039603960396,0.0561056105610561,0.0231023102310231,0.0429042904290429,0,0.0495049504950495,0.0033003300330033,0,0.0099009900990099,0,0.0264026402640264,0.148514851485149,0.0231023102310231,0.0033003300330033,0.0033003300330033,0.0066006600660066,0.0066006600660066,0.0033003300330033,0.0033003300330033,0.0066006600660066,0,0,0,0,0,0,0,0,0
40,202,0.156666666666667,0.01,0.00333333333333333,0.00666666666666667,0.0233333333333333,0.0533333333333333,0.00333333333333333,0.00333333333333333,0.01,0.246666666666667,0,0.01,0.0266666666666667,0.0466666666666667,0.0466666666666667,0.04,0.03,0,0.05,0,0,0.0133333333333333,0,0.0233333333333333,0.123333333333333,0.04,0.00666666666666667,0.00333333333333333,0,0.00666666666666667,0,0.00666666666666667,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0
50,259,0.138801261829653,0.00630914826498423,0.00315457413249211,0.00315457413249211,0.00946372239747634,0.0788643533123028,0.00946372239747634,0,0.00630914826498423,0.280757097791798,0.00315457413249211,0.00315457413249211,0.0126182965299685,0.0441640378548896,0.0378548895899054,0.0347003154574132,0.028391167192429,0,0.0252365930599369,0.00946372239747634,0,0.00946372239747634,0,0.0378548895899054,0.129337539432177,0.056782334384858,0.00946372239747634,0.0157728706624606,0,0.00315457413249211,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0
60,316,0.167741935483871,0.0064516129032258,0,0,0.0129032258064516,0.064516129032258,0.00967741935483871,0.0193548387096774,0.0032258064516129,0.238709677419355,0,0.0032258064516129,0.00967741935483871,0.0580645161290323,0.0129032258064516,0.0129032258064516,0.00967741935483871,0,0.0419354838709677,0,0,0.0193548387096774,0.0032258064516129,0.0258064516129032,0.209677419354839,0.0419354838709677,0.00967741935483871,0.0032258064516129,0,0,0,0.00967741935483871,0,0,0,0.0032258064516129,0.0032258064516129,0,0,0,0,0
80,430,0.127586206896552,0.0206896551724138,0,0.00689655172413793,0.0310344827586207,0.0793103448275862,0,0.00689655172413793,0.00344827586206897,0.231034482758621,0,0.0103448275862069,0.0482758620689655,0.0413793103448276,0.0586206896551724,0.0241379310344828,0.0137931034482759,0,0.0517241379310345,0.00344827586206897,0,0.0103448275862069,0,0.0275862068965517,0.155172413793103,0.0241379310344828,0.00344827586206897,0,0.00344827586206897,0.00344827586206897,0,0.00689655172413793,0.00344827586206897,0,0,0,0,0.00344827586206897,0,0,0,0
100,544,0.119533527696793,0.0087463556851312,0,0.00583090379008746,0.0174927113702624,0.0553935860058309,0,0.0174927113702624,0.0145772594752187,0.282798833819242,0.00291545189504373,0.00583090379008746,0.0174927113702624,0.0553935860058309,0.0466472303206997,0.0204081632653061,0.0116618075801749,0.00291545189504373,0.032069970845481,0,0,0.00583090379008746,0,0.0583090379008746,0.166180758017493,0.032069970845481,0.00583090379008746,0,0,0.00583090379008746,0.00291545189504373,0,0,0,0,0,0,0,0.00291545189504373,0.00291545189504373,0,0
120,658,0.123778501628664,0.00325732899022801,0,0.00325732899022801,0.0162866449511401,0.0814332247557003,0.00977198697068404,0.00977198697068404,0,0.276872964169381,0,0.00325732899022801,0.0162866449511401,0.0325732899022801,0.0456026058631922,0.0130293159609121,0,0,0.0358306188925081,0.00325732899022801,0,0.00651465798045603,0,0.0260586319218241,0.211726384364821,0.0488599348534202,0.00325732899022801,0,0.00325732899022801,0.00325732899022801,0.00325732899022801,0.00325732899022801,0,0.00325732899022801,0,0.00651465798045603,0,0,0.00325732899022801,0,0.00325732899022801,0
130,715,0.0996784565916399,0.00964630225080386,0,0,0.0321543408360129,0.0707395498392283,0,0.00643086816720257,0,0.266881028938907,0.00964630225080386,0.00643086816720257,0.0192926045016077,0.0707395498392283,0.0418006430868167,0.0160771704180064,0.022508038585209,0.00321543408360129,0.022508038585209,0.00964630225080386,0,0.0160771704180064,0,0.0160771704180064,0.192926045016077,0.0418006430868167,0.00321543408360129,0,0,0.00643086816720257,0,0.00964630225080386,0,0,0,0,0,0.00321543408360129,0.00321543408360129,0,0,0
160,886,0.0941558441558442,0.00324675324675325,0,0.00324675324675325,0.0194805194805195,0.116883116883117,0,0.0194805194805195,0.0064935064935065,0.311688311688312,0,0.00324675324675325,0.0194805194805195,0.0292207792207792,0.012987012987013,0.0227272727272727,0.0064935064935065,0,0.0357142857142857,0.00324675324675325,0,0.00974025974025974,0.00324675324675325,0.0227272727272727,0.185064935064935,0.051948051948052,0.00324675324675325,0,0,0,0,0.0162337662337662,0,0,0,0,0,0,0,0,0,0
180,1000,0.076158940397351,0.0132450331125828,0.0033112582781457,0,0.0231788079470199,0.033112582781457,0,0.00662251655629139,0,0.294701986754967,0,0.00662251655629139,0.00662251655629139,0.076158940397351,0.0264900662251656,0.0364238410596026,0.0132450331125828,0,0.0529801324503311,0,0,0.00993377483443709,0.0033112582781457,0.0231788079470199,0.228476821192053,0.0397350993377483,0.00662251655629139,0.0033112582781457,0,0.0033112582781457,0,0.00662251655629139,0.0033112582781457,0,0,0,0.0033112582781457,0,0,0,0,0
200,1114,0.046875,0.009375,0.003125,0,0.0125,0.021875,0,0.009375,0.00625,0.296875,0.003125,0.003125,0.015625,0.05,0.009375,0.0375,0.003125,0.00625,0.028125,0.003125,0.009375,0.021875,0.00625,0.065625,0.25625,0.046875,0.003125,0.003125,0,0.009375,0,0.003125,0,0,0,0.003125,0,0.003125,0,0.003125,0,0
