"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Betula","Bumelia","Carya","Casuarina","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Cyrilla.racemiflora","Decodon.verticillatus","Ericaceae","Euphorbiaceae","Fabaceae.undiff.","Fraxinus","Ilex","Juglans","Liquidambar","Magnolia","Melastomataceae","Myrica","Myriophyllum","Nymphaea","Ostrya.Carpinus","Pinus","Poaceae","Polygalaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Sophora","Typha","Ulmus","Unknown..monolete.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
1,-36,0,120,56,0,10,0,2,4,0,0,0,0,4,0,46,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,66,0,0,0,0,22,4,0,0,4,0,2,0,12,14,16,0
3,-19,2,256,0,0,210,4,0,0,4,0,4,0,24,0,114,0,0,0,2,0,0,0,2,2,0,0,2,0,10,0,122,12,0,2,0,14,4,2,0,2,0,12,0,14,22,72,2
5,-1,0,182,0,0,90,8,0,10,10,0,0,0,26,2,74,0,0,2,2,2,0,0,0,0,0,0,12,0,16,0,90,8,0,0,0,14,8,8,0,0,0,0,0,16,44,24,2
7,16,2,198,0,0,72,2,0,14,0,0,4,0,22,4,114,0,0,2,2,2,2,4,0,0,2,0,14,0,22,0,86,6,0,0,0,24,16,0,0,0,0,8,0,8,62,34,4
9,33,0,80,2,0,2,0,0,6,0,0,0,0,10,0,88,0,0,2,0,4,0,0,0,0,0,0,10,0,26,0,82,2,0,0,0,4,4,0,0,0,0,2,2,6,20,36,2
11,50,4,72,2,0,2,4,2,8,0,4,8,0,28,4,30,0,0,0,2,4,0,2,0,0,0,2,48,0,14,0,90,4,0,0,2,18,14,0,0,0,2,6,0,0,42,0,0
13,97,2,102,4,0,6,12,0,4,0,0,2,0,38,0,40,0,2,2,0,6,0,2,0,2,0,0,54,0,10,0,108,6,0,0,0,16,28,0,0,0,0,4,0,4,70,22,10
15,145,0,138,2,2,6,10,0,2,0,2,2,0,18,2,40,0,0,0,0,0,0,0,0,0,0,0,4,0,74,0,120,2,2,0,0,10,14,0,0,0,0,4,0,2,16,20,4
17,193,0,102,0,2,10,4,0,0,0,2,2,2,22,0,26,0,0,0,2,4,2,0,0,0,0,0,30,0,22,0,94,2,0,0,0,18,28,0,4,2,0,4,0,0,36,14,8
19,240,0,84,0,2,0,2,0,0,0,2,2,0,20,4,32,0,0,4,2,0,2,0,0,0,0,0,18,0,8,0,88,4,0,0,0,20,14,0,2,0,0,4,0,0,26,10,2
21,288,4,176,0,6,8,18,0,6,0,0,0,0,30,4,40,0,0,0,0,4,0,0,0,2,0,0,24,0,24,0,176,4,0,0,0,16,18,0,0,0,0,16,0,4,36,10,0
23,335,0,66,0,2,4,0,0,2,0,2,0,0,30,2,40,2,0,6,0,2,2,0,0,0,0,0,4,0,16,0,140,0,0,0,0,22,48,0,0,2,0,0,2,0,34,12,0
25,383,0,52,2,2,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,0,24,0,12,0,52,2,0,0,0,6,18,0,0,0,0,0,0,0,16,2,0
27,430,2,26,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,2,0,2,0,0,0,0,0,0,88,0,24,2,106,6,0,2,0,8,22,0,0,0,0,0,2,2,4,4,2
29,499,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,568,0,26,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,2,34,0,10,0,76,2,0,12,0,8,10,0,0,0,0,0,2,2,0,2,0
33,636,2,88,0,6,4,0,0,0,0,0,2,0,0,0,44,0,2,0,0,4,0,0,0,0,0,0,42,0,56,2,114,0,0,12,0,26,8,0,0,0,0,6,0,2,0,4,0
35,705,0,32,0,2,6,0,0,0,0,0,0,0,0,0,32,0,2,4,0,0,0,0,0,0,0,0,14,0,64,2,146,0,0,0,0,8,22,0,0,2,0,4,0,6,2,0,2
37,774,2,40,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,12,0,86,0,312,2,0,0,0,10,4,0,0,0,0,10,2,10,0,0,0
39,843,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,154,0,0,4,0,2,2,0,0,0,0,6,0,6,0,0,0
41,971,0,24,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,86,0,132,0,0,0,0,6,6,0,0,0,0,4,0,2,0,2,0
43,1100,0,32,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,132,0,144,0,0,0,0,0,8,0,0,0,2,0,2,0,0,0,0
45,1228,0,106,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,2,0,90,0,108,2,0,0,0,2,14,0,0,0,0,2,0,0,0,0,0
47,1356,0,204,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,4,0,60,0,104,6,0,0,0,8,26,0,0,0,0,4,0,0,2,10,2
49,1485,0,522,0,0,2,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,44,6,0,28,0,8,10,0,0,0,0,0,0,0,0,0,0
51,1613,0,184,0,0,2,0,0,0,0,0,0,0,0,0,20,0,2,2,0,0,0,0,0,0,0,0,4,0,32,0,90,4,0,4,0,8,14,0,0,0,0,4,0,0,2,4,0
53,1675,2,132,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,0,0,2,10,0,44,0,82,4,0,2,0,6,18,0,0,2,0,4,0,0,0,12,2
55,1737,0,58,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,34,0,82,0,0,6,0,8,2,0,0,0,0,0,0,2,2,0,0
57,1798,2,140,0,0,8,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,38,0,204,4,0,2,0,0,6,0,0,2,0,8,0,0,0,2,2
59,1860,0,114,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,78,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
61,1921,0,92,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,86,2,0,0,0,4,8,0,0,0,0,8,0,0,0,4,0
63,1983,0,70,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
65,2045,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
67,NA,0,98,0,2,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,88,0,0,2,0,4,2,0,0,0,0,2,0,0,2,10,0
