"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Fagus","Fraxinus","Juglans","Morus","Nyssa","Ostrya.Carpinus","Pinus","Platanus","Poaceae","Populus","Quercus","Tilia","Ulmus"
0,5,1,0,5,68,0,21,4,4,4,0,0,1,7,2,15,1,9,2,148,0,7
1,21,0,1,4,43,0,25,4,0,4,0,1,1,0,0,14,1,29,0,157,1,6
2,37,4,2,3,43,3,68,3,1,2,0,1,5,5,1,4,0,9,1,110,0,3
3,53,0,1,2,81,0,43,3,2,0,1,1,1,3,2,12,0,16,8,128,0,8
4,69,0,4,2,107,1,31,4,7,2,0,0,0,9,0,15,0,20,8,111,1,2
5,85,2,2,2,96,4,2,1,3,1,0,4,0,1,0,15,0,33,0,91,0,9
6,101,4,1,2,24,7,2,3,6,2,0,1,0,1,1,49,0,27,0,98,0,4
8,312,4,2,0,8,3,3,1,15,10,0,2,0,0,3,37,0,92,3,111,2,2
10,524,5,3,6,32,2,26,4,19,4,2,8,0,1,0,62,0,26,40,79,2,9
12,775,6,0,2,4,2,2,5,7,2,0,2,0,0,0,38,0,77,9,109,3,1
14,1145,3,3,2,13,0,13,5,3,0,1,5,0,0,0,127,0,19,5,32,2,3
16,1514,0,0,1,9,1,2,0,6,0,0,0,0,0,0,64,0,12,2,36,2,1
18,1883,1,0,0,1,0,3,1,2,0,0,0,0,0,0,171,0,3,6,9,1,1
20,2252,0,1,0,8,0,2,0,4,1,0,0,0,0,0,118,0,11,0,7,0,1
22,NA,1,0,0,1,0,0,0,2,0,9,0,0,0,0,182,0,3,9,5,0,0
24,NA,0,0,1,2,2,4,2,5,0,0,1,0,0,0,116,0,8,3,10,2,0
26,NA,6,0,1,7,0,1,3,4,0,1,0,0,0,0,199,0,4,3,7,0,0
28,NA,0,0,0,2,1,1,0,1,0,0,0,0,0,0,114,0,7,0,19,0,0
30,NA,1,0,1,0,0,1,0,0,0,0,2,0,0,0,90,0,0,0,6,0,0
32,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,59,0,2,2,5,0,1
