"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Poaceae","Abies.balsamea","Myrica.gale","Pinus.banksiana.type","Rubus.chamaemorus","Picea.undiff.","Quercus","Rosaceae.undiff.","Corylus.cornuta","Pinus.strobus","Potentilla.palustris.type","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Juglans.cinerea","Ostrya.Carpinus","Ulmus","Amaranthaceae","Tsuga.canadensis","Ambrosia.type","Fagus","Fraxinus.nigra.type","Taxus","Lamiaceae","Onagraceae","Acer.saccharum","Acer.spicatum","Fabaceae","Caryophyllaceae","Nemopanthus.mucronatus","Ranunculaceae","cf..Oxyria.digyna","Rumex.type","Juglans.nigra","Populus.balsamifera.type","Acer.saccharinum","Salix.herbacea.type","Salix.vestita.type","Tilia"
0,-1,0.0184331797235023,0.214285714285714,0.00921658986175115,0.135944700460829,0.0368663594470046,0.0299539170506912,0.00230414746543779,0.00230414746543779,0.350230414746544,0.0184331797235023,0.00230414746543779,0.00921658986175115,0.00691244239631336,0.0184331797235023,0.00460829493087558,0.00691244239631336,0.0506912442396313,0.00230414746543779,0.0806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,473,0.00998003992015968,0.219560878243513,0.00199600798403194,0.131736526946108,0.0279441117764471,0.0199600798403194,0.00399201596806387,0.00399201596806387,0.347305389221557,0.0538922155688623,0,0.00199600798403194,0.00998003992015968,0.0159680638722555,0,0.00798403193612774,0.0359281437125748,0,0.0778443113772455,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00998003992015968,0.00399201596806387,0.00598802395209581,0.00199600798403194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,946,0.0242825607064018,0.278145695364238,0.00441501103752759,0.139072847682119,0.0132450331125828,0.011037527593819,0.00441501103752759,0,0.322295805739514,0.0132450331125828,0,0,0.0132450331125828,0.0176600441501104,0,0.022075055187638,0.0286975717439294,0,0.0662251655629139,0.00441501103752759,0.0022075055187638,0.00441501103752759,0.00662251655629139,0,0.00883002207505519,0.0022075055187638,0.0022075055187638,0.0022075055187638,0.00441501103752759,0.0022075055187638,0.0022075055187638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1419,0.0050761421319797,0.215736040609137,0.00253807106598985,0.0812182741116751,0.0241116751269036,0.00380710659898477,0.0050761421319797,0,0.461928934010152,0.0228426395939086,0.00253807106598985,0.00253807106598985,0.0101522842639594,0.00761421319796954,0,0.00126903553299492,0.0697969543147208,0,0.0469543147208122,0,0,0,0.0215736040609137,0,0.00126903553299492,0.00253807106598985,0,0,0.00253807106598985,0,0,0.00253807106598985,0.00126903553299492,0.00253807106598985,0.00126903553299492,0.00126903553299492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1892,0.0183767228177642,0.341500765696784,0.00306278713629403,0.127105666156202,0.0137825421133231,0.00918836140888208,0.00153139356814701,0.00306278713629403,0.289433384379786,0.00612557427258806,0,0.00306278713629403,0.00765696784073507,0.0260336906584992,0.00306278713629403,0.00765696784073507,0.0413476263399694,0,0.0658499234303216,0.00459418070444104,0,0,0.00153139356814701,0,0.00306278713629403,0.00918836140888208,0,0,0.00306278713629403,0.00306278713629403,0.00153139356814701,0,0,0.00306278713629403,0,0,0.00153139356814701,0.00153139356814701,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2365,0.0136518771331058,0.262798634812287,0.00341296928327645,0.098976109215017,0.0136518771331058,0.0102389078498294,0.0068259385665529,0.00341296928327645,0.42320819112628,0.0119453924914676,0.00170648464163823,0.00170648464163823,0.00511945392491468,0.00170648464163823,0,0.0068259385665529,0.0392491467576792,0,0.0699658703071672,0.00341296928327645,0.00170648464163823,0,0.0068259385665529,0,0.00511945392491468,0,0,0,0.00170648464163823,0,0,0.00170648464163823,0.00170648464163823,0,0.00170648464163823,0,0,0,0.00170648464163823,0,0,0,0,0,0,0,0,0,0,0,0
60,2838,0.00742115027829314,0.296846011131725,0.00927643784786642,0.178107606679035,0.025974025974026,0.012987012987013,0.00185528756957328,0.00371057513914657,0.270871985157699,0.00742115027829314,0.00371057513914657,0.00185528756957328,0.0166975881261596,0.00185528756957328,0,0.012987012987013,0.0500927643784787,0,0.072356215213358,0.00185528756957328,0,0.00371057513914657,0.00742115027829314,0,0.00185528756957328,0,0,0,0.00185528756957328,0.00371057513914657,0,0.00185528756957328,0,0.00185528756957328,0.00185528756957328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3311,0.0144230769230769,0.296474358974359,0.00641025641025641,0.118589743589744,0.0224358974358974,0.00801282051282051,0.016025641025641,0.00320512820512821,0.375,0.016025641025641,0,0.00320512820512821,0.0016025641025641,0.00480769230769231,0,0.0144230769230769,0.0288461538461538,0,0.0384615384615385,0.0016025641025641,0,0,0.0176282051282051,0,0.00480769230769231,0.0016025641025641,0,0,0,0,0,0,0,0.0016025641025641,0.00320512820512821,0,0,0,0,0.0016025641025641,0,0,0,0,0,0,0,0,0,0,0
80,3784,0,0.425263157894737,0.00842105263157895,0.181052631578947,0.0273684210526316,0.0105263157894737,0,0,0.214736842105263,0.00421052631578947,0.00210526315789474,0.00210526315789474,0,0.00631578947368421,0,0.0252631578947368,0.0147368421052632,0,0.0652631578947368,0,0,0,0.00210526315789474,0,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210526315789474,0.00631578947368421,0,0,0,0,0,0,0,0,0
90,4258,0.0075046904315197,0.25515947467167,0.00187617260787992,0.170731707317073,0.0206378986866792,0.00187617260787992,0.00187617260787992,0,0.420262664165103,0,0.00187617260787992,0.00375234521575985,0.0131332082551595,0.00938086303939963,0,0.00187617260787992,0.0375234521575985,0,0.0375234521575985,0,0,0.00187617260787992,0.00375234521575985,0,0.00562851782363977,0.00187617260787992,0,0.00187617260787992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
