"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Cornus.canadensis","Cornus.sericea.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Cyperaceae","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum"
0,-43,0.0207792207792208,0.00519480519480519,0.135064935064935,0.264935064935065,0.00519480519480519,0,0,0,0.0233766233766234,0,0.176623376623377,0.0025974025974026,0.0025974025974026,0.0181818181818182,0.0025974025974026,0.0025974025974026,0.0025974025974026,0.0883116883116883,0.0025974025974026,0.114285714285714,0,0.0155844155844156,0,0,0,0.0415584415584416,0,0.0207792207792208,0,0,0.00519480519480519,0.0025974025974026,0,0,0.00519480519480519,0.0363636363636364,0.0025974025974026,0,0,0.0025974025974026
0.5,-26,0.0446428571428571,0.00669642857142857,0.212053571428571,0.165178571428571,0,0,0,0,0.00892857142857143,0,0.212053571428571,0.00223214285714286,0.00892857142857143,0.0267857142857143,0.00223214285714286,0.00446428571428571,0,0.104910714285714,0.00223214285714286,0.107142857142857,0,0.00446428571428571,0.00223214285714286,0,0,0.015625,0,0.015625,0,0,0.0200892857142857,0,0,0,0.00446428571428571,0.0245535714285714,0,0,0,0.00446428571428571
1,-9,0.043731778425656,0.00291545189504373,0.139941690962099,0.174927113702624,0,0,0,0,0.043731778425656,0,0.262390670553936,0.00291545189504373,0.0262390670553936,0.0291545189504373,0.00291545189504373,0.00291545189504373,0,0.0991253644314869,0,0.0349854227405248,0,0.0145772594752187,0.00583090379008746,0,0,0.0087463556851312,0.00291545189504373,0.0495626822157434,0,0,0.0145772594752187,0,0,0,0.00291545189504373,0.032069970845481,0,0,0,0.00291545189504373
1.5,8,0.00497512437810945,0.00248756218905473,0.221393034825871,0.181592039800995,0,0,0,0,0.0099502487562189,0,0.208955223880597,0.0099502487562189,0.00248756218905473,0.0099502487562189,0,0.00497512437810945,0,0.161691542288557,0,0.0497512437810945,0,0.00248756218905473,0.00248756218905473,0,0,0.0298507462686567,0,0.0522388059701493,0.00248756218905473,0,0.00746268656716418,0,0.00248756218905473,0,0.0124378109452736,0.0149253731343284,0,0,0,0.00497512437810945
2,25,0.0606060606060606,0.00505050505050505,0.202020202020202,0.202020202020202,0.00252525252525253,0,0,0,0.0101010101010101,0,0.255050505050505,0,0,0,0.00252525252525253,0.00252525252525253,0.00757575757575758,0.141414141414141,0,0.0505050505050505,0,0.00505050505050505,0,0,0,0.0101010101010101,0,0.0277777777777778,0,0,0,0,0,0,0.00252525252525253,0.0126262626262626,0,0,0,0
2.5,42,0.0318906605922551,0.00227790432801822,0.261958997722096,0.257403189066059,0,0,0,0,0.00911161731207289,0,0.195899772209567,0,0,0.00227790432801822,0,0.00227790432801822,0,0.0865603644646925,0,0.0318906605922551,0,0.0296127562642369,0,0,0,0.00911161731207289,0,0.041002277904328,0,0,0.0159453302961276,0,0,0,0.0113895216400911,0.0113895216400911,0,0,0,0
3,59,0.036745406824147,0.0026246719160105,0.128608923884514,0.20997375328084,0,0,0,0,0.005249343832021,0,0.141732283464567,0.010498687664042,0.0026246719160105,0.0026246719160105,0,0,0,0.225721784776903,0,0.089238845144357,0.0026246719160105,0.0026246719160105,0.005249343832021,0,0.0026246719160105,0.0446194225721785,0,0.020997375328084,0.0026246719160105,0,0.010498687664042,0,0,0,0.031496062992126,0.0183727034120735,0,0.0026246719160105,0,0
3.5,75,0.0701754385964912,0.00584795321637427,0.0935672514619883,0.187134502923977,0,0,0.00292397660818713,0,0.00292397660818713,0,0.140350877192982,0.00584795321637427,0.00584795321637427,0,0.00292397660818713,0,0,0.216374269005848,0,0.0964912280701754,0,0.00292397660818713,0.00292397660818713,0,0,0.0701754385964912,0,0.0233918128654971,0,0,0,0,0,0,0.0146198830409357,0.0555555555555556,0,0,0,0
4,92,0.0531914893617021,0.00531914893617021,0.154255319148936,0.223404255319149,0,0,0,0,0.023936170212766,0,0.156914893617021,0.00265957446808511,0.00531914893617021,0,0.00265957446808511,0.00265957446808511,0.00265957446808511,0.186170212765957,0.00531914893617021,0.0824468085106383,0,0.00531914893617021,0,0,0.00265957446808511,0.0186170212765957,0,0.0319148936170213,0,0,0.0186170212765957,0,0.00265957446808511,0,0.0106382978723404,0.00265957446808511,0,0,0,0
4.5,109,0.0437158469945355,0,0.153005464480874,0.23224043715847,0,0,0,0,0.00819672131147541,0,0.158469945355191,0.00273224043715847,0,0.00546448087431694,0,0.00273224043715847,0,0.169398907103825,0,0.092896174863388,0,0.0245901639344262,0,0,0,0.0300546448087432,0,0.0327868852459016,0,0,0.00546448087431694,0,0,0,0.00273224043715847,0.0327868852459016,0,0,0,0.00273224043715847
5,126,0.0668523676880223,0.00278551532033426,0.064066852367688,0.3008356545961,0,0,0,0.00278551532033426,0.0278551532033426,0,0.128133704735376,0.00557103064066852,0,0.00557103064066852,0,0,0,0.192200557103064,0,0.0891364902506964,0,0,0,0,0.00557103064066852,0.0473537604456825,0,0.0250696378830084,0,0,0.00278551532033426,0,0,0,0.0167130919220056,0.0167130919220056,0,0,0,0
6,160,0.0450704225352113,0,0.0788732394366197,0.205633802816901,0.0028169014084507,0,0,0,0.0140845070422535,0,0.146478873239437,0,0.0169014084507042,0,0,0.0028169014084507,0.00563380281690141,0.219718309859155,0,0.107042253521127,0,0.00563380281690141,0,0,0,0.0929577464788732,0,0.0225352112676056,0,0,0,0,0,0,0.00845070422535211,0.0197183098591549,0,0,0,0.00563380281690141
7,194,0.0725075528700906,0.00302114803625378,0.0755287009063444,0.24773413897281,0,0,0,0,0.00302114803625378,0,0.093655589123867,0.00302114803625378,0.00302114803625378,0,0.00604229607250755,0,0.00604229607250755,0.175226586102719,0,0.117824773413897,0.00604229607250755,0.0211480362537764,0.00302114803625378,0,0,0.108761329305136,0,0.027190332326284,0,0,0.00302114803625378,0,0,0,0.0120845921450151,0.00906344410876133,0,0,0,0.00302114803625378
