"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Polypodium","Pteridium","Thelypteris.palustris","Woodsia","Sphagnum","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Ruppia","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
0.5,-43,0,10,5,2,4,0,1,222,3,21,0,0,0,0,2,3,41,10,0,1,8,0,1,3,1,0,5,0,4,10,8,14,35,1,0,96,0,0,0,0,0,41,6,0,19,0,1,0,0,0,1,1,0,0,0,0,1,15,0,0,0,2,9,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,0,0,2,1,14,0,0,0,0,0,1,7,0,7,5,12,8,0,1
2.5,-28,1,9,4,0,9,0,0,223,3,38,0,0,0,0,1,2,50,12,3,1,3,0,0,0,0,0,8,0,1,1,2,17,45,3,0,71,0,1,0,0,0,52,2,0,12,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,1,1,5,0,0,0,0,0,1,2,0,5,2,9,4,0,2
4.5,-12,2,10,10,1,8,0,3,196,4,40,0,0,0,2,3,2,44,6,3,3,5,3,1,2,0,0,3,0,3,3,5,23,33,0,0,82,0,0,0,0,0,38,1,0,23,0,0,1,0,0,1,2,0,0,0,0,1,14,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,3,1,0,7,0,0,1,1,7,0,0,1,0,0,0,1,2,6,4,12,7,0,2
6.5,3,1,13,6,0,2,0,2,192,3,25,0,0,0,0,1,2,62,9,0,3,5,0,0,3,0,0,4,0,5,2,6,28,34,2,0,85,0,0,0,0,0,47,3,0,24,0,1,2,0,0,1,0,0,0,0,0,0,19,0,0,0,1,10,0,0,0,0,0,5,0,1,0,0,0,1,1,0,8,0,0,1,1,17,1,0,0,0,0,2,4,1,5,2,12,7,0,2
8.5,18,0,8,6,0,2,0,0,212,5,49,0,0,0,0,4,0,64,5,1,0,2,3,0,1,0,0,7,0,1,3,5,12,37,2,0,57,0,2,0,0,0,59,4,0,25,0,1,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,2,1,0,3,0,0,1,0,10,0,0,0,0,0,1,9,0,10,3,15,8,0,2
10.5,34,0,6,8,2,4,0,0,206,3,38,0,0,0,1,3,2,54,4,0,2,6,2,0,1,0,0,4,0,3,5,6,16,32,1,1,58,0,1,0,0,0,46,4,1,22,0,0,2,0,0,2,1,0,0,0,0,0,10,0,0,0,1,10,0,0,0,1,0,1,0,0,0,0,0,5,1,0,2,0,0,1,0,16,0,0,2,0,0,1,4,1,4,4,10,1,0,1
12.5,49,1,6,13,0,3,0,0,200,4,41,0,0,0,0,6,1,58,6,0,1,8,2,0,1,0,0,7,0,2,4,3,17,37,2,0,70,0,2,0,0,0,32,7,1,17,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,3,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,14,0,0,0,0,0,0,3,1,8,4,8,10,0,1
14.5,65,0,8,4,1,3,0,1,229,4,50,0,0,0,0,4,1,57,6,0,2,1,0,0,0,0,0,10,0,4,4,1,15,35,2,0,78,0,0,0,0,1,36,10,0,22,0,0,2,0,0,2,1,0,0,0,0,1,29,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,2,1,0,7,0,1,2,0,19,0,2,0,0,0,1,5,0,7,3,19,3,0,1
16.5,80,0,5,7,2,4,0,0,222,4,90,0,0,0,2,3,1,43,4,2,1,3,3,0,1,0,0,9,0,1,3,2,7,57,3,0,57,0,0,0,0,0,36,9,0,28,0,0,2,0,0,1,0,0,0,0,0,2,21,0,0,0,1,21,0,0,0,0,0,3,0,0,0,0,0,1,1,0,8,0,1,1,0,23,0,0,0,0,0,0,3,1,9,1,16,3,0,3
18.5,95,0,9,9,2,3,0,0,179,3,82,0,0,0,1,5,1,54,4,0,3,9,1,0,1,0,0,24,0,2,5,1,14,54,0,0,64,0,2,0,0,1,53,3,0,26,0,0,1,0,0,0,1,0,0,0,0,0,21,0,0,0,1,23,0,0,0,0,0,1,0,0,0,0,0,3,0,0,11,0,3,0,0,26,0,0,0,0,0,1,1,1,15,2,23,11,0,0
