"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Prunus","Quercus","Rhamnus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Spiraea","Tilia","Ulmus","Viburnum.lentago","Viburnum.opulus","Viburnum.rafinesquianum.type","Viburnum.undiff.","Allium","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caltha.type","Caryophyllaceae.undiff.","Caulophyllum.thalictroides","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Epilobium","Euphorbia","Fabaceae.undiff.","Galium","Humulus","Impatiens","Iva.annua.type","Iva.xanthifolia","Lysimachia","Mimulus","Pedicularis","Poaceae","Polygonum.amphibium","Polygonum.aviculare","Polygonum.persicaria","Potentilla","Ranunculus","Rosaceae.undiff.","Rumex","Scrophularia","Stellaria","Thalictrum","Urtica.type","Viola","Xanthium","Botrychium.undiff.","Botrychium.virginianum","Diphasiastrum.complanatum","Diphasiastrum.tristachyum","Dryopteris","Equisetum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.undiff.","Osmunda","Polypodium","Pteridium","Thelypteris","Sphagnum","Brasenia.schreberi","Isoëtes","Lemna","Myriophyllum","Nuphar","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Spore..trilete.","Fungus..hyphae.","Fungus","Indeterminable","Unknown"
240,9611,0,0,0,0,2,9,1,1,3,0,0,0,0,0,0,1,8,0,0,162,0,0,91,2,0,5,0,1,0,1,1,1,0,0,4,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,24,0,2,2,24,0,5,14,5,0
245,9798,0,0,0,0,3,14,0,4,7,0,0,1,1,0,0,0,11,0,1,264,10,0,42,1,0,10,0,9,0,1,0,2,0,0,13,0,0,0,0,0,4,0,0,14,2,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,6,17,0,1,1,22,6,40,45,6,0
261,10425,0,0,0,0,5,6,0,2,8,0,1,0,0,0,0,0,5,0,0,167,8,1,26,1,0,14,0,4,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,6,1,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,10,5,39,29,3,1
