"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Alnus","Myrica","Poaceae","Brassicaceae","Lamiaceae","Prunus.Sorbus","Acer.spicatum","Iva.xanthifolia.type","Potentilla.type","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Galium","Ledum.Chamaedaphne.calyculata","Xanthium","Ericaceae.undiff.","Carya","Ceanothus","Juglans.nigra","Tsuga","Ephedra","Amorpha.type","Arceuthobium","Rhamnus","Iva.annua.type","Herbs.undiff.","Tilia","Cannabaceae","Populus.undiff.","Rosaceae.undiff.","Dalea","Celtis","Viburnum","Fagus","Juglans.cinerea","Saxifragaceae","Plantago","Bidens.type","Ranunculus","Rumex","Impatiens","Rosaceae.trees","Taxus","Campanulaceae","Asteraceae.subf..Cichorioideae","Primulaceae","Polygonum","Acer.saccharinum.type","Shepherdia.argentea","Shepherdia.canadensis"
152,28,0.0219435736677116,0.00208986415882968,0.00104493207941484,0.00104493207941484,0.0543364681295716,0.0167189132706374,0.117032392894462,0.00417972831765935,0.0188087774294671,0.00417972831765935,0.0177638453500522,0.0114942528735632,0.00104493207941484,0.00104493207941484,0.0240334378265413,0.00313479623824451,0.105538140020899,0.0417972831765935,0.115987460815047,0.305120167189133,0.00104493207941484,0.00104493207941484,0.00104493207941484,0.0250783699059561,0.00313479623824451,0.00104493207941484,0.00104493207941484,0.0125391849529781,0.0532915360501567,0.00104493207941484,0.0282131661442006,0.00104493207941484,0.00104493207941484,0.00104493207941484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,44,0.0196850393700787,0.000984251968503937,0,0,0.0452755905511811,0.0177165354330709,0.130905511811024,0.000984251968503937,0.0108267716535433,0.00492125984251968,0.00492125984251968,0.00295275590551181,0.00295275590551181,0,0.0196850393700787,0.000984251968503937,0.0895669291338583,0.0521653543307087,0.094488188976378,0.381889763779528,0,0,0.00196850393700787,0.0246062992125984,0,0.00196850393700787,0,0.00492125984251968,0.0511811023622047,0.000984251968503937,0.0265748031496063,0,0,0,0.000984251968503937,0.000984251968503937,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,84,0.0168918918918919,0.00112612612612613,0.00112612612612613,0,0.0315315315315315,0.0135135135135135,0.132882882882883,0,0.00563063063063063,0.00225225225225225,0.0101351351351351,0.00788288288288288,0.00225225225225225,0.00225225225225225,0.0281531531531532,0.00112612612612613,0.100225225225225,0.0518018018018018,0.157657657657658,0.32545045045045,0,0,0,0.0191441441441441,0.00112612612612613,0.0045045045045045,0.00112612612612613,0.00788288288288288,0.0484234234234234,0.00112612612612613,0.0135135135135135,0,0,0,0,0.00112612612612613,0,0,0.0045045045045045,0,0.00112612612612613,0.00112612612612613,0.00112612612612613,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,252,0.015748031496063,0,0,0,0.0112485939257593,0.0168728908886389,0.166479190101237,0.00112485939257593,0.00674915635545557,0.00674915635545557,0.0168728908886389,0.00899887514060742,0.00337457817772778,0.00112485939257593,0.0416197975253093,0.00112485939257593,0.0854893138357705,0.0292463442069741,0.15185601799775,0.323959505061867,0,0,0.00224971878515186,0.0359955005624297,0.00112485939257593,0.00224971878515186,0.00112485939257593,0.00562429696287964,0.0382452193475816,0.00112485939257593,0.00562429696287964,0,0,0,0.00224971878515186,0,0,0,0.00674915635545557,0,0,0.00112485939257593,0.00224971878515186,0,0.00112485939257593,0.00112485939257593,0.00112485939257593,0.00112485939257593,0.00112485939257593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,453,0.0143472022955524,0,0,0,0.0129124820659971,0.0114777618364419,0.146341463414634,0,0.00430416068866571,0.00573888091822095,0.00573888091822095,0.00286944045911047,0.00573888091822095,0,0.0344332855093257,0.00717360114777618,0.0717360114777618,0.0416068866571019,0.12338593974175,0.393113342898135,0.00143472022955524,0,0.00286944045911047,0.0416068866571019,0,0.00143472022955524,0,0.00717360114777618,0.0444763271162123,0,0.00430416068866571,0,0.00143472022955524,0,0,0,0.00143472022955524,0,0.0100430416068867,0,0,0,0.00143472022955524,0,0,0,0,0,0,0.00143472022955524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,586,0.0101522842639594,0,0,0,0.0131979695431472,0.0223350253807107,0.163451776649746,0,0.00304568527918782,0.00304568527918782,0.00710659898477157,0.00812182741116751,0.00406091370558376,0,0.0436548223350254,0.00609137055837563,0.0751269035532995,0.0568527918781726,0.180710659898477,0.272081218274112,0,0,0.00203045685279188,0.0284263959390863,0.00203045685279188,0,0.00101522842639594,0.0142131979695431,0.0598984771573604,0.00203045685279188,0.00609137055837563,0,0,0,0.00101522842639594,0.00101522842639594,0,0,0.00101522842639594,0,0,0.00203045685279188,0,0.00203045685279188,0.00203045685279188,0,0,0.00406091370558376,0,0,0.00101522842639594,0.00101522842639594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,720,0.00715307582260372,0,0.00143061516452074,0,0.00715307582260372,0.0243204577968526,0.170243204577969,0,0,0.00286123032904149,0.0157367668097282,0.00858369098712446,0.00143061516452074,0,0.0400572246065808,0.00715307582260372,0.0915593705293276,0.067238912732475,0.21173104434907,0.226037195994278,0,0,0,0.0371959942775393,0.00143061516452074,0,0,0.00858369098712446,0.0386266094420601,0.00858369098712446,0.0128755364806867,0,0,0,0,0.00143061516452074,0,0,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0.00143061516452074,0,0.00143061516452074,0.00143061516452074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,815,0.0141442715700141,0,0,0,0,0.0099009900990099,0.114568599717115,0,0.00141442715700141,0.00282885431400283,0.00282885431400283,0.00848656294200849,0.00282885431400283,0,0.0424328147100424,0.00141442715700141,0.0848656294200849,0.024045261669024,0.185289957567185,0.422913719943423,0,0,0,0.0155586987270156,0.00424328147100424,0,0,0.00707213578500707,0.0396039603960396,0.00565770862800566,0.00141442715700141,0,0,0,0,0,0,0,0.00282885431400283,0,0,0.00282885431400283,0,0.00141442715700141,0,0,0,0,0,0,0,0,0,0,0.00141442715700141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,863,0.013360739979445,0.00102774922918808,0,0,0.00822199383350463,0.0143884892086331,0.135662898252826,0,0.00308324768756423,0.00308324768756423,0.00205549845837616,0.00513874614594039,0.00822199383350463,0.00102774922918808,0.0441932168550874,0.00411099691675231,0.065775950668037,0.0431654676258993,0.1551901336074,0.354573484069887,0,0.00102774922918808,0.00411099691675231,0.0277492291880781,0.00719424460431655,0.00102774922918808,0.00102774922918808,0.0092497430626927,0.0534429599177801,0.00616649537512847,0.0102774922918808,0,0,0,0,0,0,0.00205549845837616,0.0102774922918808,0,0,0,0,0,0,0,0,0,0.00102774922918808,0,0,0,0,0,0,0.00102774922918808,0.00102774922918808,0.00102774922918808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,958,0.0093833780160858,0,0,0,0.00402144772117962,0.0107238605898123,0.0871313672922252,0.00134048257372654,0.00536193029490617,0.00268096514745308,0.00670241286863271,0.00402144772117962,0,0.00134048257372654,0.0549597855227882,0.00402144772117962,0.0831099195710456,0.0241286863270777,0.301608579088472,0.328418230563003,0,0,0.00134048257372654,0.017426273458445,0,0,0,0.00268096514745308,0.0281501340482574,0.00536193029490617,0.00670241286863271,0,0,0,0,0,0,0,0.00268096514745308,0,0,0.00134048257372654,0,0,0,0,0,0.00402144772117962,0,0,0,0,0,0,0,0,0,0,0.00134048257372654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
