"sample.depths","sample.ages","upland.sum","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Juglans.nigra","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Ericaceae","Corylus","Myrica","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Rumex","Vitis","Populus","Acer.rubrum","Liquidambar","Other.shrubs","Ephedra","Polygonum","Thalictrum","Other.herbs"
1,17,523,74,232,12,3,9,0,2,9,1,0,0,0,5,77,1,0,1,0,5,7,0,16,1,2,1,0,11,11,2,33,1,1,5,1,0,0,0,0,0,0,0,0
5,201,516,86,212,14,4,7,0,6,12,7,2,0,0,1,68,0,0,1,1,6,6,0,8,0,2,0,0,9,11,2,36,5,4,5,0,0,0,0,0,1,0,0,0
10,430,498,107,182,13,6,14,2,3,15,3,0,0,0,4,66,0,0,2,1,7,3,0,9,6,0,0,0,4,13,0,30,2,4,2,0,0,0,0,0,0,0,0,0
15,660,546,156,168,12,5,16,0,1,24,10,1,0,0,1,86,0,2,0,0,5,4,1,6,0,1,1,0,20,5,1,10,3,5,0,0,1,1,0,0,0,0,0,0
20,890,630,188,229,17,3,13,0,1,23,9,0,0,0,4,85,4,0,1,0,8,7,0,13,0,1,0,0,8,6,1,5,0,2,0,0,0,0,1,1,0,0,0,0
24,1074,614,193,236,8,4,14,2,2,26,10,3,0,0,5,66,2,0,0,1,3,6,0,10,0,1,3,0,4,7,0,4,0,3,0,0,0,0,0,0,1,0,0,0
26,1165,775,248,258,21,2,21,0,0,28,11,1,0,0,8,103,2,2,1,1,7,7,1,10,2,4,2,0,7,16,1,4,2,5,0,0,0,0,0,0,0,0,0,0
29,1303,653,191,234,24,4,16,1,8,10,13,1,0,0,5,100,4,1,0,0,8,4,1,10,0,0,0,0,6,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0
39,1763,556,120,267,8,2,17,0,4,10,7,1,0,0,6,75,1,0,1,0,3,4,1,9,0,0,1,0,6,7,0,4,0,1,0,0,1,0,0,0,0,0,0,0
44,1992,631,190,242,10,5,12,2,8,20,4,0,0,0,8,77,3,0,0,1,7,3,0,6,1,1,1,0,11,8,0,4,1,3,0,0,0,0,1,0,0,1,1,0
49,2222,641,195,269,15,4,17,0,1,12,7,0,0,0,3,67,0,1,1,0,13,5,1,7,0,1,1,0,5,10,0,2,2,2,0,0,0,0,0,0,0,0,0,0
59,2681,577,236,156,20,4,15,4,3,12,7,3,0,0,0,68,1,1,0,0,3,3,2,14,0,3,2,0,4,2,0,7,1,4,0,0,1,0,0,0,0,0,0,1
64,2911,541,153,211,12,2,11,3,7,17,8,1,0,0,4,64,1,1,1,1,4,5,0,10,1,2,0,0,4,5,1,6,0,5,0,0,1,0,0,0,0,0,0,0
