"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Larix","Picea","Asteraceae.subf..Asteroideae.undiff.","Pinus","Artemisia","Betula","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Quercus","Shepherdia.canadensis","Ericales","Elaeagnus","Poaceae","Ranunculus","Carya","Caryophyllaceae","Ulmus","Alnus","Celtis","Thalictrum","Tsuga","Ambrosia","Fraxinus.nigra","Salix","Populus","Acer.saccharum","Amaranthaceae"
1,NA,99,2,3,1,87,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NA,100,0,4,0,69,3,11,1,1,2,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NA,100,0,5,0,71,5,9,0,0,0,1,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NA,100,3,15,0,63,0,4,1,1,0,2,5,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
20,15798,100,0,25,0,53,2,7,0,0,0,1,8,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,15831,100,0,9,0,60,1,3,2,0,0,0,14,0,1,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0
75,16161,100,0,13,0,67,0,8,1,1,0,2,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
79,16188,99,0,4,0,76,3,7,0,0,0,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,16207,100,1,22,0,41,4,10,2,1,1,0,8,0,0,1,3,2,0,0,0,1,1,1,1,0,0,0,0,0,0
87,16240,100,0,7,0,71,4,3,1,0,0,0,3,0,1,0,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0
92,16273,100,0,8,0,62,2,3,2,0,0,0,4,0,1,1,8,6,1,0,0,0,0,0,0,1,1,0,0,0,0
97,NA,100,0,14,0,55,2,6,5,2,0,3,3,0,1,0,3,3,0,0,0,2,0,0,0,1,0,0,0,0,0
102,NA,100,0,22,0,44,1,6,1,0,0,1,11,1,0,0,3,0,2,0,0,0,0,0,0,2,3,1,1,1,0
107,NA,100,0,11,0,74,1,4,1,2,0,0,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,NA,100,0,11,0,70,0,3,0,1,0,1,4,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1
