"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Castanea","Fagus","Ilex","Liquidambar","Picea","Quercus","Tsuga","Ulmus","Alnus","Juglans","Pinus","Nyssa","Tilia"
7.62,NA,153,5,8,7,12,2,4,3,8,74,10,1,11,2,6,0,0
15.2,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.9,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,2063,155,15,13,9,12,0,1,0,1,69,1,1,22,0,9,2,0
38.1,2577,162,2,14,10,15,1,1,0,6,78,0,1,30,2,0,2,0
45.7,3091,161,5,9,5,15,1,2,1,2,59,1,0,46,1,7,7,0
53.3,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.9,4120,214,5,14,4,13,0,2,1,0,56,2,0,104,0,13,0,0
68.6,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2,5155,384,2,22,10,10,1,10,0,1,86,6,0,226,1,7,2,0
83.8,5669,326,3,26,7,25,1,11,0,1,57,6,1,164,2,10,4,8
91.4,6183,443,1,21,3,20,1,7,1,2,85,5,2,290,0,1,3,1
106.7,7218,444,5,18,5,32,4,16,0,2,68,8,0,277,0,6,3,0
114.3,7732,163,4,16,3,44,0,0,0,8,17,30,0,33,0,4,4,0
121.9,8246,154,0,10,1,25,4,2,1,2,29,29,1,48,0,2,0,0
129.5,8760,243,0,14,2,15,7,4,0,1,59,43,0,93,0,3,2,0
137.2,9281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.8,9795,150,1,22,2,22,0,0,0,9,32,49,1,3,0,8,1,0
152.4,10309,203,3,28,5,31,5,1,0,3,31,82,1,7,0,4,2,0
160,10823,154,1,29,0,12,4,1,0,8,16,48,0,20,1,13,0,1
167.6,NA,150,7,41,1,0,1,0,0,19,27,14,0,32,0,8,0,0
175.3,NA,155,0,24,2,11,2,1,0,6,26,55,0,20,1,7,0,0
182.9,NA,143,1,13,1,4,1,0,0,9,29,57,0,18,1,8,0,1
190.5,NA,155,0,4,9,1,1,3,1,17,26,4,0,42,1,45,1,0
198.1,NA,152,2,8,18,2,3,1,2,5,57,8,2,27,2,15,0,0
