"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Betula","Betulaceae.undiff.","Carya","Castanea","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Larix","Liquidambar","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana.type","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Rubus.type","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia","Apiaceae.undiff.","Araliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","cf..Cistaceae","cf..Oxalis","cf..Primula","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Gentianaceae","Humulus.Cannabis.sativa","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Plumbaginaceae","Poaceae.undiff.","Polygonaceae.undiff.","Potentilla.type","Ranunculus","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Saxifragaceae","Secale","Sisyrinchium","Solanaceae","Thalictrum","Trifolium.type","Triticum","Urticaceae","Zea","Athyrium.type","Cystopteris","Dryopteris.type","Equisetum","Huperzia.lucidula","Huperzia.selago","Lycopodium.clavatum","Ophioglossum.type","Osmunda","Polypodium","Pteridium.type","Sphagnum","Brasenia.schreberi","Cladium.type","Hydrocotyle","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Pontederia","Potamogeton","Sparganium.type","Typha","Spore..trilete.","Coniferophyta.undiff.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Unknown"
80,146,0,3,1,0,1,9,1,4,1,1,10,1,0,2,9,16,0,0,45,0,0,0,0,100,57,6,0,0,0,2,5,94,0,3,144,4,6,0,1,0,1,7,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,8,0,0,1,0,1,0,3,1,0,9,0,0,0,6,0,27,0,2,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,38,2,5,11,0,0,0,0,0,0,0,1,0,0,1,1,0,12,5,6,27,1,6
88,166,1,6,1,0,1,13,3,7,0,0,9,0,4,3,9,9,0,0,74,0,0,0,0,90,78,2,1,0,1,2,9,124,0,0,148,0,1,0,0,0,0,3,1,0,1,2,0,0,0,2,0,0,0,0,0,2,0,2,3,0,0,0,1,0,0,0,4,1,14,0,0,0,2,0,29,0,3,0,0,0,0,0,0,0,3,0,54,0,0,0,0,0,52,0,13,7,1,0,0,0,0,1,0,0,0,0,0,1,1,12,7,6,19,11,16
96,187,1,4,1,2,2,23,2,9,0,1,5,0,6,0,4,10,0,1,71,0,0,1,0,54,60,4,1,0,1,1,5,142,0,0,126,0,2,0,1,0,0,2,3,0,1,9,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,0,8,0,0,0,3,0,23,1,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,52,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,53,7
104,207,0,7,0,1,3,25,8,11,3,0,6,0,5,0,7,11,1,1,58,0,0,0,0,59,55,1,1,0,0,3,4,72,0,1,154,2,1,0,0,0,0,10,3,0,0,3,0,0,0,2,0,0,1,0,2,0,0,3,2,1,0,0,0,0,0,1,8,0,16,0,0,0,2,0,39,0,3,0,1,0,1,0,0,1,0,0,54,0,0,0,0,0,35,0,14,23,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,8,33,2,10
112,228,0,4,1,0,2,28,3,15,1,5,5,0,3,1,9,7,0,1,69,0,0,0,0,78,38,3,1,1,2,1,2,78,0,3,173,0,6,0,0,0,0,10,1,0,1,2,0,0,0,4,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,13,0,11,2,0,0,7,0,19,0,1,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,58,0,11,4,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,2,22,9,5
120,249,0,4,2,0,1,37,1,21,2,1,13,0,4,4,11,9,2,1,49,0,0,0,0,66,19,5,1,0,4,8,2,74,0,0,162,0,6,0,0,0,0,17,4,0,5,10,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,0,8,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,23,0,0,3,0,0,48,1,7,3,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,2,9,3,5
128,269,0,3,4,2,2,26,0,16,0,3,9,0,4,3,8,8,0,0,71,0,0,0,0,55,29,1,1,0,2,2,1,65,0,1,165,1,2,0,0,0,0,8,0,0,0,10,0,0,1,1,0,0,0,1,0,0,0,3,2,1,0,0,0,1,1,0,10,0,9,2,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,46,1,10,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,3,9,8,7
136,290,0,8,4,0,1,18,2,21,1,2,6,0,0,6,8,11,0,1,63,0,0,1,0,83,26,2,4,0,3,8,4,80,1,1,135,0,2,0,0,0,0,11,1,0,8,14,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,1,1,1,1,0,15,0,7,2,0,0,1,0,8,0,0,0,0,0,0,1,0,0,1,0,45,0,0,0,0,0,51,1,8,8,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,2,7,3,6
144,327,1,6,2,1,1,17,2,15,2,4,2,1,5,10,4,14,0,2,56,0,0,0,0,44,26,2,0,0,3,11,3,69,2,1,213,0,3,0,0,0,0,16,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,2,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,39,2,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,5,4,3
152,382,0,9,7,1,2,39,1,30,1,2,3,0,3,4,6,16,1,3,49,1,0,0,0,34,20,4,3,0,2,11,3,91,0,0,203,1,4,0,0,0,0,16,3,0,2,2,2,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,18,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,39,0,13,2,0,0,0,0,0,1,0,0,0,0,0,11,0,2,1,3,8,13,6
160,437,0,11,8,1,2,28,0,18,2,0,2,0,7,8,6,8,2,0,41,1,0,1,0,33,29,3,3,0,2,7,7,80,0,0,198,0,3,1,1,0,1,12,1,1,3,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,2,0,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,1,23,0,0,0,1,0,42,1,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,7,9,4
168,492,0,5,4,1,4,23,2,20,1,4,6,0,5,4,4,12,1,5,40,1,0,0,0,38,20,6,2,0,3,15,4,65,2,1,229,0,2,0,0,0,0,12,0,0,4,2,2,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,15,0,4,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,9,35,0,18,3,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,1,5,2,2
176,547,1,3,8,1,3,36,1,17,2,0,0,0,2,2,1,12,1,3,28,0,0,1,0,24,29,4,3,0,2,5,2,68,1,0,199,0,3,0,0,0,0,17,1,0,0,6,4,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,29,0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,32,0,14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1
184,651,0,2,2,1,1,35,0,21,3,2,7,0,1,8,1,23,3,5,35,1,0,1,0,17,10,2,2,0,3,5,3,52,0,2,228,0,0,0,0,0,0,14,1,1,2,7,2,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,16,0,3,0,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,17,0,14,3,0,0,0,0,0,1,0,0,2,0,0,3,0,4,1,0,8,7,5
192,785,1,3,2,3,3,43,1,26,1,1,1,0,2,5,2,22,0,5,36,0,0,1,0,32,14,4,0,0,7,4,1,44,0,0,244,0,1,0,0,0,0,19,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,2,0,1,0,0,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,21,0,13,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,11,1,4
200,919,0,5,5,0,2,53,1,36,0,0,0,0,5,11,4,11,0,3,33,0,0,1,0,28,12,2,2,0,0,1,2,34,0,0,243,0,5,0,0,0,1,18,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,33,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,15,5
208,1053,1,3,5,1,4,36,0,29,1,1,2,0,1,7,4,17,1,4,43,0,0,0,0,28,7,0,2,0,3,3,2,24,1,0,235,0,5,0,0,0,0,17,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,1
216,1187,0,2,3,0,1,35,0,22,1,0,4,0,0,4,1,23,4,0,58,0,0,0,0,41,13,5,1,0,1,1,0,34,1,0,221,0,1,0,0,0,0,14,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,2
224,1330,1,4,4,2,7,28,0,35,0,1,2,0,0,1,2,27,2,2,58,1,0,0,0,18,16,8,2,0,0,1,5,40,1,0,240,0,1,0,0,0,0,25,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
232,1480,0,9,1,3,1,24,1,41,0,1,0,0,0,1,2,22,1,0,62,1,0,0,0,22,14,0,0,0,1,3,1,27,0,0,238,0,2,0,1,0,0,15,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
240,1629,0,4,4,0,2,33,1,28,0,5,3,0,4,2,2,12,3,4,101,0,0,0,0,19,12,0,0,0,2,4,2,49,0,2,199,0,1,0,0,0,1,11,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
248,1778,0,12,1,2,2,43,0,32,0,3,2,0,6,3,2,22,0,4,129,0,0,1,0,23,14,7,0,0,2,5,4,34,0,0,215,0,2,0,0,0,0,22,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,6,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,24,0,20,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,2
256,1927,0,7,5,3,1,43,0,37,1,0,0,0,2,6,1,10,1,0,116,0,0,0,0,11,17,3,1,0,2,5,2,42,1,0,224,0,0,0,0,0,0,13,5,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,10,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4
264,2076,0,6,4,0,1,43,3,44,0,1,3,0,5,3,2,25,0,6,110,0,0,0,0,25,11,0,0,0,0,4,3,38,2,0,181,0,2,0,0,0,0,23,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,3,0
272,NA,0,6,2,0,3,39,1,43,0,1,1,0,2,4,1,27,2,1,93,0,2,1,0,20,11,5,0,0,1,9,1,41,1,0,180,1,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,14,3,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,5
280,NA,0,2,6,1,3,40,0,25,1,2,1,0,5,2,0,28,0,3,94,0,0,1,0,22,6,2,1,1,0,9,3,60,0,1,177,0,1,0,0,0,0,15,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,18,0,9,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,1,0,2
288,NA,0,2,10,0,2,35,0,47,0,1,2,0,6,3,3,25,0,0,80,0,0,1,0,19,18,6,0,0,1,8,3,56,1,0,151,0,1,0,0,0,0,24,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4,0
296,NA,0,4,5,0,7,31,2,33,0,3,3,0,11,5,2,21,1,2,84,0,0,0,0,16,11,5,0,0,2,2,3,41,1,0,181,0,1,0,0,0,0,15,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,1,15,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2
304,NA,0,2,5,0,2,36,0,33,3,3,2,0,0,5,1,16,1,1,92,1,0,1,0,18,21,6,1,0,1,8,9,51,1,2,169,0,1,0,0,0,0,18,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2
