"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Picea","Quercus","Thalictrum","Alnus","Myrica","Pinus","Populus","Poaceae","Ericales","Juniperus","cf..Myrica","Galium","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nemopanthus","Rosaceae.undiff.","Epilobium","Fagus","Ulmus","Salix","Taxus","Corylus","Viburnum","Carpinus","Fraxinus","Rumex.type","Acer","Urticaceae","Crataegus","Caryophyllaceae","Amaranthaceae","Brassicaceae","Ranunculaceae.undiff.","Juglans","Oxyria.digyna"
5,130,0.0740740740740741,0.29320987654321,0.00308641975308642,0.364197530864198,0.00308641975308642,0.00308641975308642,0.123456790123457,0.0123456790123457,0.080246913580247,0.00308641975308642,0.00308641975308642,0.00617283950617284,0.00617283950617284,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,451,0.0640243902439024,0.225609756097561,0.0213414634146341,0.323170731707317,0,0,0.189024390243902,0.024390243902439,0.0945121951219512,0.0121951219512195,0.00914634146341463,0.00609756097560976,0,0.024390243902439,0.00304878048780488,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,932,0.0381231671554252,0.219941348973607,0.00879765395894428,0.357771260997067,0.00293255131964809,0.00293255131964809,0.167155425219941,0.00586510263929619,0.152492668621701,0,0.00879765395894428,0.00879765395894428,0,0.0175953079178886,0,0,0.00293255131964809,0.00293255131964809,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1574,0.0379746835443038,0.310126582278481,0.00949367088607595,0.322784810126582,0.00316455696202532,0,0.237341772151899,0.0221518987341772,0.0379746835443038,0,0.00949367088607595,0,0,0.00949367088607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2216,0.0344827586206897,0.369905956112853,0.00940438871473354,0.19435736677116,0,0,0.272727272727273,0.0188087774294671,0.0501567398119122,0.00626959247648903,0.00626959247648903,0,0.00626959247648903,0.0219435736677116,0,0,0,0,0,0.00313479623824451,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2858,0.0349206349206349,0.428571428571429,0.00952380952380952,0.241269841269841,0,0,0.13015873015873,0.00952380952380952,0.126984126984127,0,0,0,0,0.0126984126984127,0,0,0,0,0,0,0,0,0.00317460317460317,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3500,0.0784313725490196,0.408496732026144,0.00326797385620915,0.271241830065359,0,0,0.088235294117647,0.00326797385620915,0.120915032679739,0,0.00326797385620915,0.00326797385620915,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3821,0.0741839762611276,0.356083086053412,0.0118694362017804,0.359050445103858,0.0029673590504451,0,0.0949554896142433,0.00593471810089021,0.0652818991097923,0,0,0.0029673590504451,0.0029673590504451,0.0148367952522255,0,0,0,0,0.0029673590504451,0,0,0,0,0.00593471810089021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4142,0.0159744408945687,0.469648562300319,0.00958466453674121,0.159744408945687,0.00319488817891374,0,0.242811501597444,0.0191693290734824,0.0319488817891374,0,0.00319488817891374,0.00638977635782748,0.00638977635782748,0.012779552715655,0,0.00319488817891374,0,0,0,0,0,0,0,0.00638977635782748,0.00319488817891374,0.00319488817891374,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0
150,4784,0.0516129032258065,0.451612903225806,0,0.348387096774194,0.0032258064516129,0,0.0967741935483871,0.0032258064516129,0.0387096774193548,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0
170,5426,0.06,0.431428571428571,0.00571428571428571,0.211428571428571,0,0,0.211428571428571,0.00857142857142857,0.0457142857142857,0.00285714285714286,0.00285714285714286,0,0.00285714285714286,0.0114285714285714,0,0,0,0,0.00285714285714286,0,0,0,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5747,0.025974025974026,0.477272727272727,0.00324675324675325,0.159090909090909,0.00324675324675325,0,0.188311688311688,0.0064935064935065,0.0974025974025974,0.00324675324675325,0,0,0,0.0324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0
190,6068,0.065359477124183,0.473856209150327,0.00326797385620915,0.15359477124183,0.00326797385620915,0,0.19281045751634,0.0065359477124183,0.065359477124183,0,0,0,0,0.0196078431372549,0,0.0065359477124183,0,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0
200,6389,0.100244498777506,0.403422982885086,0.00244498777506112,0.317848410757946,0,0,0.0513447432762836,0.0146699266503667,0.078239608801956,0,0,0,0,0.019559902200489,0,0,0,0,0.0097799511002445,0,0,0,0,0,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0
210,6710,0.120689655172414,0.422413793103448,0,0.21264367816092,0,0,0.0862068965517241,0.014367816091954,0.129310344827586,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6871,0.0585365853658537,0.334146341463415,0,0.190243902439024,0,0,0.0804878048780488,0.0097560975609756,0.263414634146341,0.0048780487804878,0,0,0.0024390243902439,0.0390243902439024,0,0.0024390243902439,0,0,0,0,0,0.0024390243902439,0.0048780487804878,0,0.00731707317073171,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7031,0.0303951367781155,0.562310030395137,0,0.103343465045593,0.00303951367781155,0,0.106382978723404,0.00303951367781155,0.148936170212766,0,0,0,0.00303951367781155,0.0243161094224924,0,0,0,0,0,0,0,0,0.00303951367781155,0.00303951367781155,0,0,0,0,0,0.00303951367781155,0.00303951367781155,0.00303951367781155,0,0,0,0,0,0
225,7192,0.0565371024734982,0.50530035335689,0,0.166077738515901,0.00353356890459364,0,0.0795053003533569,0.0176678445229682,0.098939929328622,0.00706713780918728,0,0,0.0123674911660777,0.0265017667844523,0,0.00176678445229682,0,0,0,0,0,0.00176678445229682,0.00353356890459364,0.00706713780918728,0.0106007067137809,0,0,0,0,0,0,0,0.00176678445229682,0,0,0,0,0
