"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Apiaceae","Alnus","Acer","Fraxinus","Juglans","Populus","Poaceae","Urticaceae","Plantago","Rosaceae","Rhamnaceae.Vitaceae","Fabaceae.undiff.","Morus","Thalictrum","Caprifoliaceae","Iva","Herbs.undiff.","Rhus","Sarcobatus.vermiculatus","Larix","Abies","Castanea","Ilex","Liquidambar","Amorpha.type","Ephedra","Ericaceae","Cornus"
0.5,NA,516,153,5,16,4,10,2,13,4,3,12,11,1,5,1,5,6,20,1,172,2,1,1,1,13,2,5,5,7,5,1,24,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,756,230,6,22,0,10,0,15,4,0,12,9,0,5,2,4,8,27,0,275,5,1,2,1,20,1,1,5,19,3,4,54,2,0,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
9,NA,597,182,2,25,0,9,0,10,1,2,12,14,1,5,1,3,14,29,0,183,6,1,3,1,19,0,8,2,6,5,2,40,5,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
16,NA,515,101,6,16,0,9,0,8,3,2,6,13,0,5,1,3,21,23,3,210,2,1,2,2,19,0,6,1,8,4,0,33,2,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
19.5,NA,625,77,12,33,1,8,0,4,7,0,2,6,0,6,0,7,18,38,4,305,1,7,2,7,18,0,4,5,7,2,8,28,0,0,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22.5,NA,524,32,8,19,0,6,2,3,5,2,17,16,0,9,1,5,33,34,5,259,0,2,0,1,9,0,11,1,17,1,6,11,2,0,1,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
31,NA,1209,49,15,60,1,23,0,9,16,3,19,39,8,28,3,12,58,92,8,601,0,4,2,6,18,0,20,12,38,12,18,25,2,0,0,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0
39,NA,514,32,4,24,1,10,0,6,5,1,2,7,1,7,1,6,20,37,9,261,0,6,1,6,11,0,6,4,7,5,7,18,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,2,1,0,0,0,0
46.5,NA,567,32,7,29,0,14,0,0,7,2,11,15,1,7,0,4,38,35,3,287,0,4,1,4,10,0,11,2,16,4,0,16,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0
54.5,NA,523,8,9,29,0,9,0,2,2,1,6,5,3,6,0,4,28,37,4,303,0,0,0,4,8,0,8,3,14,6,2,18,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,NA,696,41,9,34,0,19,1,6,3,4,10,18,1,9,2,11,33,45,8,348,2,5,3,2,13,0,7,5,12,6,2,28,1,0,1,1,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0
