"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Drosera","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago.lanceolata.type","Plantago.major","Poaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.lentago","Viburnum.nudum","Zea.mays"
75,2070,5,0,1,0,8,0,4,1,0,2,0,0,0,155,0,0,1,0,0,0,0,0,1,2,0,0,0,9,0,28,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,2,2,0,41,15,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,3,79,0,0,10,1,0,0,0,0,0
80,2279,5,0,1,0,12,0,3,6,1,0,1,0,0,208,0,0,0,0,0,2,0,0,2,0,0,0,0,25,0,79,0,4,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,4,6,29,0,48,39,0,0,1,0,0,1,0,1,11,0,0,0,0,1,0,0,0,0,4,0,0,8,73,0,0,19,0,1,3,0,0,0
90,2698,4,1,1,0,14,0,9,2,0,0,1,0,0,196,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,69,0,14,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,2,7,3,21,0,72,24,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,4,72,0,0,14,0,2,5,0,0,0
100,3037,1,0,0,0,9,0,3,0,0,0,0,0,0,151,0,0,0,0,0,1,0,0,1,1,0,0,0,9,0,29,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,8,1,91,43,0,0,0,0,0,1,0,0,10,0,0,1,1,0,1,0,0,0,127,0,0,2,24,0,0,4,0,0,0,0,0,0
110,3299,4,0,1,0,20,0,10,0,0,0,1,0,0,205,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,54,0,11,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,13,1,0,0,84,62,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,2,32,0,0,20,0,0,0,0,0,0
120,3560,5,0,0,0,8,0,8,0,1,1,0,0,0,186,0,0,0,0,0,0,0,0,0,19,0,0,0,29,0,52,0,15,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,97,48,0,0,2,0,0,1,0,0,22,0,0,1,0,0,0,0,0,0,9,0,1,2,27,0,0,9,0,1,1,0,0,0
125,3691,1,1,1,0,17,0,7,4,1,2,1,1,0,158,0,0,1,0,0,0,0,0,0,13,0,0,0,19,0,26,0,10,1,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,10,1,11,0,146,41,0,0,1,0,3,3,0,0,28,0,0,0,0,0,1,0,0,0,20,0,0,3,28,0,6,13,1,3,12,0,0,0
130,3822,4,0,0,0,9,0,8,0,0,0,4,0,0,194,0,0,3,0,0,0,0,0,0,31,0,0,0,1,0,42,0,12,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,132,65,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,47,0,0,2,4,0,0,17,0,1,2,0,0,0
140,4083,1,0,2,0,15,0,11,1,0,2,2,0,0,154,0,0,5,0,0,0,0,0,0,21,0,0,0,1,0,15,0,14,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,88,55,0,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,81,0,0,5,11,0,0,15,0,3,16,0,0,0
150,4344,1,0,0,0,12,0,8,2,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,48,0,0,0,2,0,55,0,15,7,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,3,1,14,7,104,18,0,0,1,0,1,1,0,0,15,0,0,1,0,0,1,0,0,0,25,0,0,0,9,0,0,12,1,1,0,0,0,0
