"sample.depths","sample.ages","Abies","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Diapensia.lapponica","Corylus.cornuta","Cyperaceae","Dalea","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga.stellaris.type","Sedum","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum"
0,0,0,0,0,0,0,15,145,1,4,6,0,0,63,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,1,0,0,1,0,4,3,5,0,1,0,1,0,0,0,3,0,0,0,1,141,27,80,2,15,3,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,1,4,0,0
12,383,0,0,0,0,0,19,266,1,0,2,0,0,55,0,0,0,0,0,2,2,0,0,0,0,0,8,0,0,1,1,0,0,2,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,4,97,23,81,10,14,5,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0
25,797,0,0,0,0,0,29,231,1,0,8,0,0,82,1,0,0,1,0,3,8,0,0,0,0,0,7,0,1,4,0,0,0,7,0,1,0,5,0,2,1,11,0,0,0,4,1,0,0,4,163,58,97,22,47,6,0,0,3,0,0,0,4,1,0,0,0,0,0,1,0,1,0,1,0,42,0,1,1,0,0,2,0,0,4,0,0
37,1179,0,0,2,0,0,11,213,0,0,4,2,0,61,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,1,0,2,1,3,0,0,1,1,0,3,0,8,0,0,0,4,0,0,0,4,104,44,82,8,26,5,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,1,0,1,3,0,0
50,1594,2,0,0,0,0,14,190,0,1,3,2,0,71,0,0,1,0,0,1,11,0,0,0,0,0,3,0,0,1,0,0,0,12,0,1,3,4,0,1,0,3,0,0,0,3,0,0,0,2,120,36,100,4,23,4,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0
62,1976,0,0,0,0,0,14,147,0,3,4,0,0,53,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,12,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,4,89,36,84,9,18,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0
75,2391,0,0,0,0,0,23,181,0,0,3,2,0,86,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,0,21,0,2,2,5,0,3,0,1,0,0,0,4,0,0,1,4,105,39,43,2,22,4,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,1,0,1,2,0,0
87,2773,0,3,0,0,1,19,227,1,0,4,1,0,63,0,0,0,0,0,2,1,0,0,0,0,0,5,0,1,2,0,0,0,8,0,0,0,1,0,1,1,3,0,0,0,2,1,0,0,0,93,28,48,3,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
100,3187,0,2,0,0,0,24,213,0,1,5,2,0,77,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,1,0,0,0,10,0,1,0,3,0,1,0,4,0,0,0,3,0,0,0,5,114,44,42,2,15,3,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,2,1,0,0,0,0
112,3570,0,6,0,0,1,26,338,0,1,4,2,0,205,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,5,0,4,0,2,0,2,0,5,0,0,0,2,1,0,0,0,207,36,43,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0
