"sample.depths","sample.ages","Acer.negundo","Artemisia","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Iva.annua.type","Cyperaceae","Poaceae.undiff.","Iva.xanthifolia.type","Platanus","Quercus","Sarcobatus.vermiculatus","Ulmus","Apiaceae","Ambrosia","Juniperus.type","Juglans","Pinus","Populus","Brassicaceae","Betula","Cephalanthus","Corylus","Ephedra.trifurca.type","Ostrya.Carpinus","Picea","Rumex","Salix","Urtica.type","Vitis","Xanthium","Zea.mays","Alnus","Humulus.Cannabis.sativa","Fraxinus","Avena.type","Cerealia.undiff.","Plantago","Verbena","Acer.nigrum","Euphorbia.subg..Chamaesyce.type","Caprifoliaceae.undiff.","Geum.type","Cornus","Acer.undiff.","Rhus","Tilia","Rosaceae.undiff.","Amorpha","Trifolium.type","Pinaceae.undiff.","Shepherdia.argentea","Liliaceae.undiff.","Mentha.type","Cuscuta","Ephedra.viridis.type","Lamiaceae.undiff.","Dalea","Rubiaceae.undiff.","Thalictrum","Primula","Alternanthera","Abies","Caltha.type","Pedicularis","Phlox","Stachys.type","Rhamnus","Boraginaceae","Araceae","Lythrum","Larix","Sanguisorba.canadensis","Filipendula.rubra","Caryophyllaceae","Tidestromia","Ranunculus.type","Scrophulariaceae.undiff.","Lilium","Polygonella","Epilobium","Gaura","Campanula","Solanum","Impatiens","Fabaceae.undiff.","Lonicera","Castanea","Potentilla.type","Parthenocissus","Polemonium","Polygonum.persicaria.type","Valeriana"
23,58,0.00216919739696312,0.00650759219088937,0.00216919739696312,0.00433839479392625,0.130151843817787,0.017353579175705,0.0151843817787419,0.321041214750542,0.0672451193058568,0.00650759219088937,0.0086767895878525,0.0563991323210412,0.00216919739696312,0.0086767895878525,0.00433839479392625,0.295010845986985,0.00216919739696312,0.0086767895878525,0.017353579175705,0.0086767895878525,0.0151843817787419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,70,0.00139082058414465,0.00139082058414465,0.00278164116828929,0.00139082058414465,0.0945757997218359,0.0208623087621697,0.0305980528511822,0.296244784422809,0.0778859527121001,0.00139082058414465,0.00139082058414465,0.0389429763560501,0,0.0139082058414465,0,0.354659248956885,0.00139082058414465,0.00973574408901252,0.00834492350486787,0,0.00417246175243394,0.00139082058414465,0.00139082058414465,0.00139082058414465,0.00139082058414465,0.00278164116828929,0.00139082058414465,0.00139082058414465,0.00278164116828929,0.00278164116828929,0.00139082058414465,0.00417246175243394,0.00139082058414465,0.00139082058414465,0.00278164116828929,0.00139082058414465,0.00278164116828929,0.00139082058414465,0.00139082058414465,0.00139082058414465,0.00139082058414465,0.00139082058414465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,83,0.00498753117206983,0.00498753117206983,0.00249376558603491,0,0.112219451371571,0.0199501246882793,0.0224438902743142,0.339152119700748,0.0723192019950125,0,0,0.00997506234413965,0,0.00498753117206983,0,0.344139650872818,0.00498753117206983,0.00498753117206983,0.00997506234413965,0,0.0249376558603491,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0,0,0,0,0.00249376558603491,0.00249376558603491,0,0,0.00249376558603491,0.00249376558603491,0.00249376558603491,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,95,0.0030060120240481,0.00100200400801603,0,0,0.103206412825651,0.0601202404809619,0.00601202404809619,0.603206412825651,0.0340681362725451,0,0.00100200400801603,0.0100200400801603,0,0.00901803607214429,0,0.112224448897796,0.00701402805611222,0.00200400801603206,0.0100200400801603,0,0.0160320641282565,0,0,0,0,0,0,0.00100200400801603,0.00701402805611222,0.00501002004008016,0,0,0,0,0,0.00100200400801603,0,0.00200400801603206,0,0,0,0,0,0,0,0.00100200400801603,0.00100200400801603,0.00100200400801603,0.00100200400801603,0.00100200400801603,0.00100200400801603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,493,0.00399201596806387,0,0.0179640718562874,0,0.0558882235528942,0.0738522954091816,0,0.500998003992016,0.0479041916167665,0,0,0.0459081836327345,0,0.0139720558882236,0.0139720558882236,0.0978043912175649,0,0.00598802395209581,0.0439121756487026,0,0.029940119760479,0,0,0.00199600798403194,0,0,0.00199600798403194,0,0.00199600798403194,0.00399201596806387,0,0,0,0,0,0.0159680638722555,0,0,0.00199600798403194,0,0.00598802395209581,0,0,0,0,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00399201596806387,0,0,0.00199600798403194,0.00199600798403194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,834,0.00790513833992095,0.0138339920948617,0.0118577075098814,0,0.00395256916996047,0.0632411067193676,0.00197628458498024,0.571146245059289,0.0454545454545455,0.00197628458498024,0.0217391304347826,0.0573122529644269,0,0.00790513833992095,0.00988142292490119,0.0849802371541502,0.00395256916996047,0.0177865612648221,0.0355731225296443,0,0.00592885375494071,0,0.00197628458498024,0.00197628458498024,0,0,0.00197628458498024,0,0.00197628458498024,0.00197628458498024,0.00197628458498024,0.00197628458498024,0,0,0,0.0118577075098814,0,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0.00197628458498024,0,0,0,0.00197628458498024,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1175,0.0029806259314456,0.00894187779433681,0.0014903129657228,0,0.0104321907600596,0.0447093889716841,0.0029806259314456,0.628912071535022,0.0536512667660209,0.0014903129657228,0.00596125186289121,0.0342771982116244,0,0.00447093889716841,0.0178837555886736,0.0819672131147541,0.0014903129657228,0.0119225037257824,0.03725782414307,0,0.0029806259314456,0,0.0014903129657228,0.0014903129657228,0.0014903129657228,0.0014903129657228,0.0029806259314456,0.0014903129657228,0.00894187779433681,0.0014903129657228,0,0,0,0,0,0.00745156482861401,0.0029806259314456,0,0,0.0014903129657228,0,0,0,0,0,0,0,0,0.0014903129657228,0.0014903129657228,0.0014903129657228,0,0,0.0014903129657228,0,0.0014903129657228,0.0014903129657228,0.0029806259314456,0.0014903129657228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5184,0.0048780487804878,0.0195121951219512,0.0024390243902439,0,0.0463414634146341,0.139024390243902,0.0097560975609756,0.353658536585366,0.075609756097561,0.0024390243902439,0.0048780487804878,0.024390243902439,0,0.0048780487804878,0.0414634146341463,0.11219512195122,0.0048780487804878,0,0.0439024390243902,0,0.0560975609756098,0,0.0024390243902439,0,0.0048780487804878,0.0048780487804878,0,0,0,0.0097560975609756,0,0,0,0,0,0,0,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0.0024390243902439,0,0,0.00731707317073171,0.0024390243902439,0.0024390243902439,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,5611,0.00228310502283105,0.00684931506849315,0.00228310502283105,0,0.047945205479452,0.111872146118721,0.0251141552511416,0.4337899543379,0.08675799086758,0.00228310502283105,0,0.0136986301369863,0,0,0.0159817351598174,0.10958904109589,0.00684931506849315,0,0.0273972602739726,0,0.0570776255707763,0.00228310502283105,0,0,0.00228310502283105,0.00228310502283105,0,0,0.0114155251141553,0,0,0,0,0,0,0.0091324200913242,0,0,0,0.00228310502283105,0,0,0,0,0,0,0,0,0,0.00684931506849315,0,0.00228310502283105,0,0.00228310502283105,0,0.00228310502283105,0,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,6043,0,0.0169902912621359,0,0,0.0970873786407767,0.109223300970874,0.0121359223300971,0.252427184466019,0.0679611650485437,0,0,0.00728155339805825,0,0.00242718446601942,0.00728155339805825,0.315533980582524,0.00970873786407767,0,0.0121359223300971,0,0.029126213592233,0.00242718446601942,0.00242718446601942,0,0,0,0.00242718446601942,0,0.0121359223300971,0,0,0.00242718446601942,0,0,0,0.0121359223300971,0,0,0,0.00242718446601942,0.00728155339805825,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0.00728155339805825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
