"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.saccharinum.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Ulmus","Populus","Poaceae","Plantago","Acer.rubrum","Acer.undiff.","Tilia","Tsuga","Vitis","Rosaceae.undiff.","Corylus","Sambucus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Myricaceae","Picea","Rubus","Liquidambar","Cornus","Ericaceae","Thalictrum","Viburnum","Lamiaceae","Dalea","Apiaceae","Celtis","Pinaceae.undiff.","Alnus.incana.type","Alnus.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Pinus.subg..Pinus","Pinus.subg..Strobus","Iva","Urtica.type","Abies","Polygonum","Sarcobatus.vermiculatus"
0,1,301,4,1,3,59,3,32,10,5,4,2,1,12,2,18,13,7,68,10,22,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,36,306,6,0,4,84,1,31,2,4,3,1,0,9,4,13,11,0,81,3,18,2,17,0,3,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,71,302,6,0,4,34,5,27,5,0,3,4,9,16,3,17,10,4,99,2,17,0,24,0,1,0,3,1,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,84,241,5,0,5,13,4,14,6,1,0,3,7,9,0,19,7,0,116,1,13,1,9,0,1,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,217,300,2,0,6,4,2,23,6,0,2,0,6,6,0,34,16,3,151,1,18,1,10,0,0,2,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,301,299,9,0,7,6,1,23,4,0,0,3,6,19,1,38,9,5,126,1,19,1,8,0,1,0,4,2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,375,302,5,0,3,5,3,36,3,1,0,3,3,15,0,43,7,0,136,0,21,0,7,0,1,1,1,0,0,0,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,639,306,6,0,6,4,5,24,6,0,2,1,6,11,2,26,18,3,149,4,13,1,8,0,0,0,4,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,903,319,4,0,4,7,2,38,4,2,2,1,2,14,3,14,12,1,189,2,6,0,5,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1167,315,0,2,5,4,8,24,2,0,3,3,4,11,9,9,19,2,173,1,10,4,12,0,0,0,0,1,0,0,0,0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1431,318,5,0,8,9,3,17,10,2,4,2,3,11,8,19,18,4,138,7,10,0,24,0,0,0,1,5,2,0,1,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1695,299,3,0,2,5,3,26,5,0,2,10,4,11,2,12,12,3,172,1,10,1,7,0,0,0,0,3,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1959,305,7,0,7,7,1,29,9,0,5,5,7,15,5,11,7,6,143,0,13,4,10,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2091,303,5,0,5,3,2,24,9,3,4,13,6,12,0,13,8,5,137,5,27,1,11,0,1,0,1,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2222,296,11,0,3,3,3,23,6,3,1,6,16,14,1,29,10,3,128,0,19,0,1,0,0,0,3,3,0,0,2,0,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2354,303,4,0,8,4,3,17,7,0,1,4,15,14,2,24,12,5,139,1,25,3,2,0,0,0,3,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2583,267,3,0,5,3,3,16,9,2,3,4,2,12,6,10,9,4,142,0,14,2,5,0,0,0,5,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,3099,302,11,0,4,3,2,15,3,2,0,7,1,14,1,27,12,0,153,2,25,0,11,0,0,0,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,3616,297,14,0,3,4,3,13,3,0,5,4,3,24,3,23,6,1,159,2,10,1,6,0,0,0,3,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,4133,312,9,0,2,2,4,20,5,1,1,7,7,27,2,33,10,4,117,0,28,1,4,0,0,0,8,2,0,0,0,0,2,13,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,4650,303,5,0,4,5,0,6,18,0,2,6,2,6,1,13,13,1,183,2,19,3,6,0,0,0,2,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,5166,299,4,0,3,8,7,9,7,2,0,4,3,6,0,10,19,3,156,4,14,4,21,0,1,0,1,0,0,0,2,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,5420,297,1,0,5,8,10,15,6,1,2,8,1,6,1,8,33,1,141,6,13,1,14,0,0,0,3,0,0,0,1,1,5,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,5781,305,2,0,7,4,2,6,3,2,1,7,1,5,0,12,32,5,173,3,10,3,15,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
464,5961,298,4,0,7,9,6,6,4,2,1,7,5,7,0,13,20,6,148,5,21,1,13,0,0,0,5,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6141,298,5,0,3,4,1,7,0,3,1,14,4,16,0,23,29,1,133,5,20,1,12,0,2,0,2,0,0,0,1,0,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,6321,286,6,0,5,5,5,5,4,1,0,4,3,14,0,16,16,4,172,2,11,1,2,0,0,0,2,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,6501,302,8,0,1,9,6,11,1,1,2,2,2,14,0,9,22,3,162,3,28,1,8,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
528,6682,302,14,0,2,4,4,2,3,0,1,2,1,11,0,17,21,4,146,1,51,0,10,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
544,6862,302,17,1,3,6,0,6,5,1,4,3,2,8,1,24,27,5,126,0,40,6,5,0,0,0,2,0,0,0,5,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,7042,306,6,0,1,3,6,2,7,1,1,2,3,18,0,24,15,2,144,2,49,0,3,0,0,3,4,0,0,0,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
568,7289,308,8,0,2,7,1,2,6,1,3,3,2,6,0,36,15,2,139,1,44,1,1,0,0,0,5,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,3,1,3,1,0,0,0,0
576,7536,301,8,0,7,13,4,16,6,5,0,3,0,9,0,20,30,3,118,1,37,0,5,0,1,1,3,0,1,0,2,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,7875,313,15,1,4,14,3,4,3,4,5,3,0,3,0,30,38,2,115,2,18,0,13,0,0,0,4,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,3,4,1,11,0,0,0,0,0
592,8030,301,6,0,2,13,5,17,5,5,4,0,0,10,0,41,43,2,81,7,43,1,4,0,0,0,5,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,8523,308,11,0,2,6,1,12,4,2,2,3,0,7,3,19,85,6,88,0,28,0,8,0,0,0,8,0,0,0,3,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
