"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Lycopodium.type","Myrica","Picea","Pinus","Poaceae","Quercus","Rosaceae","Rumex","Salix","Shepherdia","Thalictrum","Tsuga","Ulmus","Unknown"
0,0,2,2,18,0,2,1,0,0,1,41,0,2,1,1,1,0,0,1,0,10,4,4,4,1,1,0,0,0,0,0,1
10,303,3,2,16,0,0,1,0,1,0,39,0,1,1,2,0,0,0,0,1,13,9,1,2,0,0,0,0,0,6,0,0
20,507,2,0,8,0,0,2,0,1,0,48,0,2,2,3,0,0,0,0,2,12,7,1,2,0,0,0,0,0,6,1,1
30,710,2,2,7,0,0,0,0,0,0,52,0,2,2,1,0,0,0,0,0,11,9,1,2,1,0,0,0,0,7,1,0
40,914,1,1,5,0,0,1,0,0,0,47,0,3,4,3,1,0,0,0,0,13,13,0,1,0,0,0,0,0,6,1,1
100,2138,0,3,7,0,0,2,0,0,0,53,0,2,1,0,1,0,0,0,0,7,10,0,2,0,1,0,0,0,6,1,1
110,2342,2,1,10,0,0,1,0,0,0,50,0,1,0,3,0,0,0,0,0,9,12,1,2,1,0,1,0,0,4,0,1
120,2546,5,2,5,0,0,1,0,0,0,48,0,2,0,3,1,1,0,1,0,6,13,0,5,1,0,0,0,0,5,1,0
130,2750,2,2,6,0,0,1,0,0,0,55,0,1,2,1,0,0,0,0,0,10,13,1,2,0,0,0,0,0,3,0,1
140,2954,1,1,3,0,0,1,0,0,0,47,0,2,1,4,1,0,1,0,1,9,14,1,7,0,0,0,0,0,4,0,1
150,3158,2,0,10,0,0,0,0,1,0,40,0,0,0,2,1,2,0,0,1,10,16,0,7,0,0,0,0,0,5,0,2
160,3362,2,2,10,0,0,3,0,1,0,46,0,1,1,2,1,2,0,0,0,7,14,1,2,0,1,0,0,0,5,1,1
170,3566,1,1,3,0,0,1,0,1,0,44,0,2,1,2,1,2,0,1,1,9,22,0,5,0,0,0,0,1,4,0,0
180,3770,0,5,6,1,0,1,0,1,0,45,0,2,1,3,1,1,0,0,1,6,11,1,8,0,0,0,0,0,3,0,2
190,3973,2,2,6,0,0,3,0,0,0,44,0,1,0,3,1,0,0,0,0,11,16,1,4,1,0,0,0,0,4,1,1
200,4177,2,1,10,0,0,2,0,1,0,38,0,1,1,3,0,2,0,0,0,14,13,0,4,0,0,0,0,1,3,1,1
210,4381,2,4,2,0,0,1,0,1,0,47,0,1,0,3,1,1,0,0,0,8,19,0,5,0,0,0,0,0,3,0,1
220,4585,3,1,10,0,0,3,0,1,0,37,0,3,1,1,0,1,0,0,0,5,25,1,5,0,0,0,0,0,1,1,1
230,4789,1,3,6,0,0,5,0,1,0,37,0,2,1,0,1,2,1,0,0,5,27,1,5,0,0,0,0,0,3,1,0
240,4993,2,1,6,0,1,3,0,1,0,39,0,2,0,0,1,0,0,0,0,11,20,1,4,0,0,0,0,0,4,0,3
250,5197,0,1,5,1,1,3,0,0,0,40,0,1,1,0,1,0,0,0,0,13,20,1,9,0,0,0,0,0,2,1,1
260,5449,1,3,13,0,0,3,0,0,0,34,0,5,1,1,2,0,0,1,1,4,14,1,4,0,0,0,0,0,11,1,1
270,5702,0,3,6,0,0,1,0,3,0,33,0,1,0,1,2,1,0,1,1,6,17,1,3,0,1,0,0,1,21,0,1
280,5954,0,4,14,0,0,3,0,0,0,27,0,1,0,0,2,1,0,0,0,7,30,0,5,0,0,1,0,0,16,0,1
300,6458,1,4,6,0,1,3,0,1,0,29,1,1,0,1,0,2,0,1,1,2,22,0,7,1,0,0,0,0,14,1,0
310,6710,1,1,1,0,0,5,0,1,0,25,0,1,1,1,1,0,0,0,0,15,25,0,7,0,1,0,0,0,7,1,1
320,6963,0,1,1,0,1,5,0,1,0,24,0,1,0,1,1,4,0,2,1,9,24,0,10,0,0,0,0,1,8,1,1
330,7215,0,1,5,0,0,2,0,0,0,17,0,1,1,0,2,2,0,1,0,4,45,1,8,0,0,0,0,0,13,1,1
340,7467,1,1,2,0,0,2,1,1,0,22,0,1,0,1,1,1,0,0,1,9,32,0,4,0,0,0,0,1,18,0,1
350,7719,1,1,2,0,0,1,0,1,0,16,0,3,0,0,1,1,0,1,1,6,46,1,8,0,0,0,0,0,11,1,1
360,7972,1,1,5,0,0,2,0,0,0,35,0,0,0,0,1,1,0,0,0,10,33,1,9,0,0,0,0,0,2,0,1
370,8273,0,0,3,0,0,1,0,1,0,22,0,2,1,0,1,1,0,0,0,3,44,1,13,1,0,0,0,1,6,1,1
400,9176,2,0,0,0,1,1,0,0,0,27,0,1,0,1,0,0,0,3,0,5,45,0,9,0,0,0,0,0,4,1,1
410,9477,1,0,4,0,0,0,0,0,0,30,0,1,1,0,1,2,0,1,0,10,43,0,7,0,0,0,0,0,1,0,1
420,9778,1,0,3,0,0,0,0,1,0,20,0,1,1,0,2,0,0,2,0,15,47,1,5,0,0,0,0,0,1,0,0
430,10079,1,0,4,0,0,0,0,1,0,53,0,1,0,0,1,0,0,3,0,12,15,1,3,0,0,0,0,2,0,0,0
440,10380,0,1,1,0,0,0,0,1,0,39,1,1,1,0,2,1,0,10,0,10,11,0,4,1,0,0,0,0,1,0,0
450,10681,1,0,2,0,0,0,0,0,0,31,0,2,1,0,1,2,0,23,0,6,8,2,2,0,0,1,0,0,1,0,1
460,10982,1,0,1,0,0,0,0,0,0,25,0,6,6,0,0,0,1,15,0,9,18,1,1,0,0,1,0,0,2,0,1
470,NA,0,0,1,0,1,0,0,0,0,13,0,5,0,0,0,1,0,20,0,6,9,1,1,0,0,1,0,0,0,0,1
480,NA,0,0,1,0,0,0,0,3,0,28,0,4,2,0,1,1,0,12,0,5,8,2,1,0,0,5,0,0,0,1,1
485,NA,0,0,1,0,0,0,0,2,0,31,0,2,2,0,0,1,0,25,0,5,4,3,2,0,0,1,0,0,0,0,1
500,NA,1,0,1,0,0,0,1,1,0,36,1,4,1,0,1,2,0,11,0,3,17,0,7,0,0,1,0,0,2,0,0
510,NA,0,0,0,0,0,0,1,0,0,17,1,15,3,0,0,4,0,10,0,7,17,2,5,0,0,6,0,0,0,0,1
530,NA,0,0,1,0,0,0,1,0,0,9,0,13,11,0,1,2,1,2,0,0,6,2,4,0,2,5,0,0,0,1,2
605,NA,0,0,7,0,0,4,1,1,0,45,0,1,2,0,0,2,0,1,0,4,19,1,11,0,0,1,0,0,0,0,1
632,NA,1,0,6,0,0,1,2,1,0,27,0,2,0,0,0,1,0,2,0,13,28,2,10,0,1,0,0,1,3,1,2
655,NA,0,1,4,0,1,2,1,1,0,48,1,1,2,0,1,1,0,3,1,5,19,1,7,0,0,0,0,0,1,1,2
680,NA,1,0,5,0,0,1,1,0,0,47,0,0,3,0,0,0,0,1,1,3,18,1,10,0,0,0,1,1,2,0,3
