"sample.depths","sample.ages","Carya","Cephalanthus","Asteraceae.undiff.","Fabaceae.undiff.","Quercus","Salix","Apiaceae","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonaceae","Iva","Aster","Casuarina","Hippocratea","Cupressaceae.Taxaceae","Justicia","Celtis","Ilex","Ulmus","Fraxinus","Ericaceae","Nyssa","Arecaceae","Sophora","Juglans","Alnus","Euphorbiaceae","Onagraceae","Ostrya.Carpinus","Liquidambar","Bursera.simaruba"
1,-38,0.00896860986547085,0.174887892376682,0.00448430493273543,0.0269058295964126,0.0493273542600897,0.00896860986547085,0.00448430493273543,0.0852017937219731,0.130044843049327,0.139013452914798,0.201793721973094,0.0582959641255605,0.00896860986547085,0.00896860986547085,0.00448430493273543,0.0493273542600897,0.031390134529148,0.00448430493273543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-24,0,0.25,0.024390243902439,0.0121951219512195,0.0792682926829268,0.00609756097560976,0.0121951219512195,0.0426829268292683,0.0670731707317073,0.182926829268293,0.164634146341463,0.0304878048780488,0.0121951219512195,0.0182926829268293,0,0.0182926829268293,0.0548780487804878,0,0.00609756097560976,0.0182926829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-10,0,0.0225988700564972,0.0564971751412429,0.0112994350282486,0.0508474576271186,0.00564971751412429,0,0.141242937853107,0.0621468926553672,0.231638418079096,0.293785310734463,0.0395480225988701,0.0282485875706215,0.00564971751412429,0.00564971751412429,0.0112994350282486,0.0112994350282486,0,0.00564971751412429,0,0.0112994350282486,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0.097560975609756,0,0.040650406504065,0.008130081300813,0,0.073170731707317,0.032520325203252,0.276422764227642,0.32520325203252,0.016260162601626,0.032520325203252,0.016260162601626,0,0.032520325203252,0.016260162601626,0,0.008130081300813,0,0,0.008130081300813,0.008130081300813,0.008130081300813,0,0,0,0,0,0,0,0,0,0,0
9,17,0,0,0.0223048327137546,0,0.00743494423791822,0,0,0.0631970260223048,0.159851301115242,0.133828996282528,0.520446096654275,0.0148698884758364,0.0223048327137546,0.0148698884758364,0,0.0408921933085502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,30,0,0,0.0139372822299652,0,0.00696864111498258,0,0,0.024390243902439,0.222996515679443,0.149825783972125,0.473867595818815,0.024390243902439,0.0209059233449477,0.0104529616724739,0,0.0383275261324042,0,0,0,0,0,0.00348432055749129,0,0,0.00348432055749129,0.00348432055749129,0.00348432055749129,0,0,0,0,0,0,0,0
13,43,0,0,0.014792899408284,0,0.00887573964497041,0,0,0.0325443786982249,0.227810650887574,0.133136094674556,0.541420118343195,0.00591715976331361,0.0029585798816568,0.00887573964497041,0.00591715976331361,0.0177514792899408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,82,0,0,0,0,0.0225563909774436,0,0,0.0075187969924812,0.218045112781955,0.360902255639098,0.357142857142857,0.0112781954887218,0.0037593984962406,0.0037593984962406,0.0037593984962406,0.0037593984962406,0,0,0.0037593984962406,0,0,0,0,0,0.0037593984962406,0,0,0,0,0,0,0,0,0,0
17,147,0,0,0,0.008,0.024,0,0.004,0,0.16,0.452,0.312,0.012,0,0,0.004,0.016,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0
21,277,0,0,0.0152671755725191,0.00763358778625954,0.0152671755725191,0,0,0.00763358778625954,0.0458015267175573,0.374045801526718,0.480916030534351,0,0.0152671755725191,0,0.00763358778625954,0.00763358778625954,0,0,0.00763358778625954,0,0,0,0,0,0.00763358778625954,0,0,0.00763358778625954,0,0,0,0,0,0,0
