"sample.depths","sample.ages","Carya","Cephalanthus","Asteraceae.undiff.","Fabaceae.undiff.","Quercus","Salix","Apiaceae","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonaceae","Iva","Aster","Casuarina","Hippocratea","Cupressaceae.Taxaceae","Justicia","Celtis","Ilex","Ulmus","Fraxinus","Ericaceae","Nyssa","Arecaceae","Sophora","Juglans","Alnus","Euphorbiaceae","Onagraceae","Ostrya.Carpinus","Liquidambar","Bursera.simaruba"
25,407,0,0,0,0,0.013953488372093,0,0,0,0.0976744186046512,0.232558139534884,0.637209302325581,0.00465116279069767,0,0,0.00465116279069767,0,0,0,0.00465116279069767,0,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,472,0,0,0.00819672131147541,0,0.0327868852459016,0,0,0.00819672131147541,0.0327868852459016,0.311475409836066,0.581967213114754,0,0,0,0.00819672131147541,0,0,0,0,0,0,0.00819672131147541,0,0,0,0,0,0,0.00819672131147541,0,0,0,0,0,0
29,536,0,0,0.0176991150442478,0,0.0088495575221239,0,0,0,0.0265486725663717,0.380530973451327,0.530973451327434,0,0.0088495575221239,0,0.0088495575221239,0.0088495575221239,0,0,0.0088495575221239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,601,0,0,0,0,0.00318471337579618,0.00318471337579618,0,0,0,0.089171974522293,0.898089171974522,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,723,0,0,0,0,0.0025974025974026,0,0,0.0025974025974026,0.00519480519480519,0.0831168831168831,0.898701298701299,0.00519480519480519,0,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,844,0.0034965034965035,0,0.006993006993007,0.0034965034965035,0.006993006993007,0,0,0.0034965034965035,0.020979020979021,0.311188811188811,0.576923076923077,0.013986013986014,0.006993006993007,0.013986013986014,0.006993006993007,0.006993006993007,0,0,0.0034965034965035,0.0034965034965035,0,0,0,0,0.0034965034965035,0,0,0,0,0.0034965034965035,0.0034965034965035,0,0,0,0
37,966,0,0,0,0,0.00671140939597315,0,0,0,0,0.164429530201342,0.795302013422819,0.0167785234899329,0.00335570469798658,0.00671140939597315,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335570469798658,0,0,0,0,0
39,1087,0,0,0,0,0.0142348754448399,0,0,0,0,0.106761565836299,0.871886120996441,0.00355871886120996,0,0.00355871886120996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1209,0,0,0.00352112676056338,0,0.0105633802816901,0,0,0,0.0105633802816901,0.447183098591549,0.503521126760563,0.00704225352112676,0,0.00352112676056338,0.00704225352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00352112676056338,0,0.00352112676056338,0,0,0
43,1330,0,0,0,0,0.0111111111111111,0,0,0.0037037037037037,0.0185185185185185,0.403703703703704,0.555555555555556,0,0,0,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0
45,1451,0,0,0,0,0.0197628458498024,0,0,0,0.0118577075098814,0.422924901185771,0.478260869565217,0.0158102766798419,0,0.0474308300395257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395256916996047,0,0
51,1816,0.00383141762452107,0,0,0,0.0114942528735632,0,0,0,0.0229885057471264,0.501915708812261,0.444444444444444,0.00383141762452107,0,0.00383141762452107,0,0,0,0,0,0,0,0,0.00383141762452107,0,0.00383141762452107,0,0,0,0,0,0,0,0,0,0
55,2013,0,0,0,0.0045662100456621,0.0228310502283105,0,0,0,0.0228310502283105,0.47945205479452,0.4337899543379,0.0045662100456621,0.0091324200913242,0.0091324200913242,0.0045662100456621,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0
61,2309,0.00392156862745098,0,0,0,0.0156862745098039,0,0,0,0.0392156862745098,0.43921568627451,0.474509803921569,0,0,0.00784313725490196,0.00392156862745098,0,0,0,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0.00392156862745098,0.00392156862745098
65,2506,0,0,0,0,0.00606060606060606,0,0,0,0.0121212121212121,0.696969696969697,0.272727272727273,0,0,0,0.00606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606060606060606,0,0,0,0,0
70,NA,0,0,0.00418410041841004,0,0.00836820083682008,0.00418410041841004,0,0,0.0125523012552301,0.598326359832636,0.359832635983264,0.00418410041841004,0,0,0.00418410041841004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418410041841004,0,0,0,0,0
