"sample.depths","sample.ages","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Salix","Taxodium","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Poaceae","Polygonum","Vigna","Osmunda","Nuphar","Potamogeton","Sagittaria","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-34,1,1,0,0,3,0,0,1,0,0,10,0,0,0,4,2,0,15,2,2,10,0,0,28,3,106,0,4,1,3,1,0,21,0,12,0,4,24,0,0,0,0,1,0,0,0,35,0
10,26,0,1,0,0,2,0,0,0,0,0,13,0,0,0,3,0,1,13,1,2,11,0,0,30,13,111,0,0,3,2,1,0,22,1,12,0,6,20,0,0,0,0,0,1,0,0,33,5
30,159,1,0,0,1,4,0,0,0,0,0,13,1,0,0,4,0,0,16,3,4,16,1,1,25,2,60,1,5,1,1,1,1,25,3,9,0,11,31,0,0,0,0,0,5,3,0,41,9
40,226,0,0,0,0,3,3,1,0,0,0,13,0,3,0,3,0,0,15,5,4,9,1,0,25,1,90,2,4,0,7,1,0,22,1,3,0,23,12,0,0,0,0,0,0,2,1,40,7
50,293,2,0,0,0,0,0,2,1,0,0,23,0,2,0,5,0,0,19,2,6,16,1,1,18,0,87,3,4,0,6,1,0,26,1,2,0,33,13,0,0,0,0,0,0,1,1,22,4
70,426,0,0,0,0,6,0,0,0,0,0,18,1,0,0,5,0,0,20,1,15,19,0,0,17,0,141,0,0,0,0,0,0,7,3,12,0,0,11,0,0,1,0,1,3,0,1,17,4
82,506,0,0,0,0,3,0,1,0,0,0,18,1,0,0,4,0,0,15,2,8,14,0,1,28,2,95,4,0,0,0,2,0,5,2,18,0,2,26,0,0,0,0,0,4,1,2,44,2
105,660,0,0,0,0,6,1,0,0,0,0,23,0,0,0,4,0,0,13,1,9,7,0,0,33,3,85,6,1,0,0,0,0,6,3,9,0,0,32,2,2,0,0,0,5,1,0,49,2
125,793,1,0,1,0,3,0,0,1,0,0,11,0,1,0,8,0,0,8,1,6,14,0,0,33,0,115,5,3,0,0,0,0,7,1,16,0,3,22,0,0,2,0,0,1,2,2,28,5
145,927,1,0,0,0,3,0,0,0,0,0,24,0,0,0,7,0,0,10,1,6,9,1,0,35,1,114,3,0,0,0,1,0,7,2,23,0,2,37,0,1,0,0,0,4,5,3,24,5
155,994,1,0,0,2,3,0,0,0,0,0,24,0,1,0,2,0,1,5,0,9,4,1,1,27,1,158,4,1,0,1,2,0,7,4,16,0,2,44,0,0,2,0,0,0,0,1,8,3
165,1060,1,0,0,1,5,0,0,1,0,0,20,0,0,0,3,0,0,5,1,5,5,0,0,21,2,147,2,3,0,1,0,1,6,2,15,0,3,26,0,0,1,0,0,0,0,0,17,9
185,1194,0,0,0,0,4,1,0,0,0,1,18,0,0,0,4,0,1,13,0,5,9,0,0,18,0,117,4,2,1,0,2,0,6,1,32,0,4,26,0,1,0,0,0,0,1,1,25,6
205,1327,2,0,0,0,1,0,1,0,0,0,14,0,0,0,2,1,0,9,0,0,9,1,0,16,0,97,2,3,0,0,0,0,13,4,22,0,3,50,0,0,1,0,0,11,1,1,20,3
225,1461,1,1,2,1,7,0,0,0,0,0,12,0,0,0,5,0,0,12,0,8,3,1,0,18,1,97,2,1,0,1,0,0,11,2,27,0,9,52,0,1,2,0,0,2,1,0,17,6
245,1594,1,0,0,0,1,0,0,0,0,0,18,1,0,0,2,0,0,11,2,4,5,0,1,35,0,125,1,0,0,0,0,0,12,7,17,0,2,33,1,1,1,0,0,3,2,0,19,7
