"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Alnus","Amaranthaceae","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Cornus","Cyperaceae","Ericaceae","Fraxinus","Gordonia","Ilex","Isoëtes","Iva","Juglans.nigra","Liquidambar","Magnolia","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parthenocissus","Pinus","Poaceae","Polygonum","Polypodium.type","Potamogetonaceae","Pteridium.type","Quercus","Rhus","Sabal","Sagittaria","Salix","Serenoa","Sparganium.type","Sphagnum","Taxodium","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Vitis"
40,0,0,3,0,15,9,0,0,6,0,0,3,0,0,0,3,3,6,3,0,0,0,0,6,0,0,24,0,0,0,0,3,3,0,156,3,0,0,0,3,66,0,6,0,0,0,0,0,12,0,6,6,6,0,0,3
45,122,0,6,3,10,6,0,0,3,0,3,6,0,0,0,3,0,6,0,0,0,0,0,6,3,3,21,0,0,0,0,3,6,0,168,3,0,0,0,3,51,0,6,0,0,0,3,3,12,0,6,0,3,0,0,0
65,611,0,3,0,9,3,0,0,0,0,0,0,0,0,0,6,3,9,0,3,0,3,0,6,0,0,12,0,0,0,0,0,0,0,195,3,0,0,0,0,21,0,0,0,0,0,0,0,36,0,6,0,3,0,0,3
85,1099,0,0,0,6,0,0,0,0,0,0,12,0,0,0,6,3,3,0,0,0,3,0,6,0,0,9,0,0,0,3,3,3,0,219,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,3,3,0,0,0
110,1710,0,0,0,8,3,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,183,6,0,3,0,0,45,0,0,0,0,0,0,0,42,0,9,3,6,0,0,0
125,2076,0,6,0,12,0,0,0,0,0,0,6,0,0,0,3,3,3,3,0,0,0,0,3,0,0,9,0,0,0,3,0,0,0,195,3,0,0,0,0,45,0,0,0,0,0,0,0,18,0,0,3,3,0,0,0
145,2655,0,0,0,10,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,159,6,0,0,0,0,56,0,3,0,0,0,0,0,60,0,9,3,6,0,0,0
160,3157,0,3,3,21,3,0,0,0,0,0,6,0,3,0,3,0,3,0,0,0,3,0,3,0,0,15,0,0,0,3,0,6,0,195,3,0,0,0,3,18,0,0,0,0,0,0,3,36,0,6,3,6,0,0,0
180,3826,0,3,0,42,3,0,3,6,0,0,6,0,0,0,3,3,3,0,0,0,0,0,3,0,0,3,0,3,0,3,3,3,0,234,6,0,0,0,0,30,0,0,3,0,0,0,0,3,0,6,0,9,0,0,0
200,4496,0,0,0,174,3,0,0,6,0,0,6,3,0,0,3,0,3,0,0,0,3,0,3,0,0,18,3,0,0,3,3,3,0,168,15,0,0,0,0,78,3,0,0,3,0,0,0,3,0,3,3,6,0,0,3
