"sample.depths","sample.ages","upland.sum","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Casuarina","Apiaceae","Fabaceae","Fraxinus","Onagraceae","Polygonaceae","Iva","Carya","Trema","Euphorbiaceae","Cupressaceae.Taxaceae","Schinus","Ericaceae","Nyssa","Liquidambar","Juglans"
0.5,-34,254,2,4,4,2,14,8,40,154,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,-6,458,50,12,10,12,24,6,56,238,10,2,16,4,6,2,2,6,2,0,0,0,0,0,0,0,0,0
2.5,22,452,32,20,26,6,8,18,66,210,12,6,12,6,2,0,0,4,4,4,6,2,6,2,0,0,0,0
3.5,51,472,48,18,8,18,24,2,50,262,8,8,6,2,0,0,0,2,0,0,10,0,6,0,0,0,0,0
5.5,211,498,20,6,6,14,4,4,56,370,2,2,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0
6.5,291,608,38,16,0,18,12,2,28,470,4,4,0,2,0,0,2,6,0,2,0,0,4,0,0,0,0,0
7.5,371,584,24,26,2,8,8,0,40,464,0,4,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0
10.5,612,542,2,0,6,4,0,0,200,314,8,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
12.5,797,490,0,4,10,0,2,4,212,246,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2,0,0,0
13.5,894,496,0,0,2,0,0,2,370,110,0,0,0,0,0,0,2,4,2,0,0,0,0,0,2,2,0,0
14.5,991,402,0,0,4,0,2,8,312,68,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15.5,1087,562,2,2,2,0,0,2,382,152,4,4,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,0
21,1619,502,0,2,4,0,0,6,334,128,2,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0
25,2005,582,0,4,2,0,0,2,196,312,10,10,0,0,0,0,0,40,2,2,0,0,0,0,0,0,0,2
31,2585,592,2,0,8,0,0,4,160,412,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
35,2972,148,0,0,0,0,0,0,102,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3551,206,0,0,0,0,0,4,114,86,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
45,3706,336,0,0,4,0,2,4,134,180,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
51,3938,304,0,0,2,0,0,0,46,250,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
55,4093,406,0,0,6,0,0,2,92,304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4324,484,0,0,0,0,0,0,32,450,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
