"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Acer.spicatum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Rumex","Salix","Tsuga","Ulmus","Vitis","Alnus","Rosaceae.undiff.","Amaranthaceae","Poaceae","Ericaceae","Myrica","Celtis","Taxus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Larix","Thalictrum","Spiraea.type","Acer.undiff.","Liquidambar","Ilex","Juglans.nigra","Pyrus.type","Viburnum","Acer.negundo","Populus.balsamifera.type","Ribes","Shepherdia.canadensis","Urtica.type"
0,0,0.0336134453781513,0.0336134453781513,0.00560224089635854,0.00280112044817927,0.0168067226890756,0.00280112044817927,0.406162464985994,0.00560224089635854,0.00280112044817927,0.00560224089635854,0.00560224089635854,0.0168067226890756,0.103641456582633,0.00280112044817927,0.0196078431372549,0.00280112044817927,0.00280112044817927,0.0112044817927171,0.0588235294117647,0.00280112044817927,0.0252100840336134,0.0532212885154062,0.00560224089635854,0.00560224089635854,0.0504201680672269,0.00840336134453781,0.00280112044817927,0.0560224089635854,0.0112044817927171,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00560224089635854,0.0252100840336134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,201,0.0411764705882353,0.0323529411764706,0,0,0.00588235294117647,0,0.455882352941176,0.00294117647058824,0.0147058823529412,0.0088235294117647,0,0.00294117647058824,0.108823529411765,0.0147058823529412,0.00294117647058824,0,0,0.0117647058823529,0.0558823529411765,0,0.0176470588235294,0.05,0.00588235294117647,0.00294117647058824,0.0411764705882353,0.00294117647058824,0.00294117647058824,0.0970588235294118,0,0,0.0088235294117647,0.00294117647058824,0,0.00294117647058824,0.00294117647058824,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,573,0.0676056338028169,0.0225352112676056,0,0,0.0028169014084507,0,0.380281690140845,0,0.00845070422535211,0.0140845070422535,0,0.0169014084507042,0.143661971830986,0.0028169014084507,0.0140845070422535,0.0028169014084507,0,0.0197183098591549,0.0422535211267606,0,0.0253521126760563,0.047887323943662,0,0,0.0507042253521127,0.00563380281690141,0,0.0929577464788732,0.00563380281690141,0,0.0140845070422535,0,0.0028169014084507,0,0,0.0028169014084507,0.0028169014084507,0.00563380281690141,0.0028169014084507,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,666,0.0253521126760563,0.0338028169014084,0,0,0.0028169014084507,0,0.436619718309859,0,0.0028169014084507,0.0112676056338028,0,0.0169014084507042,0.107042253521127,0.00563380281690141,0.0169014084507042,0,0,0.00563380281690141,0.0507042253521127,0,0.028169014084507,0.0338028169014084,0,0.00563380281690141,0.0732394366197183,0,0.0028169014084507,0.0873239436619718,0.0225352112676056,0,0.0225352112676056,0,0,0,0.0028169014084507,0,0,0,0,0.00563380281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1348,0.0276073619631902,0.0276073619631902,0.00306748466257669,0,0,0,0.447852760736196,0.00306748466257669,0,0.00613496932515337,0.00306748466257669,0.00920245398773006,0.153374233128834,0.0153374233128834,0.0214723926380368,0,0,0.0122699386503067,0.0429447852760736,0,0.0214723926380368,0.0368098159509202,0,0,0.0460122699386503,0,0.00306748466257669,0.0950920245398773,0.0122699386503067,0,0.00920245398773006,0,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3178,0.0126903553299492,0.0406091370558376,0,0,0.00253807106598985,0,0.357868020304569,0,0.0050761421319797,0.00761421319796954,0,0,0.246192893401015,0.0050761421319797,0.0228426395939086,0,0,0.0126903553299492,0.0050761421319797,0,0.0355329949238579,0.0482233502538071,0.00253807106598985,0,0.0710659898477157,0,0,0.083756345177665,0.0152284263959391,0,0.0152284263959391,0,0,0.00253807106598985,0,0.00253807106598985,0,0,0.00253807106598985,0.00253807106598985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3789,0.0140056022408964,0.0280112044817927,0,0,0,0,0.487394957983193,0,0,0.0112044817927171,0,0.0196078431372549,0.120448179271709,0.00280112044817927,0.0280112044817927,0.00560224089635854,0,0.00280112044817927,0,0,0.0532212885154062,0.0392156862745098,0,0,0.0728291316526611,0,0,0.0728291316526611,0.0252100840336134,0,0.0112044817927171,0.00280112044817927,0,0,0,0,0,0,0,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,4400,0.00867052023121387,0.0289017341040462,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.436416184971098,0,0,0.00578034682080925,0,0.0115606936416185,0.104046242774566,0.00867052023121387,0.00289017341040462,0.00289017341040462,0,0.00289017341040462,0.0115606936416185,0,0.0606936416184971,0.046242774566474,0,0,0.0751445086705202,0,0,0.130057803468208,0.0289017341040462,0,0.00867052023121387,0,0,0.00289017341040462,0.00289017341040462,0,0,0,0,0.00289017341040462,0.00289017341040462,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0
142,4767,0.0206489675516224,0.0088495575221239,0,0,0,0,0.471976401179941,0,0.00294985250737463,0,0,0.0176991150442478,0.115044247787611,0.00589970501474926,0.0147492625368732,0,0,0.0088495575221239,0.00294985250737463,0,0.0383480825958702,0.0825958702064897,0,0,0.0412979351032448,0,0.00294985250737463,0.109144542772861,0.023598820058997,0,0.023598820058997,0.00294985250737463,0,0.00294985250737463,0,0,0,0,0,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0
152,5012,0.0120481927710843,0.0180722891566265,0,0,0,0,0.427710843373494,0,0.00301204819277108,0.00602409638554217,0,0.00301204819277108,0.0662650602409639,0,0.00602409638554217,0.00301204819277108,0,0.0120481927710843,0.0150602409638554,0,0.0512048192771084,0.0662650602409639,0.00301204819277108,0.00301204819277108,0.0843373493975904,0,0,0.144578313253012,0.0271084337349398,0,0.0301204819277108,0,0,0,0,0,0,0.00301204819277108,0.00301204819277108,0.00301204819277108,0,0,0.00301204819277108,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0,0,0,0
