"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.rubrum","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rubus","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Populus","Amaranthaceae","Acer.saccharinum.type","Castanea","Apiaceae","Viburnum","Artemisia","Bidens.type","Corylus","Juglans.cinerea","Leitneria.floridana","Trees.undiff.","Polygonum","Ilex","Plantago.major","Tsuga","Vitis","Cerealia","Ericaceae","Iva.annua.type","Tilia","Acer.saccharum.type","Herbs.undiff.","Magnolia","Parthenocissus","Dalea","Onagraceae","Picea","Thalictrum","Spiraea.type","Cornus","Sambucus","Prunus.Sorbus","Abies","Lamiaceae","Morus","Potentilla.type","Sanguisorba","Aesculus","Shepherdia.canadensis","Caryophyllaceae"
248,17527,369,1,0,4,3,6,0,0,2,10,2,17,0,16,7,0,0,0,0,0,17,17,1,53,1,103,1,2,0,5,9,0,16,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,3,0,0,0,0,3,0,0,1,0,0,0,0
264,17830,345,0,0,1,12,5,0,0,0,8,2,11,4,15,4,0,0,1,0,0,22,10,2,39,0,92,0,0,0,6,4,0,9,0,0,0,0,2,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4,0,0,0,0,4,0,0,0,0,0,0,0
280,18085,353,1,0,3,5,2,0,0,0,8,1,15,2,16,7,2,0,0,0,0,16,11,2,72,1,85,0,0,0,2,3,1,9,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,1,0,0,7,0,0,0,0,0,0,0
296,18299,358,1,0,2,4,5,0,0,1,9,1,4,0,10,5,0,0,0,0,0,8,57,3,81,0,59,0,1,0,7,2,0,14,0,0,0,1,0,0,4,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,1,0,0,1,0,0,0
312,18482,334,0,0,2,0,2,0,0,0,7,0,3,1,9,5,0,0,0,0,0,2,73,2,115,0,36,0,1,0,3,2,0,4,0,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,4,0,0,0,0,0,0,0
330,18660,353,0,0,2,2,2,0,0,0,16,0,5,1,7,12,0,0,0,0,0,1,104,0,105,0,40,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,1,0,0,0,0,2,0,0,0,0,0,0,0
350,18833,348,0,0,0,1,2,0,0,0,6,0,2,2,1,7,0,0,0,0,0,5,41,0,116,0,28,0,2,1,5,0,0,11,0,2,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,8,0,0,0,0,1,0,0
370,18990,333,0,0,1,0,1,0,0,0,8,0,1,0,7,8,1,0,0,0,0,3,68,0,129,0,23,1,0,0,2,3,0,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,0,0,0,5,0,0,0,0,0,0,0
390,19142,353,0,0,0,1,1,1,0,0,7,0,6,0,3,11,2,0,0,0,0,5,68,0,127,0,22,0,0,0,4,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,2,0,0,0,0,0,0,0
410,19300,336,0,0,3,0,2,0,0,0,1,0,2,1,5,5,2,0,0,0,0,1,47,0,186,0,16,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2,0,0,0,0,0,0,0
