"sample.depths","sample.ages","Asteraceae.undiff.","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Annona","Cephalanthus","Cyperaceae.undiff.","Celtis","Poaceae","Polygonaceae","Iva","Waltheria","Quercus","Alnus","Cupressaceae.Taxaceae","Ericaceae","Fabaceae","Onagraceae"
0.5,-39,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.210526315789474,0.526315789473684,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,31,0.0285714285714286,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.171428571428571,0.485714285714286,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
10.5,137,0.25,0.166666666666667,0,0,0.25,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,193,0.105263157894737,0.157894736842105,0,0,0.105263157894737,0.526315789473684,0,0.0526315789473684,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0
15.5,288,0,0,0.027027027027027,0.027027027027027,0.0810810810810811,0.864864864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,461,0.0238095238095238,0.0238095238095238,0,0,0.0238095238095238,0.773809523809524,0,0.119047619047619,0,0.0238095238095238,0.0119047619047619,0,0,0,0,0,0,0,0,0
25,587,0.0175438596491228,0,0,0.0175438596491228,0.0701754385964912,0.719298245614035,0,0.131578947368421,0.0087719298245614,0,0.0087719298245614,0.0175438596491228,0.0087719298245614,0,0,0,0,0,0,0
29,713,0.09478672985782,0.014218009478673,0,0,0.0568720379146919,0.76303317535545,0,0.0568720379146919,0.004739336492891,0,0,0.004739336492891,0,0.004739336492891,0,0,0,0,0,0
33,915,0.0652173913043478,0,0,0.0108695652173913,0.315217391304348,0.521739130434783,0,0.0108695652173913,0.0108695652173913,0,0,0.0434782608695652,0,0.0108695652173913,0.0108695652173913,0,0,0,0,0
35,1016,0.0402010050251256,0.0150753768844221,0,0,0.0804020100502513,0.743718592964824,0,0.100502512562814,0.0050251256281407,0,0,0.0050251256281407,0,0,0,0.0050251256281407,0.0050251256281407,0,0,0
37,1117,0.0075187969924812,0,0,0,0.165413533834586,0.75187969924812,0,0.0526315789473684,0,0,0,0.0150375939849624,0,0,0,0,0,0.0075187969924812,0,0
41,1319,0.0335195530726257,0.00558659217877095,0,0,0.0893854748603352,0.8268156424581,0,0.0279329608938547,0,0,0,0.0111731843575419,0,0,0.00558659217877095,0,0,0,0,0
45,1521,0.0303030303030303,0.00432900432900433,0,0,0.0562770562770563,0.83982683982684,0,0.0562770562770563,0,0,0,0.00432900432900433,0,0,0,0,0,0,0.00432900432900433,0.00432900432900433
47,1622,0.0477815699658703,0.0068259385665529,0,0,0.0238907849829352,0.901023890784983,0,0.0068259385665529,0.0068259385665529,0,0,0.0068259385665529,0,0,0,0,0,0,0,0
49,1723,0.0161812297734628,0,0,0,0.0355987055016181,0.922330097087379,0,0.0258899676375405,0,0,0,0,0,0,0,0,0,0,0,0
53,1969,0.0246913580246914,0.00925925925925926,0,0,0.0462962962962963,0.87962962962963,0,0.0185185185185185,0.00925925925925926,0,0,0.0123456790123457,0,0,0,0,0,0,0,0
55,2114,0.00343642611683849,0,0,0.00343642611683849,0.0446735395189003,0.941580756013746,0,0,0,0,0,0,0,0,0,0,0.00343642611683849,0,0.00343642611683849,0
59,2404,0.0173611111111111,0.00347222222222222,0,0,0.0694444444444444,0.868055555555556,0,0.0138888888888889,0,0,0,0.0138888888888889,0.00347222222222222,0,0.0104166666666667,0,0,0,0,0
