"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Acer","Myrica","Populus","Poaceae","Plantago","Amaranthaceae.undiff.","Galium","Rumex","Salix","Apiaceae","Fraxinus.nigra.type","Sarcobatus.vermiculatus","Tsuga","Cornus","Rosaceae.undiff.","Tilia","Juglans.cinerea","Iva.annua.type","Ilex","Castanea","Shepherdia.canadensis","Morus","Brassicaceae","Lamiaceae","Juglans.nigra","Thalictrum","Rhamnaceae","Iva.xanthifolia.type","Nyssa","Urtica.type","Celtis","Dryas.type","Dalea","Alnus.undiff."
310,7895,509,1,2,17,0,2,82,0,0,5,19,5,0,0,0,8,10,5,132,142,3,25,0,15,0,1,3,10,9,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
320,8267,489,1,5,30,1,1,106,0,0,3,10,3,0,1,2,7,5,5,179,66,2,14,2,9,0,0,0,21,2,0,7,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,8653,585,2,1,15,7,3,148,0,0,11,11,7,0,0,0,5,5,20,240,52,4,21,0,11,0,3,1,3,6,0,3,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,9053,508,0,5,43,1,4,45,0,1,1,7,10,0,1,0,12,6,15,255,41,2,6,3,6,0,3,8,12,7,0,4,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,9464,526,3,0,7,6,4,72,0,0,0,18,5,0,0,1,6,6,19,282,31,2,14,2,4,0,1,10,13,10,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
360,9883,513,5,4,24,2,6,82,0,1,2,4,7,0,0,2,4,12,28,238,20,2,11,1,10,1,1,12,22,5,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,10307,560,11,0,22,5,5,102,0,1,2,12,10,4,0,2,19,4,42,233,21,3,20,1,11,0,0,10,5,3,0,4,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
380,10735,472,10,1,10,4,7,83,0,0,1,16,7,0,0,1,7,5,21,217,17,1,16,0,5,0,0,2,16,9,0,3,0,0,2,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
390,NA,517,6,3,7,5,6,58,0,3,1,20,11,0,0,0,15,11,69,213,13,3,16,2,6,1,1,0,21,3,0,8,0,0,6,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
395,NA,456,2,0,4,7,8,89,0,1,1,21,12,0,0,2,26,8,69,130,2,1,24,1,5,0,0,0,14,6,0,13,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
403,NA,338,0,0,7,3,4,28,0,0,1,18,13,0,0,1,15,7,69,95,3,4,16,1,11,0,1,2,25,2,0,0,0,0,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
413,NA,309,2,3,2,1,9,24,0,0,1,17,13,0,0,1,16,6,97,60,1,1,24,1,9,0,0,1,14,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,NA,136,0,0,3,0,10,3,0,0,0,4,16,0,0,1,2,2,20,38,0,2,15,3,10,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,NA,143,0,1,3,1,4,6,1,0,3,1,17,0,0,1,2,1,13,52,0,2,6,5,10,0,3,0,1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
450,NA,82,0,0,0,1,0,14,0,0,0,2,1,0,0,0,0,0,7,41,0,1,3,0,3,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
