"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula...20.µm.","Betula...20.µm..1","Brassicaceae","Campanulaceae","Caryophyllaceae","cf..Myrica","Cornus","Cyperaceae","Epilobium","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Indeterminable","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Primulaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Saxifragaceae","Selaginella","Sorbus","Sphagnum","Taxus","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Urticaceae"
0,-27,16,0,10,0,0,0,0,0,0,73,0,0,0,6,0,2,0,0,2,0,0,23,9,3,0,3,2,0,0,1,0,0,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
5,-11,36,0,12,0,0,1,0,0,0,96,0,0,0,6,1,0,0,2,0,0,0,20,23,1,0,3,0,0,0,0,0,0,59,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
15,20,14,0,9,0,0,0,0,0,0,101,0,0,0,4,1,1,0,4,0,0,0,19,8,0,0,0,0,0,0,1,0,0,56,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25,51,41,0,13,0,0,0,0,0,0,131,0,0,0,4,0,4,0,3,1,0,0,16,11,9,0,3,2,0,1,2,0,0,46,4,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,3
45,113,34,0,7,0,0,0,0,0,0,95,0,0,0,3,0,1,0,0,2,0,0,24,22,7,2,2,3,1,0,0,0,0,64,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,1,0,0,0,0,0
65,259,24,0,10,0,0,0,0,0,1,87,0,0,0,8,0,3,0,1,0,0,0,23,28,0,1,0,1,0,0,5,0,0,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,490,14,1,4,0,0,0,0,0,0,73,0,0,0,3,0,0,0,2,1,0,0,14,49,6,1,2,0,0,0,2,0,0,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0
105,720,35,0,9,0,0,0,0,1,0,124,0,0,0,0,0,0,0,4,1,0,0,32,22,8,0,0,2,0,0,2,0,0,57,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
125,950,44,0,7,0,0,0,0,0,0,73,0,0,0,8,0,0,0,5,0,0,0,23,15,3,0,1,1,0,0,0,0,0,70,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,3,0,2,0,0,0,2
145,1181,13,0,7,0,0,0,0,0,0,99,0,0,0,4,1,1,0,1,3,0,0,8,13,10,0,0,0,0,0,3,0,0,69,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0
165,1523,20,0,10,0,1,0,0,0,1,81,0,0,1,5,0,0,0,1,1,0,0,16,18,11,1,1,1,0,0,0,0,0,54,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,3,1,0,0,0,0,0
185,1976,29,0,5,0,0,0,0,0,1,90,0,0,0,5,0,0,0,0,3,0,0,13,16,5,0,3,2,1,0,1,0,0,71,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,1,0,0,0,0,0
205,2430,14,0,8,0,0,0,0,1,0,98,0,0,0,2,0,2,0,0,2,0,0,11,9,9,0,0,1,0,0,1,0,0,54,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
225,2884,20,1,4,0,0,0,0,1,1,189,1,0,0,1,0,2,0,2,1,0,0,25,10,3,0,1,1,0,0,0,1,0,80,3,0,0,0,0,1,0,0,1,3,0,0,0,0,0,7,1,1,1,0,1,0
245,3337,19,0,8,0,0,0,0,0,0,102,0,0,0,9,1,0,0,3,2,0,0,13,25,8,0,0,2,0,0,2,0,0,52,4,0,0,2,0,1,0,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0
265,3791,32,0,13,0,0,0,0,0,2,95,0,0,0,0,0,0,0,1,0,0,0,9,18,9,0,3,1,0,0,3,0,0,56,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
