"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Drosera","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Galium","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Pontederiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Salsola","Sambucus","Sarracenia","Scrophulariaceae","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum","Xanthium"
10,215,0,0,6,3,6,1,0,14,1,23,0,0,7,0,80,0,1,0,0,0,8,0,60,0,0,0,0,4,9,0,0,2,0,1,16,6,2,1,0,0,0,6,0,0,5,2,0,0,0,0,0,0,1,0,0,1,0,3,7,0,3,2,1,29,1,0,32,0,4,2,4,146,0,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,14,0,5,3,1,1,0,0,1
50,505,0,0,1,0,9,1,0,16,0,0,0,0,1,0,72,0,0,0,0,0,20,0,66,0,0,0,0,3,14,0,0,5,0,1,33,8,12,0,1,0,3,9,0,0,2,1,0,0,0,0,0,0,2,0,2,3,0,7,6,0,2,2,10,31,0,2,0,0,0,3,10,174,0,0,1,0,0,0,0,0,0,0,0,5,1,2,0,0,27,0,13,4,0,0,0,1,0
85,790,0,0,0,0,12,0,0,6,0,0,0,0,1,0,59,0,1,0,0,0,16,0,87,0,1,0,0,2,11,0,0,2,0,2,32,5,4,2,0,1,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,7,0,2,1,5,24,0,0,0,0,3,3,2,148,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,30,0,2,0,0,0,0,0,0
110,1011,0,0,2,2,9,1,0,12,0,2,0,0,2,0,88,0,1,0,0,0,26,0,112,0,0,0,0,0,12,0,0,3,0,0,39,14,4,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,8,0,2,4,14,38,0,1,0,0,1,0,3,191,0,1,3,0,0,0,0,0,1,0,1,1,0,2,0,0,27,0,7,1,0,0,0,1,0
140,1296,0,0,2,1,10,1,1,11,0,1,0,0,0,0,62,0,3,0,0,0,17,0,61,0,0,0,0,3,15,0,0,2,0,2,18,4,6,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,6,0,3,1,5,16,0,0,1,0,1,4,5,177,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,4,1,0,0,0,0,0
190,1814,0,0,2,1,3,0,0,13,0,0,0,0,2,0,91,0,4,0,0,0,14,0,52,0,0,0,1,0,25,0,0,0,0,1,39,8,5,1,0,0,3,8,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,2,10,0,1,3,6,25,0,1,0,0,1,2,3,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20,0,7,0,0,0,0,0,0
210,2035,0,0,1,0,4,2,0,12,0,1,0,0,1,0,72,0,3,0,0,0,17,0,82,0,2,0,0,4,22,0,0,3,0,0,29,4,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,2,1,1,2,0,2,12,0,2,3,8,18,0,1,0,0,2,1,0,153,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,19,0,1,1,0,0,0,1,0
250,2497,0,0,1,1,4,0,0,10,0,0,0,0,1,0,59,0,1,0,0,0,16,0,64,0,1,0,0,1,33,0,0,5,0,1,30,7,10,0,0,0,2,12,0,0,3,0,0,0,1,0,0,0,2,0,1,2,0,1,9,0,0,2,7,27,0,0,0,0,2,1,0,166,0,2,0,0,0,2,0,0,0,0,0,3,1,0,0,0,8,0,8,0,0,0,0,0,0
290,2982,0,0,3,0,9,0,0,9,0,0,0,0,0,0,34,0,2,0,0,0,19,0,32,0,0,0,0,2,21,0,0,1,0,1,34,10,7,0,0,0,1,8,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,8,13,0,3,0,1,1,0,1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,2,0,0,0,0,0
310,3231,1,0,3,2,10,0,0,12,0,1,1,0,2,0,41,0,3,0,0,0,33,0,3,0,2,0,0,5,20,0,0,1,0,0,38,3,12,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,1,4,0,1,10,0,1,4,4,29,0,0,1,0,3,1,9,189,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,18,0,7,2,0,0,0,1,0
