"sample.depths","sample.ages","Abies","Acer.saccharinum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.annua","Juglans.cinerea.type","Juglans.nigra.type","Larix","Morus","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rosaceae","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown"
766,NA,0,1,2,1,0,2,6,0,0,9,0,5,24,0,0,1,0,9,0,2,1,8,0,6,0,6,2,0,0,0,0,0,0,9,0,0,4,1,16,5,5,2,1,3,1,229,0,0,0,1,0,0,2,1,1,1,21,1
834,11661,0,0,7,0,1,1,1,0,0,2,2,0,37,0,0,2,0,9,0,2,0,11,0,0,1,5,1,0,0,0,1,0,2,28,1,1,3,7,18,2,3,2,1,0,0,211,0,1,0,0,0,0,0,2,0,0,47,1
860,12045,1,0,3,0,4,0,0,0,0,2,5,3,2,0,0,7,0,4,0,0,2,23,0,0,0,4,0,2,0,0,0,0,0,26,0,5,9,160,107,0,1,1,2,0,1,82,0,0,0,2,0,0,2,13,0,0,27,0
884,12914,8,0,3,0,7,0,2,1,2,0,6,0,1,0,0,3,0,15,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,19,0,33,68,5,75,0,4,1,5,0,0,45,0,0,0,2,0,0,0,8,0,1,11,1
904,13724,7,0,5,0,0,0,2,0,3,5,4,0,4,0,0,1,0,15,1,4,1,70,0,1,0,1,0,1,1,0,0,1,0,45,0,72,4,1,3,2,24,0,3,2,1,71,0,0,0,2,0,2,0,0,1,2,15,0
928,14695,5,0,0,0,1,1,0,0,2,4,10,0,10,3,0,2,1,25,0,1,67,58,0,1,0,1,0,0,0,0,0,0,0,67,0,66,1,0,5,0,12,0,10,8,1,68,0,0,1,4,1,1,1,0,2,1,11,0
953,15708,6,0,1,0,9,0,1,2,8,7,2,0,1,0,0,1,1,22,0,0,2,22,1,0,0,0,0,3,0,0,0,0,0,10,2,205,6,0,9,0,20,0,1,3,0,29,1,1,1,3,0,2,0,0,0,0,0,1
979,16760,4,1,0,0,11,1,0,1,2,8,2,0,0,0,1,0,1,24,0,0,0,13,0,3,0,0,0,2,0,1,0,0,0,6,0,199,6,0,9,0,12,2,3,0,0,24,1,1,0,3,0,2,0,0,0,0,2,0
1004,NA,2,0,0,0,8,0,1,0,5,5,5,0,1,0,0,0,0,11,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,5,1,213,2,0,7,0,15,0,1,2,0,23,0,1,0,1,0,0,0,0,0,0,2,1
