"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Fraxinus","Poaceae","Rosaceae","Ericaceae","Juglans.cinerea","Larix","Taxus","Ulmus","Amaranthaceae.undiff.","Juglans.nigra","Myrica","Carya","Platanus","Salix","Trees.undiff.","Tilia","Cupressaceae","Populus","Asteraceae.subf..Cichorioideae","Corylus","Sarcobatus.vermiculatus","Shepherdia","Rhamnaceae.Vitaceae","Plantago"
2,56,457,22,21,8,10,1,2,268,2,2,6,4,1,43,6,11,4,7,5,3,5,2,3,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,200,489,28,20,11,0,0,1,304,0,4,12,4,1,41,2,14,13,8,1,2,7,1,3,1,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,503,660,25,40,6,0,0,4,397,1,8,10,5,3,64,5,25,10,14,0,1,12,1,8,9,6,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1109,695,28,32,5,0,1,0,447,2,5,20,5,5,37,6,21,14,9,0,1,20,3,6,4,6,2,0,0,0,0,2,0,0,9,1,1,2,1,0,0,0,0,0,0,0,0,0
60,1715,474,19,40,1,0,0,0,273,0,5,14,5,2,44,2,23,10,6,0,0,10,4,5,1,4,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
80,2320,558,29,32,12,1,0,0,330,0,6,20,3,3,32,0,26,17,9,0,0,14,1,9,2,2,1,0,0,0,0,2,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0
100,2789,605,22,41,11,1,1,4,360,0,5,12,1,2,21,4,44,21,6,0,1,15,3,9,10,2,1,0,1,1,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
120,3119,480,8,39,9,0,1,1,282,0,2,14,1,4,23,2,37,12,6,0,0,9,5,12,3,2,1,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3450,653,15,39,3,1,4,0,406,0,6,15,5,2,28,5,44,15,7,0,1,12,0,13,7,9,2,0,0,0,1,8,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
162,3780,359,13,31,6,0,0,0,198,0,1,6,5,2,13,1,39,7,6,0,2,4,2,10,1,4,1,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
180,4027,698,17,81,8,2,0,1,409,0,5,26,1,0,19,2,62,22,8,0,3,3,0,16,0,7,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4302,580,14,51,10,0,0,0,355,0,6,10,5,2,11,2,41,12,10,0,4,4,1,7,10,5,2,0,0,0,0,5,0,0,10,0,0,0,0,0,1,1,1,0,0,0,0,0
220,4577,711,26,62,9,0,1,2,421,0,3,19,4,4,14,4,72,10,13,0,2,2,2,10,10,4,3,1,0,2,2,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
240,4852,594,19,37,5,0,1,0,356,0,5,8,6,3,15,4,52,20,10,0,4,2,3,13,9,5,2,0,0,3,0,5,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0
260,5127,551,21,51,8,1,0,2,327,0,2,8,1,1,13,3,36,12,12,0,1,3,2,13,13,2,0,0,1,1,3,6,1,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0
280,5402,611,14,51,12,0,2,1,375,0,6,6,6,3,10,4,51,21,14,0,2,4,2,2,10,3,2,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5668,678,11,47,10,3,0,1,443,0,2,10,1,2,15,5,64,10,9,0,1,14,0,10,10,0,1,0,0,0,1,4,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
320,5856,507,13,42,3,1,3,3,309,0,4,3,3,0,14,5,29,14,11,0,2,24,1,3,5,1,0,0,1,0,1,5,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0
340,6045,589,13,52,6,0,1,2,335,0,3,3,8,2,12,3,54,15,10,0,1,19,3,11,5,4,1,0,1,5,1,3,0,0,8,0,4,1,0,0,0,1,0,2,0,0,0,0
362,6252,507,23,38,5,1,2,2,285,0,4,4,4,2,16,2,35,12,4,0,1,37,1,7,2,3,3,0,0,0,2,6,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0
380,6422,639,16,55,2,0,0,3,317,0,5,7,5,1,18,4,81,17,15,0,0,43,3,13,11,4,0,0,0,0,5,8,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
400,6610,551,22,30,17,1,1,1,283,0,4,2,5,1,8,8,61,21,10,0,2,43,3,7,5,0,0,0,0,1,3,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
420,6799,574,20,42,12,2,0,0,296,0,5,3,3,0,17,10,54,16,13,0,2,23,3,17,11,3,3,0,0,2,6,5,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0
440,6987,472,15,22,8,1,0,1,230,0,5,3,4,2,14,3,62,19,11,0,2,34,1,6,10,1,0,1,0,0,6,5,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
460,7176,547,19,29,32,1,0,0,242,0,3,1,7,0,14,5,77,38,16,0,2,18,2,12,6,1,1,0,0,3,2,9,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0
480,7359,466,18,8,25,0,0,0,196,0,0,5,2,0,22,9,78,25,18,0,0,13,0,17,9,1,1,0,0,0,1,7,2,0,3,0,0,2,0,0,0,3,0,1,0,0,0,0
500,7536,677,18,8,41,0,0,0,264,0,4,3,4,1,26,20,149,37,15,0,4,15,5,9,13,5,0,1,0,3,6,9,0,0,11,0,0,2,0,0,0,1,0,3,0,0,0,0
520,7712,814,29,4,35,4,1,3,305,0,6,8,1,2,32,14,199,44,34,0,0,19,6,21,10,3,1,1,0,0,5,10,1,0,7,0,3,1,0,0,0,4,0,1,0,0,0,0
540,7889,640,17,9,39,0,0,2,225,0,2,3,4,3,29,19,155,43,21,0,6,4,0,17,9,3,0,1,0,2,4,9,0,0,6,1,1,1,0,1,0,4,0,0,0,0,0,0
560,8066,757,34,6,61,0,0,0,240,0,5,4,7,6,41,16,196,52,21,0,2,9,2,16,7,5,0,0,0,0,5,7,0,0,7,0,1,3,0,0,0,1,0,2,1,0,0,0
580,8355,543,24,10,42,2,0,0,205,0,4,1,6,1,26,16,108,38,19,0,3,3,3,7,5,3,1,0,0,1,2,6,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0
