"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Thalictrum","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Acer.rubrum","Acer.spicatum","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Larix","Acer.pensylvanicum","Acer.saccharinum","Corylus.cornuta","Elaeagnus.commutata","Rosaceae","Juniperus.communis.Thuja.occidentalis.type","Taxus","Amaranthaceae","Caryophyllaceae","Onagraceae","Myrica.gale","Shepherdia.canadensis","Viburnum","cf..Diapensia.lapponica","Fabaceae","Ranunculaceae.undiff."
0,0,379,2,6,1,1,120,4,45,8,2,1,1,6,28,1,2,14,1,9,10,3,2,1,14,5,19,31,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,298,360,0,5,1,0,110,0,57,9,1,1,0,5,20,0,1,13,1,1,11,3,0,0,7,1,10,20,78,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,596,509,0,10,0,0,133,4,101,14,1,1,1,1,31,0,0,10,0,4,9,0,1,0,16,0,38,26,101,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,894,459,0,12,0,0,162,4,65,19,1,0,0,5,22,0,0,25,1,3,6,1,2,1,10,4,15,19,79,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1133,444,0,8,0,0,107,2,83,18,1,0,1,2,29,1,2,15,1,7,12,2,2,0,14,6,23,16,86,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1491,557,0,17,1,3,87,4,106,27,1,0,0,5,30,0,1,25,0,5,15,0,4,0,13,3,23,64,114,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1789,500,0,15,1,1,114,3,100,12,0,0,1,3,29,2,0,15,0,4,16,0,3,0,16,3,38,23,92,1,0,0,0,3,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2087,705,0,12,0,0,179,7,125,15,2,0,0,7,57,0,3,26,0,1,30,2,4,1,19,4,26,54,119,5,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,2385,625,3,16,2,2,210,3,82,23,2,1,1,4,32,0,0,46,1,13,13,3,6,1,22,2,21,18,92,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2683,471,0,10,1,1,114,8,118,24,2,1,0,2,26,0,0,20,0,3,20,0,5,0,17,2,15,12,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
