"sample.depths","sample.ages","Acacia","Amaranthaceae","Ambrosia","Asteraceae.undiff.","Bumelia","Bursera.simaruba","Carya","Casuarina","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Fabaceae","Ilex","Iva","Justicia","Myrica","Nymphaea","Osmunda.regalis","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Typha","Unknown..monolete.","Unknown..tricolporate.","Unknown..trilete.","Unknown.undiff.","Utricularia","Vitis"
0.5,-44,0,34,0,2,0,12,0,0,10,10,0,12,0,0,0,0,0,0,8,12,2,2,0,8,0,4,2,90,2,204,32,0,0
4.5,-2,0,94,0,2,0,2,0,0,12,4,0,26,0,0,0,6,0,0,8,22,0,0,0,0,0,8,0,80,2,360,18,0,0
9.5,50,0,108,2,14,0,0,0,2,4,2,0,52,2,0,0,6,0,0,20,16,2,0,2,4,2,4,0,74,6,312,18,0,0
14.5,73,0,184,0,6,0,4,0,0,22,2,2,14,4,0,0,4,0,0,12,22,0,0,0,0,0,10,0,68,10,312,18,0,0
21,103,0,88,0,6,0,4,0,0,22,2,0,0,0,0,0,2,2,0,0,6,0,0,0,0,0,6,0,14,2,108,10,0,0
25,122,6,278,4,8,0,4,2,0,10,0,0,20,26,2,2,6,0,4,10,14,4,0,0,2,2,4,0,48,0,192,22,0,0
27,131,0,364,2,6,0,4,0,0,12,8,2,14,0,0,0,6,0,0,6,6,0,0,0,2,4,2,0,20,0,164,18,0,2
31,149,0,636,0,6,2,0,0,0,0,2,0,4,2,0,0,0,0,2,0,14,0,0,0,2,2,0,0,8,6,14,4,0,0
35,1472,0,394,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,94,2,2,0,0,2,0,0,92,0,22,4,0,0
37,2133,0,718,0,4,2,0,0,0,0,8,0,6,0,0,0,0,0,0,0,20,0,4,0,0,0,2,0,26,4,0,0,0,0
41,3455,0,638,0,6,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,0,4,6,0,0
45,3555,0,604,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,4,0,0,6,0,0
51,3704,0,976,0,2,0,0,0,0,0,4,0,28,2,0,0,0,2,0,0,34,2,0,0,0,2,0,0,0,2,0,12,0,0
55,3803,0,664,0,2,0,0,0,0,0,6,0,14,0,0,0,0,0,8,0,28,0,0,0,0,0,0,0,2,0,0,6,0,0
61,3952,0,558,0,2,0,0,0,0,0,10,0,4,0,0,0,0,0,4,0,36,6,0,0,2,4,0,0,0,2,0,8,0,0
65,4052,0,576,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,24,0,62,6,4,0,0,6,0,2,0,0,4,6,0,0
71,4201,0,220,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,0,12,0,0,0,2,8,0,0,0,0,0,2,2,0
