"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Populus.tremuloides.type","Thalictrum","Amaranthaceae","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Rumex.type","Acer.saccharum","Myrica.gale","Ericaceae","Populus.balsamifera.type","Rosaceae","Nemopanthus.mucronatus","Acer.spicatum","Taxus","Viburnum.alnifolium","Corylus.cornuta","Carya.ovata","Lonicera.involucrata","Castanea.dentata","Ribes","Tilia","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Plantago","Fabaceae","cf..Oxyria.digyna"
4,63,634,3,10,6,276,1,23,3,2,1,2,2,77,34,12,1,2,19,1,32,25,58,15,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,252,587,1,8,1,287,4,9,3,1,0,1,0,63,27,10,0,4,26,1,21,20,56,2,11,26,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,755,545,0,12,6,208,0,20,6,0,0,3,0,78,37,4,0,1,9,1,17,25,83,1,6,24,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1416,607,3,5,0,227,0,22,3,1,0,2,0,51,67,11,0,3,25,0,18,13,119,2,3,24,0,0,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1731,531,3,8,4,229,0,20,3,2,0,2,0,45,43,9,0,2,32,1,11,20,61,6,9,14,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2171,639,0,11,2,226,0,13,7,0,0,3,0,39,45,8,0,2,58,0,19,9,152,15,9,12,0,1,1,0,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2643,616,0,9,5,249,0,15,6,3,0,5,0,47,47,8,0,1,59,3,12,7,114,0,10,10,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,3115,739,1,22,7,309,0,19,3,2,1,2,0,53,51,8,0,1,54,0,21,3,152,1,5,15,1,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,3886,652,2,13,4,247,4,15,5,1,0,1,0,74,49,6,0,1,59,0,18,10,117,0,5,15,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,4059,759,2,9,4,226,0,17,3,0,1,1,0,37,72,6,0,5,0,1,15,0,277,0,6,11,1,0,1,0,0,1,1,1,2,0,57,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
