"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Salix","Tilia","Ulmus","Myrica.gale","Pinus.banksiana.type","Pinaceae","Acer.spicatum","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Acer.rubrum","Juglans.cinerea","Populus.tremuloides.type","Populus.balsamifera.type","Lonicera.involucrata","Pinus.resinosa.type","Prunus","Sambucus","Ranunculaceae.undiff.","Castanea.dentata","Juniperus.type","Rosaceae.undiff.","Hypericum","Saxifraga.cernua.type","Epilobium","Shepherdia.canadensis","Oxytropis.maydelliana.type","Thalictrum","Carya.cordiformis","Caryophyllaceae","Polygonum.viviparum","Asteraceae.subf..Cichorioideae","Nemopanthus.mucronatus"
10,229,299,11,2,2,1,70,5,2,2,2,2,3,82,7,3,1,47,1,1,5,27,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,459,488,8,2,1,1,145,17,10,5,2,0,4,99,15,7,0,49,1,0,11,61,4,32,1,1,2,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,688,725,15,1,0,5,227,20,4,6,0,1,12,157,16,5,1,96,4,1,15,71,11,42,1,0,0,0,1,4,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,917,378,6,0,1,1,122,1,10,6,0,1,9,64,15,2,0,38,2,0,12,38,8,26,0,1,0,0,0,4,2,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1146,362,9,0,1,1,100,14,5,5,2,2,11,78,11,5,0,47,3,0,10,24,4,20,0,0,0,0,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1376,314,1,1,0,1,84,4,6,1,0,0,20,70,6,3,0,53,2,0,5,31,5,13,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1834,901,16,0,0,2,366,9,8,7,4,0,10,189,18,10,0,78,7,1,29,70,19,30,0,4,0,1,8,1,7,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2293,479,11,3,0,2,245,1,0,5,0,1,5,64,12,6,1,34,0,0,16,37,6,22,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2751,847,20,3,1,3,428,2,2,16,1,0,4,90,21,17,1,54,5,1,53,65,11,32,0,3,0,0,5,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3210,478,10,3,1,1,218,3,2,4,0,0,1,64,21,7,0,30,0,0,18,47,4,24,0,4,0,1,0,2,9,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3669,492,6,0,1,0,220,22,24,8,3,0,12,40,9,5,0,54,4,0,11,49,3,9,0,4,0,0,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4127,483,9,2,0,1,194,12,3,3,1,0,5,40,29,9,0,54,4,0,24,66,0,15,0,1,0,0,2,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4586,674,6,1,2,1,403,24,8,3,1,0,24,31,11,6,0,40,2,0,18,56,10,12,0,0,0,1,1,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5044,415,1,0,0,0,184,14,1,3,3,1,5,45,13,6,0,42,4,0,22,53,3,5,0,2,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5503,538,3,4,0,1,269,15,4,4,0,1,7,36,14,8,2,42,3,0,17,73,7,20,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5961,536,7,0,0,0,169,68,13,4,4,1,6,51,15,10,0,41,2,1,11,90,3,17,0,0,4,0,4,1,9,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6420,455,12,3,2,2,121,72,0,0,3,1,8,42,10,6,1,60,0,1,9,61,2,19,0,0,0,0,3,1,8,0,0,0,0,0,1,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6879,318,6,4,1,2,100,17,2,1,0,0,10,32,7,15,0,68,1,1,7,16,0,3,3,0,0,0,8,0,4,0,0,0,3,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,7337,436,13,9,2,1,122,28,1,0,1,12,32,35,6,10,1,37,5,0,8,77,2,13,1,2,0,0,1,0,9,0,1,0,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
340,7796,369,9,11,0,1,94,51,0,1,2,5,27,7,6,17,3,55,3,0,7,54,1,7,0,0,1,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,8254,446,5,11,0,2,75,117,0,0,0,5,11,28,16,12,1,63,4,1,5,40,2,17,0,1,1,0,3,3,19,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,8713,430,4,10,0,1,53,41,1,0,0,5,31,84,9,8,0,87,0,0,6,46,1,15,0,0,1,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
390,8942,398,4,39,0,2,68,73,0,0,0,0,24,72,7,5,1,27,0,0,1,26,4,19,0,0,0,0,1,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
400,9171,523,15,52,2,0,46,119,0,0,0,1,51,81,12,3,1,28,0,0,8,45,1,12,0,0,1,1,0,0,35,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
410,9401,766,26,32,1,3,100,183,0,0,0,1,108,57,23,10,7,36,0,0,9,61,1,35,0,0,3,0,1,1,53,0,0,2,0,0,1,5,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0
415,9515,937,10,39,1,5,88,460,0,0,0,1,57,30,10,18,11,29,1,0,9,67,1,32,0,0,9,1,1,2,24,2,0,3,1,0,1,6,0,0,4,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0
420,NA,879,12,25,0,6,93,371,0,0,1,0,35,12,16,16,119,12,1,1,6,64,4,18,0,0,9,0,4,3,30,0,0,3,0,0,0,7,0,0,0,0,0,0,1,8,0,0,0,0,1,1,0,0,0,0,0,0
425,NA,695,5,30,0,2,49,339,0,1,0,0,52,18,16,10,36,10,2,0,7,37,1,23,0,0,9,0,1,4,27,0,0,1,1,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0
430,NA,1044,4,38,1,10,140,331,1,0,1,3,65,46,19,22,82,67,5,0,11,60,1,31,1,2,15,1,0,5,58,0,0,4,2,0,1,9,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,1,0,0,0,0
435,NA,671,9,20,0,9,87,208,1,0,3,1,3,30,17,10,126,12,0,1,7,40,3,28,0,1,21,0,3,1,13,0,0,3,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,3,1,0,0
440,NA,611,7,17,0,6,99,122,3,1,3,0,8,16,13,12,126,17,1,1,10,36,2,18,0,1,23,0,9,6,28,0,0,9,0,0,1,0,0,0,0,0,0,0,0,5,1,0,4,0,2,0,0,0,2,0,1,1
445,NA,1014,14,35,2,8,139,243,0,1,0,1,22,84,23,15,184,44,1,2,17,56,2,31,2,2,12,0,2,7,42,1,1,3,3,0,1,2,0,0,0,0,0,0,0,4,0,0,2,0,0,2,1,0,1,0,1,1
450,NA,553,9,13,4,3,65,122,2,1,0,2,10,39,12,12,120,15,0,0,13,38,1,12,0,0,4,1,9,2,31,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0
