"sample.depths","sample.ages","Abies","Acer.rubrum","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Caryophyllaceae","Cassiope.type","Castanea","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Empetrum","Epilobium","Equisetum","Ericales.undiff.","Fabaceae","Gymnocarpium","Huperzia.selago","Indeterminable","Isoëtes.echinospora","Isoëtes.lacustris","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Lycopodium.clavatum","Myriophyllum.sibiricum.type","Picea","Pinus","Poaceae","Populus","Prunus.pensylvanica","Quercus","Rosaceae.undiff.","Rubus","Rumex","Salix","Saxifraga.type","Sphagnum","Tofieldia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vaccinium","Woodsia"
580,46,2,0,63,0,0,0,2,93,1,0,0,0,12,0,0,0,0,0,3,0,0,1,0,4,7,3,0,2,0,0,219,11,6,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
590,317,0,0,44,1,0,1,4,37,0,0,0,1,13,1,1,0,1,0,1,0,0,0,0,8,1,3,0,3,1,0,205,4,6,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0
601,615,0,0,29,0,0,0,5,47,0,1,1,0,17,0,1,0,0,0,1,0,0,0,0,3,1,3,0,2,0,0,300,6,6,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,0
610,858,0,1,18,0,0,2,1,40,0,1,0,0,6,0,0,0,1,0,0,0,0,0,1,4,14,4,0,2,1,0,263,6,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
620,1121,2,0,50,0,1,0,1,31,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,14,3,0,4,0,0,253,2,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
630,1376,0,0,22,1,0,1,0,51,0,0,1,0,7,1,1,0,0,0,1,0,0,0,0,4,13,3,0,5,0,0,318,12,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
640,1631,0,0,31,0,0,1,2,84,0,0,0,0,7,0,1,0,0,1,0,0,0,0,7,13,30,0,0,2,0,0,340,8,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
650,1886,1,0,29,0,0,0,1,58,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,22,6,0,0,0,0,301,8,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
660,2141,2,0,46,0,0,0,0,76,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,5,19,2,0,5,0,0,207,4,2,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0
670,2462,5,0,87,1,0,0,0,72,0,0,0,0,4,1,1,0,0,0,1,0,0,1,0,3,5,6,0,8,0,0,283,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
680,2782,1,0,56,0,0,0,2,41,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,3,9,0,0,4,0,0,290,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,3103,3,0,66,0,0,0,1,56,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,240,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
700,3423,3,0,66,0,0,1,1,50,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,9,0,0,6,1,0,189,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
710,3743,2,0,42,0,0,0,1,25,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,2,9,0,1,4,0,0,157,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
720,3975,7,0,90,1,0,1,0,69,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,2,19,0,0,6,0,2,229,0,4,0,0,1,0,0,0,1,0,4,0,1,0,0,0,1,0
730,4117,0,0,56,0,0,0,1,47,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,193,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
740,4259,2,0,73,0,0,0,0,72,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,2,0,10,1,0,165,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
750,4401,2,0,44,0,0,2,1,58,0,0,1,0,3,0,1,0,0,0,1,0,2,0,0,4,5,0,0,7,0,0,203,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
760,4543,6,0,67,0,0,0,1,60,0,0,0,0,2,1,4,0,0,0,1,0,3,1,0,2,7,1,0,12,0,0,203,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,4685,4,0,62,0,1,1,2,66,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,4,5,3,1,4,0,0,182,2,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
775,4756,1,0,80,0,1,0,1,55,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,6,1,0,2,1,0,198,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
780,4827,0,0,84,0,0,2,1,56,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,180,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,4898,2,0,75,0,1,0,1,79,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,4,5,3,0,4,2,0,193,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
790,4969,3,0,47,0,0,0,1,56,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,5,6,3,0,3,0,0,235,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,5040,3,0,74,0,0,0,0,56,0,0,0,0,3,1,2,0,0,0,0,0,3,0,1,1,0,4,0,2,0,0,226,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
800,5111,3,0,82,0,1,0,0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,168,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
805,5182,1,0,56,0,0,0,0,50,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,14,0,4,0,0,209,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
810,5253,0,0,84,0,0,1,0,78,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,1,0,170,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
815,5324,0,0,64,0,1,1,0,99,0,1,0,0,8,1,2,0,0,0,0,0,0,0,0,3,0,10,0,8,0,0,191,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
820,5395,4,0,108,0,0,0,1,120,0,0,0,0,6,1,2,0,0,0,0,1,0,1,0,1,0,18,0,12,0,0,158,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,5466,4,0,124,0,0,0,1,110,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,83,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
830,5594,2,0,139,0,0,0,1,120,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,8,0,2,0,23,1,0,52,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
840,5849,2,0,170,0,0,0,2,154,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,49,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
850,6104,2,0,190,0,0,0,1,128,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,28,9,3,2,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0
860,6360,3,0,135,0,1,1,0,130,0,0,0,0,21,1,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,1,19,14,3,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0
870,6615,0,0,69,0,0,4,0,99,0,1,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,5,12,7,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1
