"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Castanea","Fagus","Ilex","Juglans","Liquidambar","Nyssa","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus"
7.62,NA,5,11,8,7,12,2,4,2,3,0,8,6,74,0,10,1
15.2,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.9,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,2063,15,22,13,9,12,0,1,0,0,2,1,9,69,0,1,1
38.1,2577,2,30,14,10,15,1,1,2,0,2,6,0,78,0,0,1
45.7,3091,5,46,9,5,15,1,2,1,1,7,2,7,59,0,1,0
53.3,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.9,4120,5,104,14,4,13,0,2,0,1,0,0,13,56,0,2,0
68.6,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2,5155,2,226,22,10,10,1,10,1,0,2,1,7,86,0,6,0
83.8,5669,3,164,26,7,25,1,11,2,0,4,1,10,57,8,6,1
91.4,6183,1,290,21,3,20,1,7,0,1,3,2,1,85,1,5,2
106.7,7218,5,277,18,5,32,4,16,0,0,3,2,6,68,0,8,0
114.3,7732,4,33,16,3,44,0,0,0,0,4,8,4,17,0,30,0
121.9,8246,0,48,10,1,25,4,2,0,1,0,2,2,29,0,29,1
129.5,8760,0,93,14,2,15,7,4,0,0,2,1,3,59,0,43,0
137.2,9281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.8,9795,1,3,22,2,22,0,0,0,0,1,9,8,32,0,49,1
152.4,10309,3,7,28,5,31,5,1,0,0,2,3,4,31,0,82,1
160,10823,1,20,29,0,12,4,1,1,0,0,8,13,16,1,48,0
167.6,NA,7,32,41,1,0,1,0,0,0,0,19,8,27,0,14,0
175.3,NA,0,20,24,2,11,2,1,1,0,0,6,7,26,0,55,0
182.9,NA,1,18,13,1,4,1,0,1,0,0,9,8,29,1,57,0
190.5,NA,0,42,4,9,1,1,3,1,1,1,17,45,26,0,4,0
198.1,NA,2,27,8,18,2,3,1,2,2,0,5,15,57,0,8,2
